,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301517,陕西华达,70.8,13.04,8.17,46354,313023900.24,10.41,71.0,64.48,65.5,62.63,10.91,168.13,5.68
1,2,300342,天银机电,22.39,12.23,2.44,365607,782640856.2,14.14,22.78,19.96,19.96,19.95,8.75,129.11,6.2
2,3,301050,雷电微力,64.65,10.89,6.35,102404,632366195.57,10.79,64.69,58.4,58.4,58.3,4.93,31.75,5.44
3,4,601698,中国卫通,22.44,10.0,2.04,760272,1607648442.0,14.41,22.44,19.5,20.4,20.4,1.8,147.85,6.05
4,5,603131,上海沪工,20.5,9.98,1.86,180792,360405739.0,9.55,20.5,18.72,18.73,18.64,5.69,104.04,5.26
5,6,002446,盛路通信,8.05,9.52,0.7,362077,278851077.09,8.98,8.06,7.4,7.46,7.35,4.27,83.15,2.24
6,7,300101,振芯科技,22.81,8.83,1.85,179869,393431147.21,8.78,22.84,21.0,21.02,20.96,3.2,136.15,7.39
7,8,001270,铖昌科技,53.17,8.73,4.27,49674,256086990.19,9.61,53.6,48.9,48.9,48.9,4.9,-262.12,8.09
8,9,688418,震有科技,34.0,8.52,2.67,47563,157452370.0,11.33,34.25,30.7,31.09,31.33,2.46,297.3,7.79
9,10,688270,臻镭科技,41.79,8.26,3.19,31852,129824331.0,6.81,41.79,39.16,39.16,38.6,2.21,463.87,4.21
10,11,002465,海格通信,13.01,7.7,0.93,442652,562182823.31,8.11,13.14,12.16,12.16,12.08,1.82,130.96,2.55
11,12,688002,睿创微纳,56.13,7.41,3.87,53497,294198868.0,6.3,56.19,52.9,52.9,52.26,1.19,39.06,5.07
12,13,600118,中国卫星,31.15,7.23,2.1,315138,957083302.0,10.46,31.64,28.6,29.08,29.05,2.67,-1874.14,5.86
13,14,300123,亚光科技,7.89,6.62,0.49,336454,257341113.14,5.95,7.89,7.45,7.5,7.4,3.36,-73.64,3.36
14,15,300045,华力创通,28.99,6.27,1.71,300639,856095854.09,5.94,29.0,27.38,27.38,27.28,6.19,-500.38,11.23
15,16,300252,金信诺,10.46,6.09,0.6,262731,268982821.7,6.49,10.54,9.9,9.98,9.86,4.89,932.07,3.22
16,17,300455,航天智装,16.37,5.95,0.92,112362,180351324.72,6.67,16.48,15.45,15.56,15.45,1.59,319.44,6.49
17,18,688523,航天环宇,22.55,5.87,1.25,18567,41106551.0,5.16,22.57,21.47,21.47,21.3,2.18,134.42,5.8
18,19,300053,航宇微,18.04,5.81,0.99,304044,539739159.78,5.92,18.25,17.24,17.44,17.05,4.78,-153.72,6.26
19,20,002115,三维通信,5.9,5.55,0.31,255162,147498655.51,5.37,5.92,5.62,5.67,5.59,3.39,-145.73,2.05
20,21,002544,普天科技,25.0,5.35,1.27,94088,230585093.0,5.94,25.06,23.65,23.93,23.73,1.39,699.15,4.56
21,22,300366,创意信息,12.62,4.3,0.52,218602,268902319.0,5.95,12.68,11.96,12.19,12.1,4.12,-29.7,4.42
22,23,600246,万通发展,13.06,4.15,0.52,430048,556318304.0,6.3,13.39,12.6,12.78,12.54,2.16,-167.77,4.71
23,24,002413,雷科防务,5.27,3.54,0.18,296554,153820484.0,3.93,5.28,5.08,5.09,5.09,2.37,-38.71,1.89
24,25,600879,航天电子,10.44,3.47,0.35,437148,449339029.0,3.47,10.45,10.1,10.18,10.09,1.35,45.98,1.67
25,26,300447,全信股份,15.16,3.41,0.5,33578,50355940.0,3.34,15.18,14.69,14.69,14.66,1.67,60.5,2.34
26,27,002829,星网宇达,21.34,2.99,0.62,66076,139010067.0,3.19,21.36,20.7,20.71,20.72,4.62,-138.67,2.33
27,28,688592,司南导航,42.6,2.9,1.2,3920,16612664.0,3.7,42.9,41.37,41.37,41.4,1.4,-252.17,2.68
28,29,300903,科翔股份,9.31,2.87,0.26,81620,74845778.6,2.87,9.33,9.07,9.12,9.05,2.48,-16.55,1.91
29,30,300098,高新兴,6.86,2.85,0.19,803070,546964395.05,3.45,6.93,6.7,6.77,6.67,5.21,-194.39,4.21
30,31,000818,航锦科技,20.24,2.79,0.55,102478,206978286.0,3.4,20.53,19.86,20.09,19.69,1.51,253.02,4.08
31,32,000547,航天发展,9.2,2.79,0.25,202829,184507512.1,2.57,9.2,8.97,8.99,8.95,1.28,-19.77,2.33
32,33,002023,海特高新,12.28,2.59,0.31,100579,122455920.68,2.67,12.32,12.0,12.0,11.97,1.36,110.24,2.13
33,34,002512,达华智能,5.37,2.48,0.13,231880,123045345.18,2.67,5.37,5.23,5.29,5.24,2.21,1501.0,13.23
34,35,603000,人民网,24.1,2.47,0.58,127307,303680358.0,2.47,24.14,23.56,23.62,23.52,1.15,355.87,7.41
35,36,002402,和而泰,12.9,2.38,0.3,85042,108768736.3,1.75,12.9,12.68,12.68,12.6,1.06,25.2,2.56
36,37,002669,康达新材,9.78,-0.41,-0.04,33049,32297950.26,2.34,9.92,9.69,9.88,9.82,1.1,-29.1,1.02
37,38,002583,海能达,20.37,-2.58,-0.54,932732,1901168154.64,4.88,20.88,19.86,20.55,20.91,7.27,110.47,6.07
38,39,603679,华体科技,18.59,-4.57,-0.89,83932,157978088.0,5.9,19.6,18.45,18.67,19.48,5.14,-72.93,3.69
