,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,832145,恒合股份,14.36,29.95,3.31,49392.0,69391394.52,9.95,14.36,13.26,13.9,11.05,11.02,-89.45,3.74
1,2,834770,艾能聚,28.0,18.24,4.32,108503.0,299079327.23,18.07,29.88,25.6,25.92,23.68,13.25,95.02,6.42
2,3,839493,并行科技,93.61,16.52,13.27,46201.0,442099445.95,13.26,99.65,89.0,90.32,80.34,17.78,1355.58,15.72
3,4,430489,佳先股份,38.38,16.2,5.35,119939.0,463712535.59,16.56,41.44,35.97,37.99,33.03,14.0,142.85,10.39
4,5,839273,一致魔芋,22.17,15.83,3.03,36602.0,77096164.16,15.57,22.78,19.8,19.88,19.14,11.14,19.76,2.76
5,6,839792,东和新材,16.41,14.59,2.09,69479.0,110725773.48,21.65,17.6,14.5,15.0,14.32,11.65,42.97,2.82
6,7,300338,*ST开元,4.31,14.32,0.54,357105.0,155387947.6,13.0,4.52,4.03,4.36,3.77,10.36,-36.04,-11.71
7,8,300688,创业黑马,37.95,14.2,4.72,307824.0,1158635164.51,10.89,39.22,35.6,36.07,33.23,21.69,-110.38,13.08
8,9,688237,超卓航科,31.67,12.62,3.55,38806.0,118977222.0,19.06,33.71,28.35,28.96,28.12,8.8,92.46,2.3
9,10,300152,新动力,6.07,12.62,0.68,1122822.0,705766184.67,10.02,6.47,5.93,6.1,5.39,15.76,-296.5,13.69
10,11,836149,旭杰科技,24.78,12.08,2.67,70749.0,176295886.12,20.26,26.98,22.5,22.8,22.11,14.78,95.38,9.62
11,12,300087,荃银高科,12.91,11.68,1.35,1018826.0,1272904793.25,7.53,13.07,12.2,12.24,11.56,11.37,-108.77,6.95
12,13,831856,浩淼科技,10.8,11.57,1.12,64109.0,72649475.86,16.84,12.23,10.6,10.88,9.68,13.38,-45.16,2.16
13,14,000903,云内动力,2.92,10.19,0.27,1442695.0,418678914.94,4.53,2.92,2.8,2.92,2.65,7.51,-13.16,2.16
14,15,600172,黄河旋风,3.59,10.12,0.33,538717.0,192969394.0,3.07,3.59,3.49,3.59,3.26,4.22,-10.42,2.31
15,16,600622,光大嘉宝,4.68,10.12,0.43,430774.0,198909300.0,4.24,4.68,4.5,4.58,4.25,2.87,-15.85,1.46
16,17,600439,瑞贝卡,4.68,10.12,0.43,1103628.0,512158397.0,7.06,4.68,4.38,4.68,4.25,9.75,325.77,1.94
17,18,002717,岭南股份,3.05,10.11,0.28,1480128.0,447473307.41,6.5,3.05,2.87,3.05,2.77,9.62,-10.33,2.78
18,19,000536,华映科技,4.58,10.1,0.42,1115811.0,505109604.1,7.21,4.58,4.28,4.58,4.16,4.04,-11.2,8.04
19,20,002094,青岛金王,7.76,10.07,0.71,58078.0,45068528.0,0.0,7.76,7.76,7.76,7.05,0.84,66.05,3.62
