,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300010,豆神教育,7.99,19.97,1.33,80910,64647329.7,0.0,7.99,7.99,7.99,6.66,0.72,111.7,15.22
1,2,839493,并行科技,93.61,16.52,13.27,46201,442099445.95,13.26,99.65,89.0,90.32,80.34,17.78,1355.58,15.72
2,3,300688,创业黑马,37.95,14.2,4.72,307824,1158635164.51,10.89,39.22,35.6,36.07,33.23,21.69,-110.38,13.08
3,4,000917,电广传媒,8.35,10.01,0.76,91072,76045120.0,0.0,8.35,8.35,8.35,7.59,0.64,145.56,1.15
4,5,002712,思美传媒,5.72,10.0,0.52,24707,14132404.0,0.0,5.72,5.72,5.72,5.2,0.46,1343.51,2.2
5,6,605069,正和生态,8.7,9.99,0.79,7403,6440723.0,0.0,8.7,8.7,8.7,7.91,0.88,347.09,1.76
6,7,002657,中科金财,18.52,9.98,1.68,189239,345441519.61,5.17,18.52,17.65,17.85,16.84,5.63,-60.29,3.48
7,8,300846,首都在线,15.82,6.32,0.94,777114,1276392198.38,8.87,17.12,15.8,16.78,14.88,19.91,-40.55,7.38
8,9,300674,宇信科技,24.52,4.61,1.08,367348,895781929.32,4.91,24.98,23.83,23.99,23.44,5.22,52.96,4.27
9,10,003032,传智教育,11.84,3.68,0.42,375629,457109790.0,5.69,12.49,11.84,12.49,11.42,13.74,-69.61,3.52
10,11,300825,阿尔特,11.67,1.83,0.21,217214,258627477.82,5.76,12.29,11.63,11.93,11.46,4.46,3510.35,2.4
11,12,300047,天源迪科,15.9,1.6,0.25,365573,582432099.05,4.66,16.33,15.6,16.1,15.65,6.65,235.92,3.04
12,13,300925,法本信息,28.29,1.43,0.4,218424,623568093.91,3.91,29.09,28.0,29.06,27.89,6.61,82.76,5.77
13,14,688400,凌云光,25.16,0.96,0.24,161606,420310955.0,7.5,26.68,24.81,26.68,24.92,6.74,66.82,2.94
14,15,688158,优刻得-W,14.99,-1.64,-0.25,111710,173151030.0,6.63,15.98,14.97,15.92,15.24,2.78,-30.82,2.75
15,16,002599,盛通股份,7.7,-1.79,-0.14,204484,159813535.68,10.33,8.2,7.39,8.2,7.84,5.08,-128.64,2.9
16,17,688787,海天瑞声,69.84,-3.04,-2.19,18112,131411042.0,6.37,74.29,69.7,74.28,72.03,3.0,5058.71,5.59
17,18,300634,彩讯股份,22.67,-3.33,-0.78,206636,485627142.5,8.06,24.49,22.6,24.18,23.45,4.79,39.0,3.72
18,19,300133,华策影视,8.6,-3.48,-0.31,1448386,1297018585.67,9.99,9.4,8.51,9.01,8.91,8.92,73.77,2.3
19,20,300571,平治信息,28.32,-5.16,-1.54,52727,151393027.0,5.69,29.81,28.11,29.77,29.86,4.56,650.86,2.5
20,21,300785,值得买,29.23,-5.16,-1.59,82880,246455540.41,5.55,30.67,28.96,30.67,30.82,6.78,1145.83,3.17
