,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300622,博士眼镜,34.8,19.55,5.69,,,0.0,,,,29.11,0.0,58.21,8.27
1,2,301078,孩子王,14.76,19.22,2.38,,,0.0,,,,12.38,0.0,101.1,4.51
2,3,600865,百大集团,9.52,10.06,0.87,,,0.0,,,,8.65,0.0,34.25,1.58
3,4,601933,永辉超市,4.6,10.05,0.42,,,0.0,,,,4.18,0.0,75.81,6.78
4,5,600712,南宁百货,6.14,10.04,0.56,,,0.0,,,,5.58,0.0,445.33,4.01
5,6,600774,汉商集团,9.23,10.01,0.84,,,0.0,,,,8.39,0.0,159.98,1.62
6,7,603214,爱婴室,20.7,9.99,1.88,,,0.0,,,,18.82,0.0,44.91,2.61
7,8,600697,欧亚集团,13.56,9.98,1.23,,,0.0,,,,12.33,0.0,91.52,0.92
8,9,000058,深 赛 格,9.82,9.97,0.89,,,0.0,,,,8.93,0.0,118.7,5.99
9,10,000882,华联股份,1.89,9.25,0.16,,,0.0,,,,1.73,0.0,107.35,0.74
10,11,600814,杭州解百,7.54,8.33,0.58,,,0.0,,,,6.96,0.0,14.12,1.55
11,12,601116,三江购物,11.0,7.42,0.76,,,0.0,,,,10.24,0.0,37.32,1.89
12,13,002336,*ST人乐,3.8,4.97,0.18,,,0.0,,,,3.62,0.0,-2.94,-2.49
13,14,002251,ST步步高,3.38,4.97,0.16,,,0.0,,,,3.22,0.0,3.37,1.06
14,15,600287,ST舜天,4.15,4.8,0.19,,,0.0,,,,3.96,0.0,48.26,0.89
15,16,200058,深赛格B,2.2,4.76,0.1,,,0.0,,,,2.1,0.0,24.27,1.23
16,17,002024,ST易购,1.76,4.14,0.07,,,0.0,,,,1.69,0.0,552.6,1.42
17,18,002416,爱施德,11.3,2.91,0.32,,,0.0,,,,10.98,0.0,20.01,2.34
18,19,600778,友好集团,5.97,2.75,0.16,,,0.0,,,,5.81,0.0,124.64,8.3
19,20,002344,海宁皮城,4.01,1.78,0.07,,,0.0,,,,3.94,0.0,53.49,0.61
20,21,002187,广百股份,5.39,1.7,0.09,,,0.0,,,,5.3,0.0,94.74,0.94
21,22,002697,红旗连锁,5.28,1.54,0.08,,,0.0,,,,5.2,0.0,13.47,1.71
22,23,000564,供销大集,2.0,1.01,0.02,,,0.0,,,,1.98,0.0,-432.84,2.4
23,24,601828,美凯龙,3.2,0.95,0.03,,,0.0,,,,3.17,0.0,-5.56,0.29
24,25,000785,居然之家,2.87,0.7,0.02,,,0.0,,,,2.85,0.0,14.97,0.9
25,26,600859,王府井,15.55,0.65,0.1,,,0.0,,,,15.45,0.0,30.11,0.89
26,27,600857,宁波中百,6.77,0.59,0.04,,,0.0,,,,6.73,0.0,-40.53,1.87
27,28,000419,通程控股,5.43,0.56,0.03,,,0.0,,,,5.4,0.0,15.14,0.87
28,29,600729,重庆百货,22.83,0.53,0.12,,,0.0,,,,22.71,0.0,7.07,1.46
29,30,002818,富森美,13.39,0.53,0.07,,,0.0,,,,13.32,0.0,13.76,1.77
30,31,601010,文峰股份,2.15,0.47,0.01,,,0.0,,,,2.14,0.0,27.43,0.89
31,32,601086,国芳集团,4.59,0.44,0.02,,,0.0,,,,4.57,0.0,45.4,1.99
32,33,600858,银座股份,4.77,0.42,0.02,,,0.0,,,,4.75,0.0,15.9,0.91
33,34,002277,友阿股份,2.92,0.34,0.01,,,0.0,,,,2.91,0.0,20.7,0.6
34,35,605136,丽人丽妆,7.5,0.27,0.02,,,0.0,,,,7.48,0.0,557.41,1.2
35,36,600738,丽尚国潮,4.36,0.23,0.01,,,0.0,,,,4.35,0.0,22.79,1.72
36,37,000417,合百集团,5.57,0.18,0.01,,,0.0,,,,5.56,0.0,11.45,0.91
37,38,000715,中兴商业,6.09,0.16,0.01,,,0.0,,,,6.08,0.0,34.36,1.34
38,39,600838,上海九百,8.64,0.12,0.01,,,0.0,,,,8.63,0.0,72.97,2.39
39,40,600415,小商品城,10.91,0.09,0.01,,,0.0,,,,10.9,0.0,19.27,3.03
40,41,900923,百联Ｂ股,,,,,,,,,,0.542,0.0,12.56,0.39
41,42,603708,家家悦,9.75,0.0,0.0,,,0.0,,,,9.75,0.0,18.34,2.57
42,43,603101,汇嘉时代,5.81,0.0,0.0,,,0.0,,,,5.81,0.0,40.8,1.98
