,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002423,中粮资本,18.68,9.88,1.68,1315680,2396827318.37,9.82,18.7,17.03,17.49,17.0,5.71,18.32,2.02
1,2,600705,中航产融,4.03,6.9,0.26,2339236,934580701.0,7.16,4.1,3.83,4.0,3.77,2.66,75.1,0.97
2,3,000415,渤海租赁,2.98,4.2,0.12,706900,208604380.4,4.55,3.01,2.88,2.88,2.86,1.31,12.86,0.6
3,4,001236,弘业期货,11.92,3.29,0.38,122380,144490210.0,5.03,12.1,11.52,11.6,11.54,3.75,469.22,6.47
4,5,600318,新力金融,8.68,3.21,0.27,384686,334284427.0,5.11,8.87,8.44,8.57,8.41,7.5,99.42,4.14
5,6,600390,五矿资本,7.11,3.04,0.21,941665,667267492.0,6.81,7.28,6.81,6.92,6.9,2.09,19.7,0.75
6,7,600830,香溢融通,11.49,1.95,0.22,75072,85371366.0,3.55,11.55,11.15,11.22,11.27,1.65,61.3,2.42
7,8,002647,仁东控股,8.26,1.72,0.14,260415,210338861.48,6.9,8.42,7.86,8.06,8.12,4.65,-20.41,-60.22
8,9,000567,海德股份,7.66,1.46,0.11,133924,102366500.54,4.11,7.79,7.48,7.62,7.55,0.69,19.8,2.84
9,10,002961,瑞达期货,15.75,1.42,0.22,38133,60481632.0,2.38,16.06,15.69,15.78,15.53,0.86,19.37,2.58
10,11,600643,爱建集团,5.91,1.37,0.08,65450,38543159.0,2.4,5.95,5.81,5.85,5.83,0.41,22.39,0.75
11,12,600120,浙江东方,4.77,1.27,0.06,206524,97997628.0,3.18,4.81,4.66,4.73,4.71,0.6,29.21,1.04
12,13,000563,陕国投Ａ,3.69,1.1,0.04,361629,132973956.18,2.19,3.71,3.63,3.67,3.65,0.71,15.15,1.07
13,14,000987,越秀资本,7.3,0.97,0.07,152088,111158669.25,2.07,7.37,7.22,7.25,7.23,0.3,18.03,1.28
14,15,600517,国网英大,5.49,0.92,0.05,94558,51870944.0,1.84,5.53,5.43,5.46,5.44,0.17,17.13,1.49
15,16,600927,永安期货,14.97,0.74,0.11,11921,17872521.0,1.48,15.08,14.86,14.89,14.86,0.23,35.42,1.73
16,17,600816,建元信托,3.26,0.62,0.02,124806,40725774.0,1.85,3.29,3.23,3.25,3.24,0.23,579.96,2.36
17,18,000617,中油资本,8.46,0.59,0.05,931903,784990173.39,4.04,8.59,8.25,8.3,8.41,0.74,17.56,1.04
18,19,603093,南华期货,12.74,0.39,0.05,25620,32749793.0,2.13,12.88,12.61,12.75,12.69,0.42,16.27,1.96
19,20,600901,江苏金租,5.28,0.0,0.0,86877,45981722.0,0.95,5.32,5.27,5.28,5.28,0.15,10.3,1.31
20,21,603123,翠微股份,9.39,-2.59,-0.25,123347,116441567.0,2.8,9.59,9.32,9.45,9.64,1.89,-15.74,2.9
21,22,600053,九鼎投资,16.63,-3.15,-0.54,32171,53996103.0,2.33,17.0,16.6,17.0,17.17,0.74,451.63,2.48
