,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300688,创业黑马,39.88,20.01,6.65,,,0.0,,,,33.23,0.0,-115.99,13.74
1,2,300010,豆神教育,7.99,19.97,1.33,,,0.0,,,,6.66,0.0,111.7,15.22
2,3,300338,*ST开元,4.52,19.89,0.75,,,0.0,,,,3.77,0.0,-37.8,-12.28
3,4,600636,国新文化,13.05,10.03,1.19,,,0.0,,,,11.86,0.0,-77.9,2.37
4,5,003032,传智教育,12.56,9.98,1.14,,,0.0,,,,11.42,0.0,-73.85,3.74
5,6,600880,博瑞传播,5.01,6.82,0.32,,,0.0,,,,4.69,0.0,317.27,1.8
6,7,600730,中国高科,6.46,3.03,0.19,,,0.0,,,,6.27,0.0,87.03,2.12
7,8,600455,博通股份,24.05,1.05,0.25,,,0.0,,,,23.8,0.0,80.52,5.4
8,9,300359,全通教育,6.51,0.77,0.05,,,0.0,,,,6.46,0.0,-161.62,6.01
9,10,600661,昂立教育,14.99,0.6,0.09,,,0.0,,,,14.9,0.0,-125.42,103.19
10,11,002659,凯文教育,5.44,0.55,0.03,,,0.0,,,,5.41,0.0,-164.75,1.49
11,12,300192,科德教育,17.0,0.41,0.07,,,0.0,,,,16.93,0.0,39.5,6.56
12,13,002607,中公教育,3.16,0.32,0.01,,,0.0,,,,3.15,0.0,84.07,28.53
13,14,000526,学大教育,48.51,0.1,0.05,,,0.0,,,,48.46,0.0,25.51,7.41
14,15,605098,行动教育,36.5,-0.08,-0.03,,,0.0,,,,36.53,0.0,16.78,4.56
