,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,834021,流金科技,11.99,24.12,2.33,,,0.0,,,,9.66,0.0,903.26,5.59
1,2,301231,荣信文化,24.6,20.0,4.1,,,0.0,,,,20.5,0.0,-84.79,2.32
2,3,301025,读客文化,14.22,20.0,2.37,,,0.0,,,,11.85,0.0,283.36,9.11
3,4,300781,因赛集团,79.82,19.99,13.3,,,0.0,,,,66.52,0.0,181.51,12.3
4,5,300133,华策影视,10.5,17.85,1.59,,,0.0,,,,8.91,0.0,90.06,2.81
5,6,300061,旗天科技,22.6,13.68,2.72,,,0.0,,,,19.88,0.0,-504.59,19.78
6,7,601929,吉视传媒,2.16,10.2,0.2,,,0.0,,,,1.96,0.0,-18.26,1.36
7,8,002181,粤 传 媒,4.81,10.07,0.44,,,0.0,,,,4.37,0.0,-58.26,1.35
8,9,601801,皖新传媒,8.32,10.05,0.76,,,0.0,,,,7.56,0.0,14.08,1.43
9,10,002654,万润科技,16.37,10.01,1.49,,,0.0,,,,14.88,0.0,240.16,9.2
10,11,000917,电广传媒,8.35,10.01,0.76,,,0.0,,,,7.59,0.0,145.56,1.15
11,12,002712,思美传媒,5.72,10.0,0.52,,,0.0,,,,5.2,0.0,1343.51,2.2
12,13,600825,新华传媒,7.3,9.94,0.66,,,0.0,,,,6.64,0.0,128.86,3.06
13,14,601921,浙版传媒,9.43,9.78,0.84,,,0.0,,,,8.59,0.0,20.69,1.61
14,15,002400,省广集团,6.8,9.68,0.6,,,0.0,,,,6.2,0.0,97.46,2.41
15,16,600640,国脉文化,14.68,8.1,1.1,,,0.0,,,,13.58,0.0,659.78,2.94
16,17,301052,果麦文化,34.8,8.07,2.6,,,0.0,,,,32.2,0.0,121.62,4.95
17,18,300364,中文在线,35.0,6.54,2.15,,,0.0,,,,32.85,0.0,-101.86,24.55
18,19,603888,新华网,25.99,6.52,1.59,,,0.0,,,,24.4,0.0,64.93,3.88
19,20,600556,天下秀,4.99,6.17,0.29,,,0.0,,,,4.7,0.0,103.42,2.33
20,21,000793,华闻集团,2.93,5.78,0.16,,,0.0,,,,2.77,0.0,-41.86,7.02
21,22,300788,中信出版,35.71,5.43,1.84,,,0.0,,,,33.87,0.0,36.55,3.17
22,23,001330,博纳影业,6.01,5.07,0.29,,,0.0,,,,5.72,0.0,-29.81,1.37
23,24,600088,中视传媒,19.88,4.85,0.92,,,0.0,,,,18.96,0.0,-214.44,6.48
24,25,601858,中国科传,23.06,4.82,1.06,,,0.0,,,,22.0,0.0,62.73,3.53
25,26,300027,华谊兄弟,3.17,4.62,0.14,,,0.0,,,,3.03,0.0,177.92,12.46
26,27,000607,华媒控股,4.04,4.12,0.16,,,0.0,,,,3.88,0.0,94.09,2.51
27,28,300654,世纪天鸿,11.32,4.04,0.44,,,0.0,,,,10.88,0.0,98.71,4.92
28,29,002343,慈文传媒,7.06,3.67,0.25,,,0.0,,,,6.81,0.0,117.75,3.42
29,30,002292,奥飞娱乐,7.5,3.45,0.25,,,0.0,,,,7.25,0.0,100.81,3.27
30,31,300987,川网传媒,17.6,3.41,0.58,,,0.0,,,,17.02,0.0,220.55,3.86
31,32,002878,元隆雅图,13.0,3.26,0.41,,,0.0,,,,12.59,0.0,65.79,2.2
32,33,300860,锋尚文化,27.5,3.11,0.83,,,0.0,,,,26.67,0.0,129.6,1.65
33,34,603000,人民网,24.25,3.06,0.72,,,0.0,,,,23.53,0.0,838.81,7.54
34,35,600136,ST明诚,1.69,3.05,0.05,,,0.0,,,,1.64,0.0,-79.68,9.8
35,36,603999,读者传媒,6.28,2.95,0.18,,,0.0,,,,6.1,0.0,37.84,1.81
36,37,600831,ST广网,2.67,2.69,0.07,,,0.0,,,,2.6,0.0,-2.53,0.74
37,38,605577,龙版传媒,15.24,1.67,0.25,,,0.0,,,,14.99,0.0,22.7,1.77
38,39,601595,上海电影,27.8,1.61,0.44,,,0.0,,,,27.36,0.0,90.18,7.48
39,40,603721,中广天择,31.97,1.49,0.47,,,0.0,,,,31.5,0.0,-316.68,8.18
40,41,301262,海看股份,28.0,1.49,0.41,,,0.0,,,,27.59,0.0,26.6,3.21
41,42,603598,引力传媒,15.79,1.48,0.23,,,0.0,,,,15.56,0.0,118.72,19.38
42,43,301551,无线传媒,78.88,1.45,1.13,,,0.0,,,,77.75,0.0,125.2,13.01
