,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000980,众泰汽车,2.48,10.22,0.23,1119403,267665640.28,12.89,2.48,2.19,2.19,2.25,2.29,-28.77,10.66
1,2,601127,赛力斯,125.32,10.0,11.39,472346,5844953613.0,4.67,125.32,120.0,120.0,113.93,3.13,35.14,14.03
2,3,600733,北汽蓝谷,8.38,8.13,0.63,2016385,1659272945.0,7.1,8.42,7.87,7.88,7.75,4.14,-7.8,25.99
3,4,600418,江淮汽车,39.9,6.12,2.3,576779,2260988056.0,7.45,40.0,37.2,37.2,37.6,2.64,104.55,6.34
4,5,000957,中通客车,11.27,4.93,0.53,201130,225364821.13,5.4,11.44,10.86,10.86,10.74,3.39,25.66,2.3
5,6,600303,ST曙光,2.79,4.89,0.13,68564,18882305.0,4.14,2.79,2.68,2.69,2.66,1.01,-6.32,1.29
6,7,000550,江铃汽车,25.69,4.56,1.12,56733,144104757.84,4.8,25.79,24.61,24.78,24.57,1.09,14.26,2.03
7,8,002594,比亚迪,303.0,4.37,12.69,72534,2182100268.71,3.22,304.97,295.61,296.0,290.31,0.62,26.2,5.67
8,9,000572,海马汽车,5.02,4.37,0.21,636892,315346821.9,9.36,5.13,4.68,4.77,4.81,3.88,110.37,4.23
9,10,000625,长安汽车,14.01,3.85,0.52,1147943,1592945136.0,3.34,14.05,13.6,13.72,13.49,1.4,29.11,1.91
10,11,600006,东风股份,6.53,3.82,0.24,179095,115497651.0,3.97,6.55,6.3,6.33,6.29,0.9,-85.44,1.61
11,12,600686,金龙汽车,14.59,3.4,0.48,306217,437266297.0,8.08,14.75,13.61,13.61,14.11,4.27,102.71,3.29
12,13,200550,江  铃Ｂ,11.04,3.18,0.34,1199,1315022.0,2.8,11.07,10.77,10.77,10.7,0.03,5.53,0.79
13,14,600841,动力新科,4.98,3.11,0.15,127877,63373496.0,9.52,5.09,4.63,4.63,4.83,1.39,-4.1,1.62
14,15,600166,福田汽车,2.67,3.09,0.08,483126,127418538.0,2.7,2.67,2.6,2.6,2.59,0.74,36.68,1.45
15,16,000868,安凯客车,5.39,3.06,0.16,90334,48112379.15,4.21,5.4,5.18,5.2,5.23,1.23,-708.71,5.99
16,17,301039,中集车辆,10.17,2.94,0.29,50609,51164653.49,2.94,10.22,9.93,9.95,9.88,0.35,16.97,1.36
17,18,200625,长  安Ｂ,3.66,2.52,0.09,21745,7886918.38,2.24,3.67,3.59,3.61,3.57,0.13,6.86,0.45
18,19,601633,长城汽车,26.8,2.45,0.64,97002,258348990.0,2.83,26.9,26.16,26.16,26.16,0.16,16.46,2.97
19,20,601238,广汽集团,8.08,2.41,0.19,101653,81674432.0,2.66,8.12,7.91,7.91,7.89,0.14,523.01,0.74
20,21,600066,宇通客车,24.08,1.95,0.46,59239,142642764.0,2.54,24.32,23.72,23.72,23.62,0.27,16.44,4.11
21,22,000800,一汽解放,8.58,1.9,0.16,61031,51971261.67,2.49,8.6,8.39,8.39,8.42,0.13,87.1,1.62
22,23,601777,力帆科技,7.53,1.89,0.14,347606,261331517.0,5.14,7.66,7.28,7.3,7.39,0.77,639.16,3.26
23,24,000951,中国重汽,16.44,0.8,0.13,23463,38382789.15,1.66,16.5,16.23,16.31,16.31,0.2,15.51,1.31
24,25,600104,上汽集团,12.98,0.7,0.09,91094,117858650.0,1.09,13.0,12.86,12.86,12.89,0.08,16.31,0.51
