,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600653,申华控股,2.51,10.09,0.23,,,0.0,,,,2.28,0.0,-65.15,6.72
1,2,603377,ST东时,1.79,5.29,0.09,,,0.0,,,,1.7,0.0,-8.87,0.74
2,3,301215,中汽股份,6.64,0.76,0.05,,,0.0,,,,6.59,0.0,59.52,3.1
3,4,601965,中国汽研,18.24,0.39,0.07,,,0.0,,,,18.17,0.0,20.49,2.67
4,5,900927,物贸Ｂ股,,,,,,,,,,0.405,0.0,26.38,1.21
5,6,688479,友车科技,,,,,,,,,,18.87,0.0,27.44,1.44
6,7,600335,国机汽车,6.38,0.0,0.0,,,0.0,,,,6.38,0.0,23.34,0.85
7,8,300825,阿尔特,11.61,-0.26,-0.03,,,0.0,,,,11.64,0.0,3492.3,2.38
8,9,600822,上海物贸,9.6,-0.31,-0.03,,,0.0,,,,9.63,0.0,87.75,4.03
9,10,600386,北巴传媒,4.19,-0.95,-0.04,,,0.0,,,,4.23,0.0,166.47,1.91
10,11,838030,德众汽车,6.55,-1.8,-0.12,,,0.0,,,,6.67,0.0,257.53,2.51
11,12,000757,浩物股份,3.71,-1.85,-0.07,,,0.0,,,,3.78,0.0,-62.04,1.27
12,13,000753,漳州发展,3.55,-4.31,-0.16,,,0.0,,,,3.71,0.0,53.57,1.29
