,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,830896,旺成科技,13.5,29.93,3.11,66871.0,90272587.62,2.02,13.5,13.29,13.5,10.39,15.06,47.28,3.41
1,2,300024,机器人,15.46,20.03,2.58,935989.0,1365839908.78,19.49,15.46,12.95,12.95,12.88,6.11,-182.04,5.57
2,3,301596,瑞迪智驱,106.98,20.0,17.83,34891.0,361620289.94,8.95,106.98,99.0,100.0,89.15,25.32,60.25,7.34
3,4,300607,拓斯达,14.66,19.97,2.44,165645.0,236383522.18,16.45,14.66,12.65,12.65,12.22,5.8,517.64,2.71
4,5,430510,丰光精密,22.42,19.32,3.63,58565.0,129027428.97,20.17,23.79,20.0,20.0,18.79,6.68,140.99,10.3
5,6,920002,万达轴承,69.2,18.68,10.89,8228.0,55555266.2,20.08,71.18,59.47,59.47,58.31,17.32,37.46,3.35
6,7,688017,绿的谐波,102.0,15.25,13.5,39119.0,379034254.0,11.83,102.27,91.8,91.8,88.5,2.32,219.44,8.5
7,8,430418,苏轴股份,24.98,13.19,2.91,23328.0,55389960.04,13.0,25.02,22.15,22.15,22.07,3.26,21.57,4.31
8,9,835579,机科股份,21.29,13.18,2.48,28363.0,58292047.79,16.21,21.95,18.9,19.22,18.81,6.36,255.96,5.33
9,10,300503,昊志机电,18.27,12.85,2.08,258541.0,455600102.74,12.66,18.74,16.69,16.69,16.19,10.81,51.88,4.71
10,11,301368,丰立智能,53.95,12.23,5.88,76827.0,400779355.7,10.63,55.0,49.89,49.98,48.07,11.98,307.11,6.64
11,12,836720,吉冈精密,16.8,12.0,1.8,44771.0,73808296.08,10.27,16.9,15.36,15.82,15.0,9.03,54.25,6.89
12,13,688165,埃夫特-U,10.22,11.33,1.04,53095.0,52874819.0,12.75,10.37,9.2,9.2,9.18,1.02,-37.94,3.14
13,14,300780,德恩精工,16.57,10.61,1.59,68730.0,111697371.0,8.74,16.93,15.62,15.62,14.98,6.55,-49.11,2.12
14,15,301255,通力科技,32.52,10.57,3.11,15575.0,49092944.75,9.69,32.55,29.7,29.7,29.41,5.73,60.81,3.43
15,16,300421,力星股份,10.83,10.06,0.99,144756.0,154899847.8,14.02,11.38,10.0,10.02,9.84,6.28,47.09,2.55
16,17,002747,埃斯顿,16.13,10.03,1.47,224079.0,354704796.14,8.73,16.13,14.85,14.86,14.66,2.85,-157.71,5.41
17,18,001306,夏厦精密,52.03,10.0,4.73,9214.0,47670501.52,9.56,52.03,47.51,47.51,47.3,5.94,50.69,2.45
18,19,002896,中大力德,32.47,9.99,2.95,79536.0,253505870.81,8.4,32.47,29.99,29.99,29.52,5.26,64.66,4.24
19,20,000837,秦川机床,9.37,9.98,0.85,240534.0,219214114.5,9.27,9.37,8.58,8.58,8.52,2.48,126.33,1.97
20,21,600215,派斯林,7.28,9.97,0.66,165189.0,117877466.0,9.06,7.28,6.68,6.68,6.62,3.62,29.58,1.69
21,22,900910,海立Ｂ股,0.433,9.9,0.039,29558.0,1272650.0,3.3,0.433,0.42,0.42,0.394,1.04,107.55,0.53
22,23,601002,晋亿实业,4.74,9.47,0.41,450792.0,210555623.0,10.62,4.76,4.3,4.31,4.33,4.72,41.65,1.09
23,24,603667,五洲新春,18.48,7.38,1.27,70055.0,126796213.0,5.58,18.54,17.58,17.6,17.21,1.91,51.69,2.31
24,25,873570,坤博精工,36.21,7.13,2.41,5797.0,20660531.89,9.62,37.0,33.75,33.75,33.8,4.15,71.33,4.75
25,26,301032,新柴股份,13.03,6.89,0.84,147253.0,188855870.7,6.73,13.22,12.4,12.46,12.19,9.28,50.39,2.76
26,27,300809,华辰装备,23.5,6.62,1.46,25500.0,59009646.8,7.4,23.78,22.15,22.15,22.04,1.82,76.55,3.71
27,28,301261,恒工精密,40.67,6.35,2.43,25598.0,103357534.19,4.45,41.2,39.5,39.8,38.24,6.76,27.89,2.29
28,29,002520,日发精机,5.41,6.29,0.32,152343.0,80400113.5,6.88,5.43,5.08,5.14,5.09,2.36,-49.07,3.92
29,30,603082,北自科技,34.25,6.23,2.01,19256.0,64802235.0,6.27,34.5,32.48,32.5,32.24,5.93,34.22,3.66
30,31,002965,祥鑫科技,28.98,6.19,1.69,31323.0,89996579.34,8.02,29.49,27.3,27.39,27.29,2.05,16.49,1.45
31,32,301603,乔锋智能,44.69,6.15,2.59,13138.0,57874464.85,6.34,44.9,42.23,42.26,42.1,5.73,26.86,2.57
