,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,833075,柏星龙,34.67,30.0,8.0,,,0.0,,,,26.67,0.0,43.45,5.57
1,2,600356,恒丰纸业,7.55,2.58,0.19,,,0.0,,,,7.36,0.0,15.37,0.88
2,3,200488,晨  鸣Ｂ,1.52,1.33,0.02,,,0.0,,,,1.5,0.0,71.6,0.25
3,4,002117,东港股份,7.85,1.16,0.09,,,0.0,,,,7.76,0.0,40.05,3.18
4,5,603863,松炀资源,30.0,1.01,0.3,,,0.0,,,,29.7,0.0,-51.15,9.57
5,6,871553,凯腾精工,9.15,0.99,0.09,,,0.0,,,,9.06,0.0,88.28,3.87
6,7,002831,裕同科技,24.95,0.81,0.2,,,0.0,,,,24.75,0.0,15.63,2.07
7,8,301355,南王科技,11.6,0.69,0.08,,,0.0,,,,11.52,0.0,44.5,1.47
8,9,603165,荣晟环保,11.62,0.61,0.07,,,0.0,,,,11.55,0.0,9.55,1.45
9,10,603733,仙鹤股份,19.28,0.57,0.11,,,0.0,,,,19.17,0.0,12.49,1.79
10,11,600433,冠豪高新,3.22,0.31,0.01,,,0.0,,,,3.21,0.0,60.73,1.26
11,12,600235,民丰特纸,6.07,0.17,0.01,,,0.0,,,,6.06,0.0,26.23,1.43
12,13,002511,中顺洁柔,7.2,0.14,0.01,,,0.0,,,,7.19,0.0,131.13,1.73
13,14,600793,宜宾纸业,11.15,0.0,0.0,,,0.0,,,,11.15,0.0,-12.51,3.94
14,15,600308,华泰股份,3.65,0.0,0.0,,,0.0,,,,3.65,0.0,15.09,0.6
15,16,002235,安妮股份,5.22,0.0,0.0,,,0.0,,,,5.22,0.0,128.39,4.12
16,17,002067,景兴纸业,3.28,0.0,0.0,,,0.0,,,,3.28,0.0,41.05,0.71
17,18,001279,强邦新材,54.1,0.0,0.0,,,0.0,,,,54.1,0.0,93.83,9.25
18,19,000695,滨海能源,9.98,0.0,0.0,,,0.0,,,,9.98,0.0,699.98,11.94
19,20,000488,晨鸣纸业,3.91,0.0,0.0,,,0.0,,,,3.91,0.0,201.79,0.7
20,21,603499,翔港科技,27.6,-0.11,-0.03,,,0.0,,,,27.63,0.0,134.12,7.55
21,22,002836,新宏泽,8.18,-0.24,-0.02,,,0.0,,,,8.2,0.0,30.88,5.31
22,23,301469,恒达新材,23.88,-0.25,-0.06,,,0.0,,,,23.94,0.0,30.16,1.58
23,24,600963,岳阳林纸,6.07,-0.33,-0.02,,,0.0,,,,6.09,0.0,-84.63,1.29
24,25,002012,凯恩股份,5.24,-0.38,-0.02,,,0.0,,,,5.26,0.0,100.4,1.59
25,26,600103,青山纸业,2.13,-0.47,-0.01,,,0.0,,,,2.14,0.0,41.5,1.22
26,27,002078,太阳纸业,13.36,-0.52,-0.07,,,0.0,,,,13.43,0.0,11.39,1.35
27,28,600567,山鹰国际,1.75,-0.57,-0.01,,,0.0,,,,1.76,0.0,39.92,0.61
28,29,000815,美利云,10.25,-0.58,-0.06,,,0.0,,,,10.31,0.0,-537.66,3.84
29,30,603058,永吉股份,9.88,-0.6,-0.06,,,0.0,,,,9.94,0.0,24.28,3.59
30,31,600966,博汇纸业,4.55,-0.66,-0.03,,,0.0,,,,4.58,0.0,23.21,0.9
31,32,002521,齐峰新材,9.91,-0.7,-0.07,,,0.0,,,,9.98,0.0,34.55,1.31
32,33,300883,龙利得,5.3,-0.75,-0.04,,,0.0,,,,5.34,0.0,265.87,1.29
33,34,605377,华旺科技,12.51,-0.79,-0.1,,,0.0,,,,12.61,0.0,10.67,1.49
34,35,833394,民士达,26.31,-1.13,-0.3,,,0.0,,,,26.61,0.0,40.8,5.61
35,36,605007,五洲特纸,13.45,-1.39,-0.19,,,0.0,,,,13.64,0.0,12.46,2.16
36,37,605500,森林包装,6.93,-2.67,-0.19,,,0.0,,,,7.12,0.0,15.91,1.14
37,38,603429,集友股份,6.45,-3.01,-0.2,,,0.0,,,,6.65,0.0,-47.04,2.65
38,39,002229,鸿博股份,14.44,-3.54,-0.53,,,0.0,,,,14.97,0.0,-90.55,4.75
39,40,603607,京华激光,16.73,-3.68,-0.64,,,0.0,,,,17.37,0.0,31.37,2.91
