,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
0,1,833075,柏星龙,34.67,30.0,8.0,,,0.0,,,,26.67,,0.0,43.45,5.57,2247136050.0,853705413.0,0.0,0.0,212.06,124.55
1,2,873223,荣亿精密,12.7,29.99,2.93,,,0.0,,,,9.77,,0.0,-72.59,7.33,1997519500.0,1036113625.0,0.0,0.0,171.37,123.2
2,3,830964,润农节水,9.47,29.9,2.18,,,0.0,,,,7.29,,0.0,89.45,2.73,2473639760.0,1698874542.0,0.0,0.0,215.67,124.94
3,4,832000,安徽凤凰,17.99,25.8,3.69,,,0.0,,,,14.3,,0.0,23.52,2.78,1649323200.0,869030337.0,-3.23,-3.23,160.72,77.59
4,5,832145,恒合股份,18.0,25.35,3.64,,,0.0,,,,14.36,,0.0,-100.12,4.76,1269900000.0,806890500.0,-3.23,-3.54,262.9,130.18
5,6,831641,格利尔,21.5,20.72,3.69,,,0.0,,,,17.81,,0.0,-206.6,4.71,1662272500.0,944479843.0,-5.29,-5.7,156.87,62.88
6,7,300010,豆神教育,9.59,20.03,1.6,,,0.0,,,,7.99,,0.0,134.06,18.27,19818815400.0,10813374780.0,0.0,0.0,293.03,248.73
7,8,300506,*ST名家,4.98,20.0,0.83,,,0.0,,,,4.15,,0.0,-75.89,31.53,3464070914.0,2870132394.0,0.0,0.0,142.93,1.22
8,9,300781,因赛集团,95.78,19.99,15.96,,,0.0,,,,79.82,,0.0,217.81,14.76,10532906678.0,7768158839.0,0.0,0.0,104.92,113.08
9,10,300968,格林精密,16.15,19.99,2.69,,,0.0,,,,13.46,,0.0,106.08,3.54,6676087000.0,6676087000.0,0.0,0.0,92.03,34.25
10,11,688588,凌志软件,12.82,19.93,2.13,,,0.0,,,,10.69,,0.0,31.06,4.08,5128128238.0,5128128238.0,-0.08,-0.08,101.26,9.57
11,12,300278,华昌达,6.58,17.92,1.0,,,0.0,,,,5.58,,0.0,90.43,5.23,9353512823.0,8992375405.0,-1.2,-1.2,133.33,72.25
12,13,300271,华宇软件,9.9,17.86,1.5,,,0.0,,,,8.4,,0.0,-23.01,1.99,8081127183.0,7937142385.0,-1.0,-1.2,109.3,20.88
