,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300678,中科信息,50.3,12.73,5.68,182348,859009601.61,11.32,50.5,45.45,46.06,44.62,6.39,1806.7,17.43
1,2,002383,合众思壮,9.25,9.99,0.84,241489,214394128.54,10.7,9.25,8.35,8.42,8.41,3.92,-80.6,3.74
2,3,002792,通宇通讯,15.2,9.99,1.38,176248,260150373.5,8.32,15.2,14.05,14.12,13.82,5.62,115.68,2.86
3,4,002298,中电兴发,5.75,9.94,0.52,232891,131028960.5,9.94,5.75,5.23,5.3,5.23,3.56,-8.49,1.32
4,5,300136,信维通信,29.92,9.2,2.52,489834,1400163964.28,8.8,29.92,27.51,28.2,27.4,5.94,40.72,4.03
5,6,300275,梅安森,16.43,5.73,0.89,96870,156193970.65,5.34,16.51,15.68,16.16,15.54,3.8,81.08,5.67
6,7,300322,硕贝德,18.32,5.53,0.96,245439,442534710.65,4.32,18.42,17.67,17.77,17.36,5.51,1755.03,8.24
7,8,300050,世纪鼎利,7.1,5.03,0.34,192494,134045889.0,4.73,7.14,6.82,6.85,6.76,3.54,-148.92,8.38
8,9,600501,航天晨光,23.75,4.9,1.11,87358,202909096.0,4.95,23.78,22.66,22.66,22.64,2.06,-46.99,4.87
9,10,002065,东华软件,7.19,3.75,0.26,424590,300141051.0,3.9,7.22,6.95,7.0,6.93,1.46,35.28,1.95
10,11,300024,机器人,21.05,3.69,0.75,1156916,2380109249.46,7.49,21.27,19.75,19.75,20.3,7.55,-247.86,7.58
11,12,600131,国网信通,23.86,3.51,0.81,68254,160910935.0,3.73,23.94,23.08,23.08,23.05,0.57,72.18,4.49
12,13,000948,南天信息,21.89,3.5,0.74,243725,531544516.07,3.92,22.13,21.3,21.43,21.15,6.32,115.58,3.25
13,14,601231,环旭电子,15.86,2.65,0.41,93138,146190582.0,2.07,15.88,15.56,15.62,15.45,0.43,20.07,2.03
14,15,301195,北路智控,34.23,2.24,0.75,9213,31298273.0,1.28,34.23,33.8,33.8,33.48,1.88,24.06,1.94
15,16,300184,力源信息,12.53,1.87,0.23,396081,491216824.0,2.85,12.6,12.25,12.5,12.3,3.78,108.16,3.91
16,17,300448,浩云科技,7.24,1.54,0.11,171200,124375104.0,4.63,7.45,7.12,7.32,7.13,3.48,432.79,3.72
17,18,002869,金溢科技,32.2,1.48,0.47,31962,102550610.65,2.08,32.43,31.77,32.01,31.73,2.01,139.47,2.69
18,19,300177,中海达,13.29,0.99,0.13,306337,405672935.86,3.42,13.48,13.03,13.31,13.16,5.05,-287.81,5.98
19,20,000725,京东方Ａ,4.68,0.43,0.02,2180023,1019080500.58,1.29,4.71,4.65,4.68,4.66,0.59,39.93,1.36
