,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300379,东方通,20.0,19.98,3.33,758692,1440320221.86,16.98,20.0,17.17,17.17,16.67,14.41,-45.65,3.19
1,2,600536,中国软件,65.7,9.99,5.97,601215,3845881414.0,6.98,65.7,61.53,62.44,59.73,7.13,-124.11,25.72
2,3,300339,润和软件,75.34,9.52,6.55,709799,5207526971.2,8.32,75.5,69.78,69.78,68.79,9.13,406.59,17.47
3,4,300598,诚迈科技,67.38,7.7,4.82,95022,619784886.3,7.48,67.38,62.7,62.72,62.56,4.38,-133.32,9.27
4,5,688058,宝兰德,39.87,7.09,2.64,10069,39520126.0,8.19,40.32,37.27,38.4,37.23,1.3,-42.35,4.19
5,6,301236,软通动力,69.03,5.91,3.85,254342,1729231373.28,4.89,69.59,66.4,67.49,65.18,3.74,649.64,6.29
6,7,688152,麒麟信安,69.06,5.44,3.56,11307,76499716.0,5.62,69.68,66.0,67.12,65.5,3.64,-177.81,4.51
7,8,300366,创意信息,12.62,4.3,0.52,221437,272483027.0,5.95,12.68,11.96,12.19,12.1,4.17,-29.7,4.42
8,9,300047,天源迪科,15.69,4.11,0.62,229969,356714853.34,2.65,15.69,15.29,15.5,15.07,4.18,232.8,3.0
9,10,002261,拓维信息,25.2,2.65,0.65,379585,948483550.27,2.81,25.28,24.59,24.6,24.55,3.37,2156.03,12.2
10,11,300474,景嘉微,96.94,2.03,1.93,84152,806838138.99,3.29,97.8,94.67,97.0,95.01,2.57,1591.54,6.98
11,12,688038,中科通达,14.18,1.65,0.23,14026,19778997.0,2.01,14.21,13.93,14.05,13.95,1.21,703.84,2.66
12,13,300348,长亮科技,18.76,1.63,0.3,430114,820933641.73,6.18,19.68,18.54,19.15,18.46,6.86,2845.38,7.51
13,14,830799,艾融软件,76.0,1.39,1.04,61096,470538431.83,7.18,79.96,74.58,77.88,74.96,5.06,278.57,40.78
14,15,688118,普元信息,25.19,1.37,0.34,12025,29982878.0,4.95,25.76,24.53,25.76,24.85,1.28,-25.85,3.01
15,16,300674,宇信科技,26.25,-0.23,-0.06,342186,901245386.23,6.61,27.3,25.56,27.3,26.31,4.87,52.87,4.49
