,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,871478,巨能股份,21.78,25.32,4.4,43059,88059811.73,29.4,22.4,17.29,17.29,17.38,18.72,-230.77,6.36
1,2,300024,机器人,15.46,20.03,2.58,939424,1371150727.98,19.49,15.46,12.95,12.95,12.88,6.13,-182.04,5.57
2,3,300607,拓斯达,14.66,19.97,2.44,165922,236789604.18,16.45,14.66,12.65,12.65,12.22,5.81,517.64,2.71
3,4,430425,乐创技术,19.05,18.69,3.0,30413,55314342.56,13.58,19.18,17.0,17.0,16.05,7.48,51.67,4.02
4,5,835579,机科股份,21.48,14.19,2.67,28630,58862428.12,16.21,21.95,18.9,19.22,18.81,6.42,258.25,5.37
5,6,688165,埃夫特-U,10.2,11.11,1.02,54615,54426740.0,12.75,10.37,9.2,9.2,9.18,1.05,-37.86,3.14
6,7,002747,埃斯顿,16.13,10.03,1.47,224428,355267733.14,8.73,16.13,14.85,14.86,14.66,2.85,-157.71,5.41
7,8,603662,柯力传感,36.61,10.01,3.33,70777,255277487.0,4.84,36.61,35.0,35.0,33.28,2.52,40.57,3.96
8,9,002527,新时达,7.83,9.97,0.71,105509,81738335.55,8.01,7.83,7.26,7.32,7.12,1.99,-91.91,3.47
9,10,002689,远大智能,3.34,9.87,0.3,281802,92317407.47,9.54,3.34,3.05,3.05,3.04,2.7,-318.48,3.01
10,11,688322,奥比中光-UW,33.08,7.44,2.29,24123,78181435.0,8.28,33.35,30.8,30.98,30.79,0.94,-164.56,4.51
11,12,688090,瑞松科技,60.25,6.3,3.57,8441,49547404.0,8.73,60.5,55.55,55.55,56.68,0.9,999.68,6.35
12,13,002184,海得控制,9.99,6.16,0.58,48777,48056204.38,7.55,10.13,9.42,9.49,9.41,2.03,-24.37,2.87
13,14,300044,赛为智能,5.45,5.21,0.27,211863,112943191.0,6.76,5.48,5.13,5.13,5.18,2.77,-177.76,6.74
14,15,688529,豪森智能,14.27,5.16,0.7,11379,16068784.0,5.53,14.45,13.7,13.76,13.57,0.68,233.07,1.12
15,16,688686,奥普特,61.78,5.14,3.02,6909,42213864.0,6.47,62.32,58.52,58.76,58.76,0.57,42.93,2.57
16,17,002975,博杰股份,28.84,5.03,1.38,6207,17600709.0,5.46,29.0,27.5,27.57,27.46,0.91,1950.08,2.55
17,18,300112,万讯自控,8.71,4.94,0.41,33800,28955966.0,6.02,8.75,8.25,8.25,8.3,1.42,118.37,2.31
18,19,000584,*ST工智,2.81,4.85,0.13,235560,65861302.61,3.36,2.81,2.72,2.78,2.68,3.1,85.14,3.8
19,20,300486,东杰智能,6.11,4.8,0.28,69451,41750560.5,4.97,6.12,5.83,5.83,5.83,1.75,-24.25,2.0
20,21,002957,科瑞技术,14.62,4.43,0.62,34156,49357220.36,5.29,14.66,13.92,14.0,14.0,0.83,27.33,2.05
21,22,301312,智立方,46.37,4.41,1.96,5704,25916520.3,4.95,46.38,44.18,44.18,44.41,2.21,68.31,3.44
22,23,300802,矩子科技,17.12,4.14,0.68,10063,16976016.74,4.62,17.14,16.38,16.4,16.44,0.52,60.26,3.03
23,24,300836,佰奥智能,45.97,4.08,1.8,5893,26986640.4,6.43,46.6,43.76,44.17,44.17,1.38,121.21,5.65
24,25,300789,唐源电气,15.13,3.99,0.58,10169,15163909.2,3.99,15.14,14.56,14.56,14.55,1.03,30.06,2.13
25,26,301512,智信精密,41.5,3.78,1.51,4595,19023757.0,3.13,42.05,40.8,40.86,39.99,1.85,-50.46,2.25
26,27,688557,兰剑智能,19.97,3.53,0.68,4151,8218246.0,5.13,20.09,19.1,19.1,19.29,0.41,24.09,1.82
27,28,300678,中科信息,40.02,3.38,1.31,98799,393184064.52,6.2,40.8,38.4,38.71,38.71,3.46,1437.45,13.87
28,29,002426,胜利精密,2.25,3.21,0.07,267491,59433404.0,4.13,2.26,2.17,2.18,2.18,0.79,-200.44,2.32
29,30,688088,虹软科技,33.47,3.21,1.04,17859,59115645.0,3.89,33.55,32.29,32.39,32.43,0.45,114.06,5.16
30,31,301488,豪恩汽电,59.76,3.19,1.85,6935,41265134.0,5.84,60.5,57.12,57.12,57.91,2.96,58.87,4.3
31,32,688003,天准科技,36.99,3.18,1.14,6815,24947254.0,4.63,37.2,35.54,35.55,35.85,0.35,-392.17,3.99
32,33,003028,振邦智能,32.52,3.11,0.98,4208,13558707.71,4.95,32.84,31.28,31.49,31.54,0.78,20.35,2.16
33,34,002917,金奥博,9.12,3.05,0.27,32131,29059034.0,3.84,9.19,8.85,8.85,8.85,1.23,22.08,2.04
34,35,002362,汉王科技,19.98,2.94,0.57,34834,68148373.53,4.89,19.99,19.04,19.24,19.41,1.68,-48.83,4.14
35,36,301298,东利机械,13.77,2.91,0.39,7167,9829406.0,3.51,13.86,13.39,13.39,13.38,0.74,28.41,2.24
36,37,301360,荣旗科技,52.29,2.63,1.34,3250,16849849.0,3.34,52.5,50.8,50.96,50.95,1.17,113.52,2.42
37,38,300790,宇瞳光学,16.34,2.45,0.39,26446,42826740.56,3.64,16.38,15.8,15.8,15.95,1.05,29.97,2.81
38,39,688213,思特威-W,67.68,2.39,1.58,10957,73505355.0,2.77,67.89,66.06,66.31,66.1,0.34,74.31,6.7
39,40,300018,中元股份,6.45,2.38,0.15,22173,14219017.0,2.22,6.46,6.32,6.32,6.3,0.58,34.98,2.43
40,41,300730,科创信息,13.28,2.31,0.3,28211,37004335.52,3.08,13.31,12.91,12.99,12.98,1.43,-38.06,10.3
41,42,688115,思林杰,41.38,2.25,0.91,6615,27115842.0,5.91,41.89,39.5,40.65,40.47,1.57,419.44,2.18
42,43,688619,罗普特,8.27,2.22,0.18,3233,2647022.0,2.72,8.28,8.06,8.17,8.09,0.17,-11.96,1.55
43,44,001339,智微智能,35.55,2.16,0.75,14672,51393733.0,4.08,35.62,34.2,34.22,34.8,2.01,81.43,4.39
44,45,688343,云天励飞-U,29.1,2.11,0.6,14512,41780328.0,3.02,29.26,28.4,28.44,28.5,0.56,-18.22,2.57
45,46,300691,联合光电,20.13,1.92,0.38,59478,116670156.54,5.82,20.2,19.05,19.54,19.75,3.08,113.58,3.31
46,47,301315,威士顿,42.52,1.72,0.72,5128,21698359.08,2.99,42.85,41.6,42.0,41.8,1.39,93.64,3.71
47,48,300556,丝路视觉,18.36,1.72,0.31,12364,22543386.0,2.16,18.37,17.98,18.05,18.05,1.2,-7.73,3.13
48,49,300479,神思电子,19.13,1.59,0.3,14642,27679152.0,3.03,19.16,18.59,18.78,18.83,0.74,-25.1,8.87
49,50,688307,中润光学,25.14,1.53,0.38,4666,11575603.0,2.3,25.15,24.58,25.0,24.76,0.82,44.07,2.63
50,51,301568,思泰克,36.47,1.28,0.46,12105,43392959.66,5.72,37.06,35.0,35.7,36.01,4.69,53.93,3.82
51,52,688327,云从科技-UW,11.03,1.19,0.13,37989,41739768.0,2.57,11.12,10.84,10.9,10.9,0.51,-16.86,8.94
52,53,600288,大恒科技,8.44,1.08,0.09,21390,17839992.0,2.63,8.44,8.22,8.33,8.35,0.49,-431.09,1.98
53,54,688207,格灵深瞳,14.73,0.96,0.14,18151,26618182.0,2.33,14.79,14.45,14.5,14.59,1.02,-20.79,1.78
54,55,688038,中科通达,13.03,0.93,0.12,10368,13412085.0,2.71,13.1,12.75,12.97,12.91,0.89,646.75,2.44
55,56,688610,埃科光电,34.69,0.9,0.31,1187,4046618.0,3.61,34.75,33.51,33.88,34.38,0.49,110.47,1.62
56,57,688787,海天瑞声,62.78,0.84,0.52,4811,29971074.0,3.0,63.19,61.32,62.65,62.26,0.8,749.7,5.14
57,58,688623,双元科技,54.2,0.8,0.43,203,1097348.0,1.23,54.2,53.54,53.54,53.77,0.12,34.73,1.52
58,59,002401,中远海科,15.92,0.25,0.04,14464,22990912.6,1.39,16.03,15.81,15.89,15.88,0.39,31.26,3.52
59,60,300598,诚迈科技,56.68,-0.32,-0.18,35414,200406188.41,5.08,58.0,55.11,55.96,56.86,1.63,-112.15,7.8
60,61,688067,爱威科技,17.67,-0.51,-0.09,1869,3311526.0,3.72,18.12,17.46,18.12,17.76,0.27,35.86,2.41
61,62,688400,凌云光,23.06,-2.0,-0.47,27075,61997052.0,2.68,23.17,22.54,23.0,23.53,1.13,71.58,2.69
62,63,301421,波长光电,56.17,-2.09,-1.2,40789,223899278.44,5.33,56.83,53.77,54.82,57.37,8.81,158.19,5.49
63,64,000948,南天信息,19.34,-4.07,-0.82,113273,217237232.87,3.57,19.52,18.8,19.11,20.16,2.93,102.12,2.87
64,65,000821,京山轻机,14.05,-4.23,-0.62,306728,423971045.48,7.98,14.37,13.2,13.2,14.67,5.07,15.16,2.17
