,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000506,*ST中润,2.48,5.08,0.12,49176,12195648.0,0.0,2.48,2.48,2.48,2.36,0.53,-20.97,3.62
1,2,300139,晓程科技,19.76,2.76,0.53,94588,184786016.0,3.48,19.94,19.27,19.28,19.23,4.05,99.9,5.48
2,3,600988,赤峰黄金,19.36,1.84,0.35,160233,308517789.0,2.37,19.45,19.0,19.07,19.01,0.96,22.67,4.73
3,4,000975,山金国际,18.65,1.75,0.32,96543,178156401.5,3.38,18.72,18.1,18.35,18.33,0.39,22.48,4.14
4,5,600489,中金黄金,14.43,0.7,0.1,94484,136264730.0,1.19,14.5,14.33,14.38,14.33,0.19,20.07,2.73
5,6,601028,玉龙股份,13.51,0.37,0.05,50390,68026785.0,1.41,13.6,13.41,13.47,13.46,0.64,22.19,3.1
6,7,002155,湖南黄金,16.9,0.24,0.04,82496,139067499.9,2.02,17.0,16.66,16.88,16.86,0.69,22.85,3.02
7,8,601069,西部黄金,13.01,0.23,0.03,25542,33268464.0,1.46,13.12,12.93,12.97,12.98,0.37,90.16,2.68
8,9,601899,紫金矿业,17.23,0.17,0.03,283919,490724197.0,0.81,17.35,17.21,17.27,17.2,0.14,14.1,3.45
9,10,002237,恒邦股份,11.28,0.0,0.0,23652,26711977.0,0.89,11.34,11.24,11.28,11.28,0.26,20.91,1.42
10,11,600547,山东黄金,27.27,-0.22,-0.06,61374,167787771.0,1.28,27.48,27.13,27.35,27.33,0.17,44.29,5.03
11,12,001337,四川黄金,24.83,-0.24,-0.06,23606,58567599.0,1.57,25.03,24.64,24.79,24.89,0.82,39.7,7.39
12,13,002716,湖南白银,3.61,-0.55,-0.02,149959,54297950.18,1.65,3.66,3.6,3.63,3.63,0.68,61.92,3.14
