,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,电机,BK1030,1653.05,91.25,5.84,179576483000,2.2,25,0,科力尔,9.98
1,2,汽车整车,BK1029,1583.9,61.01,4.01,2131822320000,1.1,25,0,众泰汽车,10.22
2,3,汽车零部件,BK0481,31716.83,1045.44,3.41,1610899568000,1.4,204,15,豪能股份,9.98
3,4,通用设备,BK0545,28538.82,899.39,3.25,1080726320000,1.34,185,24,旺成科技,29.93
4,5,消费电子,BK1037,1359.99,36.3,2.74,1993537104000,1.27,93,8,波导股份,9.93
5,6,专用设备,BK0910,2204.38,53.51,2.49,1417738576000,1.0,231,24,新时达,9.97
6,7,仪器仪表,BK0458,12937.22,291.25,2.3,273431872000,1.69,60,10,柯力传感,10.01
7,8,光学光电子,BK1038,1390.21,30.63,2.25,1094206944000,1.75,85,15,蓝黛科技,10.01
8,9,风电设备,BK1032,1051.1,23.07,2.24,308604736000,1.24,26,2,电气风电,20.04
9,10,通信设备,BK0448,12210.3,248.55,2.08,1490365728000,1.02,93,16,剑桥科技,10.0
10,11,电子元件,BK0459,21842.62,438.56,2.05,1831006608000,0.84,125,15,安培龙,8.21
11,12,电子化学品,BK1039,1516.88,30.29,2.04,268650160000,1.12,25,1,瑞联新材,5.51
12,13,橡胶制品,BK1018,1307.72,24.24,1.89,276495584000,0.53,25,6,阳谷华泰,20.03
13,14,航天航空,BK0480,44211.44,773.42,1.78,987728944000,0.82,40,5,航天电子,8.15
14,15,计算机设备,BK0735,1156.29,19.05,1.68,909852720000,1.59,43,6,中科曙光,5.46
15,16,半导体,BK1036,1280.61,21.01,1.67,4085935552000,1.11,140,17,有研硅,8.32
16,17,电池,BK1033,877.97,14.38,1.67,1993418784000,0.71,68,7,国轩高科,6.48
17,18,塑料制品,BK0454,11501.59,182.99,1.62,349891408000,0.91,75,9,横河精密,20.02
18,19,电源设备,BK1034,1575.65,24.08,1.55,342001248000,1.88,23,4,麦格米特,6.07
19,20,医疗服务,BK0727,979.97,14.82,1.54,683996032000,0.69,36,6,昭衍新药,10.02
20,21,船舶制造,BK0729,833.16,12.57,1.53,405537136000,0.3,9,0,ST瑞科,3.56
21,22,电网设备,BK0457,23731.1,335.5,1.43,1253761392000,0.73,110,20,长城电工,10.01
22,23,工程机械,BK0739,1472.94,20.09,1.38,628466096000,0.47,26,5,长盛轴承,5.48
23,24,游戏,BK1046,1015.1,13.53,1.35,312627456000,0.94,25,2,恺英网络,3.99
24,25,家电行业,BK0456,18356.23,239.75,1.32,1878781760000,1.02,74,17,海立股份,10.03
25,26,证券,BK0473,147007.63,1868.38,1.29,3426741248000,0.76,46,4,东兴证券,8.53
