,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,873223,荣亿精密,12.7,29.99,2.93,,,0.0,,,,9.77,0.0,-72.59,7.33
1,2,834599,同力股份,15.88,13.51,1.89,,,0.0,,,,13.99,0.0,11.82,2.65
2,3,835174,五新隧装,28.9,11.45,2.97,,,0.0,,,,25.93,0.0,20.77,3.46
3,4,873706,铁拓机械,15.68,7.18,1.05,,,0.0,,,,14.63,0.0,24.36,2.65
4,5,603338,浙江鼎力,51.96,7.13,3.46,,,0.0,,,,48.5,0.0,13.51,2.67
5,6,001288,运机集团,29.0,6.23,1.7,,,0.0,,,,27.3,0.0,42.8,2.43
6,7,600817,宇通重工,11.78,1.2,0.14,,,0.0,,,,11.64,0.0,36.27,2.65
7,8,688425,铁建重工,4.36,0.93,0.04,,,0.0,,,,4.32,0.0,16.08,1.39
8,9,002204,大连重工,4.85,0.62,0.03,,,0.0,,,,4.82,0.0,17.78,1.29
9,10,000157,中联重科,6.77,0.45,0.03,,,0.0,,,,6.74,0.0,12.84,1.05
10,11,603611,诺力股份,17.1,0.23,0.04,,,0.0,,,,17.06,0.0,9.16,1.61
11,12,300022,吉峰科技,4.57,0.22,0.01,,,0.0,,,,4.56,0.0,-70.78,4.17
12,13,871245,威博液压,19.03,0.0,0.0,,,0.0,,,,19.03,0.0,34.96,2.68
13,14,605389,长龄液压,,,,,,,,,,20.67,0.0,24.37,1.42
14,15,603638,艾迪精密,,,,,,,,,,15.88,0.0,33.88,4.17
15,16,601226,华电科工,5.83,0.0,0.0,,,0.0,,,,5.83,0.0,47.4,1.59
16,17,601100,恒立液压,53.0,0.0,0.0,,,0.0,,,,53.0,0.0,29.75,4.72
17,18,300718,长盛轴承,16.45,0.0,0.0,,,0.0,,,,16.45,0.0,21.79,3.04
18,19,300201,海伦哲,4.32,0.0,0.0,,,0.0,,,,4.32,0.0,25.34,3.16
19,20,002097,山河智能,6.96,0.0,0.0,,,0.0,,,,6.96,0.0,109.55,1.63
20,21,001226,拓山重工,24.23,0.0,0.0,,,0.0,,,,24.23,0.0,88.47,2.45
21,22,000680,山推股份,8.24,0.0,0.0,,,0.0,,,,8.24,0.0,14.77,2.14
22,23,000425,徐工机械,7.54,0.0,0.0,,,0.0,,,,7.54,0.0,12.02,1.49
23,24,600761,安徽合力,17.8,-0.28,-0.05,,,0.0,,,,17.85,0.0,10.8,1.55
24,25,600984,建设机械,3.19,-0.31,-0.01,,,0.0,,,,3.2,0.0,-4.79,0.87
25,26,600031,三一重工,17.6,-0.34,-0.06,,,0.0,,,,17.66,0.0,20.87,2.16
26,27,600815,厦工股份,2.4,-0.41,-0.01,,,0.0,,,,2.41,0.0,425.14,2.8
27,28,603298,杭叉集团,17.25,-1.15,-0.2,,,0.0,,,,17.45,0.0,10.77,2.33
28,29,200055,方大Ｂ,1.71,-1.16,-0.02,,,0.0,,,,1.73,0.0,8.3,0.27
29,30,000528,柳    工,11.75,-1.43,-0.17,,,0.0,,,,11.92,0.0,13.24,1.32
30,31,600375,*ST汉马,5.27,-5.05,-0.28,,,0.0,,,,5.55,0.0,-6.95,-2.91
31,32,002272,川润股份,12.24,-10.0,-1.36,,,0.0,,,,13.6,0.0,-52.43,3.72
