,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300647,超频三,8.85,17.22,1.3,376149,299803192.74,19.07,8.85,7.41,7.45,7.55,8.24,-64.83,4.31
1,2,600203,福日电子,14.0,9.98,1.27,875181,1124019005.0,19.95,14.0,11.46,11.46,12.73,14.76,-46.44,4.35
2,3,600130,波导股份,6.31,9.93,0.57,286308,179036375.0,5.05,6.31,6.02,6.1,5.74,3.82,863.79,4.92
3,4,300735,光弘科技,36.77,8.43,2.86,298807,1083959041.76,6.9,37.24,34.9,34.91,33.91,3.95,142.27,5.87
4,5,833346,威贸电子,25.06,8.2,1.9,17734,44319165.44,10.97,26.0,23.46,23.8,23.16,6.55,49.55,4.64
5,6,300256,星星科技,5.28,7.76,0.38,1529434,796840027.02,18.78,5.55,4.63,4.63,4.9,9.31,-70.38,9.95
6,7,002402,和而泰,12.77,7.49,0.89,201343,252864236.64,6.73,12.79,11.99,11.99,11.88,2.51,24.94,2.53
7,8,002681,奋达科技,5.02,7.26,0.34,518908,253271872.03,9.62,5.05,4.6,4.6,4.68,3.51,44.38,3.67
8,9,688260,昀冢科技,18.2,7.0,1.19,24690,43968921.0,8.23,18.4,17.0,17.0,17.01,2.06,-20.55,8.38
9,10,300136,信维通信,24.33,6.29,1.44,211839,511261781.7,5.68,24.5,23.2,23.2,22.89,2.57,33.11,3.28
10,11,002139,拓邦股份,11.84,5.43,0.61,202360,235690312.0,5.88,11.86,11.2,11.2,11.23,1.89,20.05,2.25
11,12,300916,朗特智能,27.04,4.97,1.28,13879,37165241.56,5.75,27.24,25.76,25.76,25.76,1.5,28.17,3.04
12,13,300543,朗科智能,9.63,4.79,0.44,31791,30114659.01,5.11,9.66,9.19,9.38,9.19,1.5,42.26,2.52
13,14,300115,长盈精密,19.65,4.74,0.89,396178,765124100.25,8.42,19.88,18.3,18.88,18.76,3.3,33.54,3.43
