,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,873593,鼎智科技,31.03,30.0,7.16,94999,286310268.54,21.87,31.03,25.81,25.86,23.87,8.29,102.21,6.33
1,2,300660,江苏雷利,31.12,11.62,3.24,92073,280399111.84,12.05,31.94,28.58,28.59,27.88,2.89,30.95,2.94
2,3,603350,安乃达,33.75,10.01,3.07,32710,107765678.0,7.33,33.75,31.5,31.5,30.68,11.51,34.56,2.95
3,4,603728,鸣志电器,49.93,10.0,4.54,108798,531640182.0,7.71,49.93,46.43,46.58,45.39,2.6,332.77,7.28
4,5,002892,科力尔,13.66,9.98,1.24,100971,137926085.48,0.0,13.66,13.66,13.66,12.42,2.55,89.94,6.48
5,6,603489,八方股份,22.26,9.98,2.02,37128,81219330.0,10.72,22.26,20.09,20.1,20.24,1.58,76.55,1.99
6,7,003021,兆威机电,48.42,9.03,4.01,46425,221364741.28,7.05,48.83,45.7,45.7,44.41,2.25,54.8,3.69
7,8,301226,祥明智能,27.75,8.57,2.19,71841,196765333.7,8.65,28.4,26.19,26.27,25.56,14.64,111.33,3.36
8,9,301023,江南奕帆,44.51,4.88,2.07,4256,18691350.0,5.7,44.88,42.46,42.46,42.44,1.43,25.94,3.04
9,10,002196,方正电机,5.39,4.66,0.24,138498,74116699.0,5.63,5.42,5.13,5.13,5.15,2.83,224077.27,1.85
10,11,603344,星德胜,21.9,4.39,0.92,17389,37993875.0,5.91,22.5,21.26,21.26,20.98,3.58,23.1,2.17
11,12,002823,凯中精密,16.76,4.1,0.66,71871,118713254.86,5.28,16.85,16.0,16.0,16.1,3.32,35.6,2.78
12,13,300626,华瑞股份,9.75,4.06,0.38,21218,20358666.45,5.87,9.8,9.25,9.41,9.37,1.19,79.24,3.28
13,14,300907,康平科技,21.28,3.86,0.79,5695,11949317.0,3.86,21.3,20.51,20.51,20.49,0.59,22.58,2.76
14,15,002801,微光股份,21.62,3.35,0.7,7086,15301971.0,3.54,21.82,21.08,21.12,20.92,0.61,16.04,2.98
15,16,603988,中电电机,15.39,3.01,0.45,33547,51316727.0,5.96,15.69,14.8,15.11,14.94,1.43,-199.33,5.5
16,17,002576,通达动力,13.04,3.0,0.38,11756,15211760.0,2.84,13.06,12.7,12.7,12.66,0.73,36.54,1.74
17,18,603819,神力股份,9.4,2.96,0.27,8103,7529258.0,2.52,9.4,9.17,9.25,9.13,0.37,-32.23,2.63
18,19,002176,江特电机,8.2,2.89,0.23,271307,222382308.51,6.02,8.4,7.92,8.03,7.97,1.59,-127.62,3.75
19,20,600580,卧龙电驱,16.64,2.84,0.46,846095,1404487243.0,8.28,17.17,15.83,16.62,16.18,6.47,25.58,2.2
20,21,603320,迪贝电气,14.38,2.64,0.37,9887,14100213.0,3.0,14.43,14.01,14.01,14.01,0.75,25.22,2.22
21,22,301502,华阳智能,41.04,2.42,0.97,2927,11908770.0,2.75,41.1,40.0,40.05,40.07,2.05,69.74,2.87
22,23,002249,大洋电机,5.81,1.57,0.09,158412,91627891.02,2.45,5.85,5.71,5.72,5.72,0.87,15.76,1.55
23,24,000922,佳电股份,11.27,1.44,0.16,23883,26740626.22,2.07,11.3,11.07,11.11,11.11,0.41,24.3,2.04
24,25,688395,正弦电气,17.4,1.05,0.18,719,1238967.0,2.21,17.44,17.06,17.06,17.22,0.08,36.6,1.99
25,26,600416,湘电股份,13.93,0.0,0.0,104693,146338469.0,3.23,14.25,13.8,13.91,13.93,0.79,82.52,2.49
