,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300139,晓程科技,21.43,4.89,1.0,,,0.0,,,,20.43,0.0,108.34,5.95
1,2,000506,*ST中润,2.6,4.84,0.12,,,0.0,,,,2.48,0.0,-20.11,3.98
2,3,002237,恒邦股份,11.41,2.06,0.23,,,0.0,,,,11.18,0.0,21.15,1.44
3,4,002716,湖南白银,3.75,1.63,0.06,,,0.0,,,,3.69,0.0,64.32,3.26
4,5,601069,西部黄金,13.19,1.62,0.21,,,0.0,,,,12.98,0.0,70.57,2.68
5,6,001337,四川黄金,24.98,1.42,0.35,,,0.0,,,,24.63,0.0,39.94,7.44
6,7,000975,山金国际,18.87,1.18,0.22,,,0.0,,,,18.65,0.0,22.75,4.19
7,8,600489,中金黄金,14.65,0.83,0.12,,,0.0,,,,14.53,0.0,20.15,2.66
8,9,601028,玉龙股份,13.7,0.74,0.1,,,0.0,,,,13.6,0.0,27.92,3.11
9,10,601899,紫金矿业,17.31,0.52,0.09,,,0.0,,,,17.22,0.0,14.17,3.47
10,11,600988,赤峰黄金,19.58,0.05,0.01,,,0.0,,,,19.57,0.0,22.93,4.79
11,12,600547,山东黄金,27.21,0.0,0.0,,,0.0,,,,27.21,0.0,44.19,5.02
12,13,002155,湖南黄金,16.84,0.0,0.0,,,0.0,,,,16.84,0.0,22.77,3.01
