,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300571,平治信息,33.13,19.99,5.52,,,0.0,,,,27.61,0.0,581.77,2.92
1,2,300578,会畅通讯,28.22,19.98,4.7,,,0.0,,,,23.52,0.0,182.48,4.77
2,3,603559,*ST通脉,9.98,5.05,0.48,,,0.0,,,,9.5,0.0,-12.72,42.45
3,4,600804,*ST鹏博,1.56,4.7,0.07,,,0.0,,,,1.49,0.0,-4.85,3.8
4,5,300292,吴通控股,5.96,3.65,0.21,,,0.0,,,,5.75,0.0,75.22,5.85
5,6,300081,恒信东方,6.78,2.26,0.15,,,0.0,,,,6.63,0.0,-21.51,2.88
6,7,600289,*ST信通,1.67,1.83,0.03,,,0.0,,,,1.64,0.0,27.49,1.46
7,8,300183,东软载波,17.27,1.77,0.3,,,0.0,,,,16.97,0.0,71.31,2.52
8,9,300050,世纪鼎利,7.18,1.41,0.1,,,0.0,,,,7.08,0.0,-150.6,8.47
9,10,603220,中贝通信,24.28,1.17,0.28,,,0.0,,,,24.0,0.0,54.7,5.41
10,11,688682,霍莱沃,35.57,1.08,0.38,,,0.0,,,,35.19,0.0,187.49,3.96
11,12,600050,XD中国联,5.06,0.8,0.04,,,0.0,,,,5.02,0.0,14.47,0.97
12,13,300513,恒实科技,9.55,0.42,0.04,,,0.0,,,,9.51,0.0,-44.92,1.28
13,14,300603,立昂技术,9.89,0.3,0.03,,,0.0,,,,9.86,0.0,623.92,3.19
14,15,688081,兴图新科,,,,,,,,,,13.21,0.0,-24.62,2.78
15,16,603602,纵横通信,16.96,0.0,0.0,,,0.0,,,,16.96,0.0,123.5,4.86
16,17,603421,鼎信通讯,6.23,0.0,0.0,,,0.0,,,,6.23,0.0,-107.16,1.21
17,18,601728,中国电信,6.52,0.0,0.0,,,0.0,,,,6.52,0.0,15.27,1.33
18,19,601698,中国卫通,17.33,0.0,0.0,,,0.0,,,,17.33,0.0,90.06,4.69
19,20,600941,中国移动,102.2,0.0,0.0,,,0.0,,,,102.2,0.0,14.84,1.66
20,21,301139,元道通信,22.99,0.0,0.0,,,0.0,,,,22.99,0.0,44.89,1.44
21,22,300959,线上线下,,,,,,,,,,30.94,0.0,148.66,2.14
22,23,300310,宜通世纪,9.12,0.0,0.0,,,0.0,,,,9.12,0.0,247.95,4.14
23,24,300211,亿通科技,7.67,0.0,0.0,,,0.0,,,,7.67,0.0,-58.87,4.77
24,25,002929,润建股份,29.9,0.0,0.0,,,0.0,,,,29.9,0.0,17.86,1.36
25,26,002123,梦网科技,11.66,0.0,0.0,,,0.0,,,,11.66,0.0,229.96,5.64
26,27,002093,国脉科技,8.31,0.0,0.0,,,0.0,,,,8.31,0.0,42.4,2.3
27,28,300736,百邦科技,11.36,-0.09,-0.01,,,0.0,,,,11.37,0.0,-69.92,15.17
28,29,300921,南凌科技,22.52,-0.22,-0.05,,,0.0,,,,22.57,0.0,386.72,3.66
29,30,002467,二六三,4.18,-0.24,-0.01,,,0.0,,,,4.19,0.0,56.03,3.07
30,31,002231,奥维通信,6.4,-0.31,-0.02,,,0.0,,,,6.42,0.0,-91.25,7.38
31,32,300597,吉大通信,8.81,-0.34,-0.03,,,0.0,,,,8.84,0.0,214.57,2.36
32,33,002544,普天科技,25.24,-0.39,-0.1,,,0.0,,,,25.34,0.0,705.86,4.6
33,34,000889,ST中嘉,2.14,-0.93,-0.02,,,0.0,,,,2.16,0.0,-69.12,16.52
34,35,002148,北纬科技,5.71,-1.04,-0.06,,,0.0,,,,5.77,0.0,177.16,2.63
35,36,603322,超讯通信,34.0,-1.13,-0.39,,,0.0,,,,34.39,0.0,94.86,16.56
36,37,300025,华星创业,9.28,-1.9,-0.18,,,0.0,,,,9.46,0.0,-87.5,7.4
37,38,603206,嘉环科技,20.02,-2.1,-0.43,,,0.0,,,,20.45,0.0,60.83,2.75
38,39,300560,中富通,15.8,-2.17,-0.35,,,0.0,,,,16.15,0.0,206.63,3.33
