,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300503,昊志机电,18.18,12.29,1.99,263881,465331093.74,12.66,18.74,16.69,16.69,16.19,11.04,51.63,4.69
1,2,000536,华映科技,6.7,10.02,0.61,3328733,2003111615.16,20.03,6.7,5.48,6.05,6.09,12.05,-16.38,11.76
2,3,603773,沃格光电,26.62,9.23,2.25,95721,249733170.0,10.01,26.8,24.36,24.36,24.37,4.71,-90.02,4.49
3,4,300256,星星科技,5.35,9.18,0.45,1537683,801222621.02,18.78,5.55,4.63,4.63,4.9,9.36,-71.31,10.09
4,5,002217,*ST合泰,1.92,4.92,0.09,22504,4320672.0,0.0,1.92,1.92,1.92,1.83,0.07,-3.65,-0.77
5,6,002036,联创电子,9.62,4.34,0.4,227915,215855485.73,6.94,9.75,9.11,9.2,9.22,2.16,-166.95,3.83
6,7,300400,劲拓股份,17.55,4.15,0.7,41175,71110721.0,5.76,17.64,16.67,16.67,16.85,1.71,52.93,5.48
7,8,600552,凯盛科技,13.04,3.99,0.5,189654,243387835.0,5.18,13.06,12.41,12.41,12.54,2.01,82.6,2.97
8,9,300088,长信科技,6.91,3.75,0.25,306982,208388586.0,4.95,6.91,6.58,6.61,6.66,1.26,43.43,2.03
9,10,300173,福能东方,4.47,3.47,0.15,64670,28539055.0,3.7,4.48,4.32,4.32,4.32,0.88,363.87,3.61
10,11,000988,华工科技,38.66,3.09,1.16,126650,486491451.0,4.61,39.13,37.4,37.4,37.5,1.26,31.09,3.92
11,12,300508,维宏股份,27.8,2.96,0.8,6926,19008044.0,4.04,27.83,26.74,26.74,27.0,1.21,27.57,4.03
12,13,002547,春兴精工,3.5,2.94,0.1,90436,31268321.0,4.41,3.5,3.35,3.35,3.4,0.82,-16.75,59.55
13,14,301051,信濠光电,26.8,2.92,0.76,3246,8588585.4,2.92,26.8,26.04,26.04,26.04,0.24,-16.43,1.83
14,15,300433,蓝思科技,22.13,2.88,0.62,89749,197354733.82,3.67,22.2,21.41,21.45,21.51,0.18,34.88,2.33
15,16,600666,奥瑞德,2.27,1.79,0.04,239864,54127758.0,4.04,2.3,2.21,2.23,2.23,0.99,-170.95,6.38
16,17,300217,东方电热,4.83,1.68,0.08,64731,31051669.0,2.32,4.85,4.74,4.77,4.75,0.53,19.15,1.76
17,18,600207,安彩高科,5.02,-0.4,-0.02,118523,58763791.0,4.17,5.04,4.83,4.88,5.04,1.09,-45.61,1.81
