,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,430510,丰光精密,22.6,20.28,3.81,59629,131414594.68,20.17,23.79,20.0,20.0,18.79,6.8,142.12,10.39
1,2,300539,横河精密,12.23,20.02,2.04,62053,75890464.33,0.0,12.23,12.23,12.23,10.19,3.62,84.09,4.96
2,3,301596,瑞迪智驱,106.98,20.0,17.83,34910,361823551.94,8.95,106.98,99.0,100.0,89.15,25.33,60.25,7.34
3,4,300432,富临精工,14.84,15.49,1.99,522153,758638010.42,14.63,15.4,13.52,13.88,12.85,4.33,43.74,4.17
4,5,688017,绿的谐波,102.1,15.37,13.6,41218,400485663.0,12.08,102.49,91.8,91.8,88.5,2.44,219.66,8.5
5,6,430418,苏轴股份,25.09,13.68,3.02,26449,63177636.4,13.32,25.09,22.15,22.15,22.07,3.69,21.67,4.33
6,7,836720,吉冈精密,17.03,13.53,2.03,47428,78305776.16,11.13,17.03,15.36,15.82,15.0,9.56,55.0,6.99
7,8,300503,昊志机电,18.18,12.29,1.99,263881,465331093.74,12.66,18.74,16.69,16.69,16.19,11.04,51.63,4.69
8,9,688165,埃夫特-U,10.19,11.0,1.01,55365,55192221.0,12.75,10.37,9.2,9.2,9.18,1.06,-37.82,3.13
9,10,301368,丰立智能,53.17,10.61,5.1,78541,409997710.7,10.63,55.0,49.89,49.98,48.07,12.25,302.67,6.54
10,11,002403,爱仕达,8.67,10.03,0.79,39184,33355141.0,10.03,8.67,7.88,7.88,7.88,1.32,1333.89,1.77
11,12,002765,蓝黛科技,8.46,10.01,0.77,68240,57731336.1,0.0,8.46,8.46,8.46,7.69,1.15,39.93,2.23
12,13,002031,巨轮智能,3.74,10.0,0.34,984106,360841259.04,9.41,3.74,3.42,3.42,3.4,4.96,1056.02,3.38
13,14,001306,夏厦精密,52.03,10.0,4.73,9222,47712125.52,9.56,52.03,47.51,47.51,47.3,5.95,50.69,2.45
14,15,002896,中大力德,32.47,9.99,2.95,79897,254678037.81,8.4,32.47,29.99,29.99,29.52,5.29,64.66,4.24
15,16,603809,豪能股份,13.22,9.98,1.2,557452,729204799.0,6.74,13.22,12.41,13.2,12.02,9.58,23.7,3.2
16,17,000837,秦川机床,9.37,9.98,0.85,244002,222463630.5,9.27,9.37,8.58,8.58,8.52,2.51,126.33,1.97
17,18,002527,新时达,7.83,9.97,0.71,106999,82905005.55,8.01,7.83,7.26,7.32,7.12,2.02,-91.91,3.47
18,19,000795,英洛华,9.05,9.96,0.82,83062,75171110.0,0.0,9.05,9.05,9.05,8.23,0.73,37.27,3.81
19,20,300403,汉宇集团,8.9,9.61,0.78,187304,162605631.06,9.11,8.98,8.24,8.25,8.12,4.43,22.57,2.82
20,21,301255,通力科技,32.04,8.94,2.63,16860,53232332.75,9.69,32.55,29.7,29.7,29.41,6.2,59.91,3.38
21,22,301550,斯菱股份,52.05,8.51,4.08,42377,217212659.52,10.3,53.45,48.51,49.0,47.97,7.71,31.38,3.37
22,23,603667,五洲新春,18.44,7.15,1.23,72052,130474568.0,5.58,18.54,17.58,17.6,17.21,1.97,51.58,2.3
23,24,002472,双环传动,29.45,7.09,1.95,79018,230314979.35,6.95,29.7,27.79,27.79,27.5,1.05,25.36,2.93
24,25,002553,南方精工,12.34,6.84,0.79,151498,184623060.9,6.15,12.44,11.73,11.73,11.55,6.04,69.4,3.72
25,26,300488,恒锋工具,23.69,6.23,1.39,13434,31196858.0,6.19,23.69,22.31,22.31,22.3,0.98,30.46,2.82
26,27,603915,国茂股份,10.14,6.07,0.58,48946,48926935.0,7.11,10.21,9.53,9.56,9.56,0.75,24.03,1.86
27,28,300817,双飞集团,14.16,5.83,0.78,28089,39283852.33,6.28,14.28,13.44,13.44,13.38,2.26,47.22,3.04
28,29,301261,恒工精密,40.42,5.7,2.18,26305,106219828.19,4.45,41.2,39.5,39.8,38.24,6.94,27.71,2.27
29,30,002520,日发精机,5.38,5.7,0.29,159784,84416343.5,6.88,5.43,5.08,5.14,5.09,2.48,-48.79,3.89
30,31,300549,优德精密,18.24,5.56,0.96,64543,118651489.02,9.9,19.21,17.5,18.28,17.28,6.39,145.68,4.43
31,32,301279,金道科技,20.16,5.11,0.98,9934,19689047.2,7.56,20.59,19.14,19.14,19.18,3.46,46.39,1.54
32,33,301023,江南奕帆,44.51,4.88,2.07,4305,18909376.0,5.7,44.88,42.46,42.46,42.44,1.44,25.94,3.04
33,34,000584,*ST工智,2.81,4.85,0.13,235960,65973702.61,3.36,2.81,2.72,2.78,2.68,3.11,85.14,3.8
34,35,002164,宁波东力,5.12,4.7,0.23,62916,31569902.0,6.13,5.15,4.85,4.86,4.89,1.31,47.83,1.99
35,36,301229,纽泰格,21.1,4.46,0.9,11402,23989794.4,5.35,21.29,20.21,20.35,20.2,2.38,38.42,2.64
36,37,603767,中马传动,12.78,4.41,0.54,94984,121880333.0,3.68,13.07,12.62,12.62,12.24,3.08,59.02,2.73
37,38,300825,阿尔特,11.45,4.28,0.47,55275,62210950.0,5.74,11.45,10.82,10.98,10.98,1.14,3444.18,2.35
38,39,002008,大族激光,26.01,4.08,1.02,135012,344896038.1,5.04,26.04,24.78,24.79,24.99,1.38,14.39,1.72
39,40,001282,三联锻造,19.23,4.06,0.75,10123,19294576.6,3.68,19.28,18.6,18.91,18.48,1.81,22.22,2.02
40,41,000678,襄阳轴承,6.03,3.97,0.23,160838,96015476.92,8.1,6.13,5.66,5.85,5.8,3.5,-106.85,3.4
41,42,002921,联诚精密,11.01,3.77,0.4,9265,10106885.4,3.68,11.09,10.7,10.7,10.61,0.84,-44.18,1.43
42,43,300879,大叶股份,14.7,3.74,0.53,23251,33769796.32,3.81,14.73,14.19,14.3,14.17,1.2,101.68,2.49
43,44,002434,万里扬,5.69,3.64,0.2,59657,33615085.0,3.1,5.7,5.53,5.54,5.49,0.45,21.8,1.3
44,45,300904,威力传动,45.92,3.38,1.5,6316,28737526.0,5.0,46.28,44.06,44.07,44.42,2.87,155.71,4.17
45,46,605389,长龄液压,20.82,3.27,0.66,6520,13410652.0,4.56,21.09,20.17,20.24,20.16,0.48,24.55,1.43
46,47,603638,艾迪精密,17.0,3.03,0.5,21026,35466467.0,3.7,17.1,16.49,16.49,16.5,0.25,38.09,4.39
47,48,002265,建设工业,11.07,2.59,0.28,19877,21844638.0,3.24,11.07,10.72,10.76,10.79,0.49,46.82,3.23
48,49,002708,光洋股份,10.28,2.59,0.26,196269,196365379.12,6.49,10.28,9.63,9.63,10.02,3.97,107.85,3.3
49,50,002600,领益智造,8.6,2.38,0.2,414614,350287880.0,3.81,8.6,8.28,8.3,8.4,0.6,32.17,3.11
50,51,002526,山东矿机,2.73,2.25,0.06,177234,48111742.58,1.5,2.73,2.69,2.69,2.67,1.01,33.31,1.56
51,52,605208,永茂泰,6.85,1.33,0.09,10809,7364436.0,2.07,6.87,6.73,6.82,6.76,0.33,47.16,1.08
52,53,600835,上海机电,17.15,1.06,0.18,120718,204981033.0,7.07,17.5,16.3,16.42,16.97,1.5,18.06,1.3
53,54,300198,纳川股份,2.24,0.0,0.0,144322,32245303.0,4.02,2.28,2.19,2.24,2.24,1.41,-22.04,3.41
54,55,000981,山子高科,1.35,-0.74,-0.01,996600,134864632.0,3.68,1.38,1.33,1.33,1.36,1.53,-12.39,6.4
