,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300010,豆神教育,9.59,20.03,1.6,,,0.0,,,,7.99,0.0,134.06,18.27
1,2,300781,因赛集团,95.78,19.99,15.96,,,0.0,,,,79.82,0.0,217.81,14.76
2,3,000917,电广传媒,9.19,10.06,0.84,,,0.0,,,,8.35,0.0,160.2,1.26
3,4,605069,正和生态,9.57,10.0,0.87,,,0.0,,,,8.7,0.0,381.8,1.94
4,5,002657,中科金财,20.37,9.99,1.85,,,0.0,,,,18.52,0.0,-66.32,3.83
5,6,002712,思美传媒,6.29,9.97,0.57,,,0.0,,,,5.72,0.0,1477.39,2.41
6,7,688400,凌云光,24.5,5.11,1.19,,,0.0,,,,23.31,0.0,76.05,2.86
7,8,300571,平治信息,28.81,4.35,1.2,,,0.0,,,,27.61,0.0,505.91,2.54
8,9,300674,宇信科技,24.98,2.13,0.52,,,0.0,,,,24.46,0.0,50.31,4.27
9,10,300688,创业黑马,37.7,1.95,0.72,,,0.0,,,,36.98,0.0,-109.65,12.99
10,11,000681,视觉中国,13.28,0.84,0.11,,,0.0,,,,13.17,0.0,85.41,2.66
11,12,839493,并行科技,86.0,0.47,0.4,,,0.0,,,,85.6,0.0,1245.38,14.45
12,13,000034,神州数码,32.29,0.16,0.05,,,0.0,,,,32.24,0.0,21.22,2.4
13,14,300830,金现代,8.23,0.12,0.01,,,0.0,,,,8.22,0.0,-67.87,3.07
14,15,000032,深桑达Ａ,18.67,0.11,0.02,,,0.0,,,,18.65,0.0,-125.85,3.51
15,16,688158,优刻得-W,15.06,0.0,0.0,,,0.0,,,,15.06,0.0,-30.96,2.76
16,17,300846,首都在线,15.07,0.0,0.0,,,0.0,,,,15.07,0.0,-38.63,7.03
17,18,300058,蓝色光标,7.3,0.0,0.0,,,0.0,,,,7.3,0.0,112.34,2.32
18,19,000158,常山北明,30.6,-0.03,-0.01,,,0.0,,,,30.61,0.0,-128.94,8.78
19,20,688787,海天瑞声,66.93,-0.1,-0.07,,,0.0,,,,67.0,0.0,799.26,5.48
20,21,300785,值得买,28.2,-0.11,-0.03,,,0.0,,,,28.23,0.0,1105.46,3.06
21,22,300825,阿尔特,11.6,-0.34,-0.04,,,0.0,,,,11.64,0.0,3489.3,2.38
22,23,002555,三七互娱,16.62,-0.72,-0.12,,,0.0,,,,16.74,0.0,14.57,2.91
23,24,300634,彩讯股份,21.7,-1.14,-0.25,,,0.0,,,,21.95,0.0,37.63,3.59
24,25,003032,传智教育,11.45,-1.29,-0.15,,,0.0,,,,11.6,0.0,-67.32,3.41
25,26,300133,华策影视,8.03,-1.47,-0.12,,,0.0,,,,8.15,0.0,68.88,2.15
26,27,300047,天源迪科,14.87,-1.91,-0.29,,,0.0,,,,15.16,0.0,220.63,2.84
27,28,601801,皖新传媒,7.8,-2.5,-0.2,,,0.0,,,,8.0,0.0,14.11,1.31
28,29,300925,法本信息,26.28,-3.2,-0.87,,,0.0,,,,27.15,0.0,76.88,5.36
29,30,002599,盛通股份,7.23,-3.6,-0.27,,,0.0,,,,7.5,0.0,-120.79,2.73
30,31,837592,华信永道,64.5,-3.72,-2.49,,,0.0,,,,66.99,0.0,-102.64,11.52
