,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688017,绿的谐波,102.1,15.37,13.6,41218,400485663.0,12.08,102.49,91.8,91.8,88.5,2.44,219.66,8.5
1,2,688160,步科股份,49.45,14.68,6.33,19764,94215355.0,13.66,50.19,44.3,44.4,43.12,2.35,96.23,5.47
2,3,300503,昊志机电,18.18,12.29,1.99,263881,465331093.74,12.66,18.74,16.69,16.69,16.19,11.04,51.63,4.69
3,4,300660,江苏雷利,31.11,11.59,3.23,92584,281989324.84,12.05,31.94,28.58,28.59,27.88,2.9,30.94,2.94
4,5,301368,丰立智能,53.17,10.61,5.1,78509,409827671.7,10.63,55.0,49.89,49.98,48.07,12.24,302.67,6.54
5,6,603662,柯力传感,36.61,10.01,3.33,70827,255460537.0,4.84,36.61,35.0,35.0,33.28,2.52,40.57,3.96
6,7,002896,中大力德,32.47,9.99,2.95,79897,254678037.81,8.4,32.47,29.99,29.99,29.52,5.29,64.66,4.24
7,8,000837,秦川机床,9.37,9.98,0.85,244002,222463630.5,9.27,9.37,8.58,8.58,8.52,2.51,126.33,1.97
8,9,000795,英洛华,9.05,9.96,0.82,83062,75171110.0,0.0,9.05,9.05,9.05,8.23,0.73,37.27,3.81
9,10,300403,汉宇集团,8.9,9.61,0.78,187304,162605631.06,9.11,8.98,8.24,8.25,8.12,4.43,22.57,2.82
10,11,002050,三花智控,23.08,7.2,1.55,350111,794754621.88,5.99,23.29,22.0,22.0,21.53,0.95,28.07,4.67
11,12,603667,五洲新春,18.44,7.15,1.23,72052,130474568.0,5.58,18.54,17.58,17.6,17.21,1.97,51.58,2.3
12,13,002472,双环传动,29.45,7.09,1.95,79018,230314979.35,6.95,29.7,27.79,27.79,27.5,1.05,25.36,2.93
13,14,601689,拓普集团,45.75,6.62,2.84,114009,514244589.0,5.34,45.99,43.7,44.0,42.91,0.68,25.9,4.13
14,15,300488,恒锋工具,23.69,6.23,1.39,13434,31196858.0,6.19,23.69,22.31,22.31,22.3,0.98,30.46,2.82
15,16,603915,国茂股份,10.14,6.07,0.58,48946,48926935.0,7.11,10.21,9.53,9.56,9.56,0.75,24.03,1.86
16,17,002520,日发精机,5.38,5.7,0.29,159784,84416343.5,6.88,5.43,5.08,5.14,5.09,2.48,-48.79,3.89
17,18,301279,金道科技,20.13,4.95,0.95,9891,19602538.2,7.56,20.59,19.14,19.14,19.18,3.44,46.32,1.53
18,19,301023,江南奕帆,44.51,4.88,2.07,4305,18909376.0,5.7,44.88,42.46,42.46,42.44,1.44,25.94,3.04
19,20,002164,宁波东力,5.12,4.7,0.23,62916,31569902.0,6.13,5.15,4.85,4.86,4.89,1.31,47.83,1.99
20,21,002008,大族激光,26.01,4.08,1.02,135012,344896038.1,5.04,26.04,24.78,24.79,24.99,1.38,14.39,1.72
21,22,002921,联诚精密,11.01,3.77,0.4,9265,10106885.4,3.68,11.09,10.7,10.7,10.61,0.84,-44.18,1.43
22,23,002434,万里扬,5.69,3.64,0.2,59657,33615085.0,3.1,5.7,5.53,5.54,5.49,0.45,21.8,1.3
23,24,002046,国机精工,11.41,3.35,0.37,49780,56206690.0,3.99,11.44,11.0,11.08,11.04,0.95,22.13,1.78
