,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300981,中红医疗,14.54,12.71,1.64,106360.0,154156871.62,16.2,15.47,13.38,13.38,12.9,2.98,83.34,1.01
1,2,002936,郑州银行,2.26,10.24,0.21,2056785.0,450703496.3,8.78,2.26,2.08,2.09,2.05,3.07,6.87,0.46
2,3,000717,中南股份,2.93,10.15,0.27,434062.0,126034142.43,5.64,2.93,2.78,2.83,2.66,1.79,-6.26,0.86
3,4,002110,三钢闽光,3.91,10.14,0.36,297388.0,114673904.37,6.76,3.91,3.67,3.67,3.55,1.22,-5.41,0.5
4,5,000402,金 融 街,3.93,10.08,0.36,980912.0,382833573.15,6.16,3.93,3.71,3.72,3.57,3.28,-3.37,0.35
5,6,600787,中储股份,6.88,10.08,0.63,227936.0,156819899.0,0.0,6.88,6.88,6.88,6.25,1.05,29.17,1.09
6,7,600884,杉杉股份,9.41,10.06,0.86,413120.0,383846796.0,8.42,9.41,8.69,8.7,8.55,2.35,685.11,0.96
7,8,600104,上汽集团,19.0,10.02,1.73,1088205.0,2066507890.0,1.97,19.0,18.66,19.0,17.27,0.94,23.88,0.75
8,9,000990,诚志股份,8.79,10.01,0.8,189136.0,164220163.7,5.13,8.79,8.38,8.38,7.99,1.56,36.67,0.6
9,10,002462,嘉事堂,14.21,9.98,1.29,100819.0,140859601.0,7.2,14.21,13.28,13.28,12.92,3.46,13.46,0.94
10,11,600676,交运股份,5.51,9.98,0.5,102733.0,56605993.0,0.0,5.51,5.51,5.51,5.01,1.0,-18.89,1.07
11,12,601828,美凯龙,3.64,9.97,0.33,202255.0,73620966.0,0.0,3.64,3.64,3.64,3.31,0.56,-6.3,0.33
12,13,000608,阳光股份,2.65,9.96,0.24,300052.0,78178373.96,7.88,2.65,2.46,2.46,2.41,4.03,-74.14,0.82
13,14,002344,海宁皮城,4.76,9.93,0.43,33239.0,15821982.96,0.0,4.76,4.76,4.76,4.33,0.26,63.49,0.73
14,15,000900,现代投资,4.55,9.9,0.41,375224.0,168652995.1,6.76,4.55,4.27,4.27,4.14,2.47,12.75,0.63
15,16,600157,永泰能源,1.7,9.68,0.15,11341307.0,1888994349.0,8.39,1.71,1.58,1.59,1.55,5.1,19.35,0.8
16,17,000926,福星股份,2.96,9.63,0.26,912672.0,267665004.56,6.3,2.97,2.8,2.81,2.7,5.8,212.65,0.39
17,18,600704,物产中大,5.72,9.58,0.5,1431100.0,809402165.0,7.47,5.74,5.35,5.39,5.22,2.78,9.55,0.81
18,19,002582,好想你,6.62,9.24,0.56,237848.0,156967010.66,6.77,6.67,6.26,6.26,6.06,6.93,-37.07,0.84
19,20,000709,河钢股份,2.37,9.22,0.2,1500924.0,349839240.09,7.83,2.39,2.22,2.22,2.17,1.45,32.31,0.48
20,21,603808,歌力思,8.2,9.19,0.69,159886.0,128451332.0,8.66,8.26,7.61,7.81,7.51,4.33,105.45,1.06
21,22,002392,北京利尔,4.38,8.96,0.36,625744.0,275686365.49,2.74,4.42,4.31,4.42,4.02,7.49,12.62,0.96
22,23,600682,南京新百,7.07,8.94,0.58,328697.0,231030711.0,7.7,7.14,6.64,6.71,6.49,2.82,32.22,0.55
23,24,600606,绿地控股,2.45,8.89,0.2,1925629.0,470327614.0,8.0,2.48,2.3,2.3,2.25,1.37,109.15,0.42
24,25,300070,碧水源,6.28,8.65,0.5,979355.0,616435110.54,5.88,6.49,6.15,6.15,5.78,2.85,-397.49,0.84
25,26,002958,青农商行,3.35,8.06,0.25,1424489.0,471557953.52,7.74,3.41,3.17,3.17,3.1,2.89,4.36,0.53
26,27,600508,上海能源,14.37,7.88,1.05,125233.0,177750052.0,5.03,14.4,13.73,13.77,13.32,1.73,12.45,0.81
27,28,300195,长荣股份,6.04,7.86,0.44,114265.0,66594325.0,7.14,6.04,5.64,5.7,5.6,3.64,567.22,0.96
28,29,000069,华侨城Ａ,3.06,7.75,0.22,1089910.0,334308818.6,6.69,3.12,2.93,2.94,2.84,1.58,-7.85,0.43
29,30,600969,郴电国际,7.07,7.61,0.5,186242.0,133491430.0,6.39,7.23,6.81,6.81,6.57,5.03,32.46,0.72
30,31,688068,热景生物,34.62,7.55,2.43,48497.0,172047705.0,10.38,36.67,33.33,33.69,32.19,5.24,-59.08,0.98
31,32,600658,电子城,4.91,7.21,0.33,168269.0,81211768.0,5.68,4.96,4.7,4.7,4.58,1.5,-8.4,0.8
32,33,000898,鞍钢股份,2.53,7.2,0.17,549938.0,137356625.07,5.93,2.54,2.4,2.4,2.36,0.69,-3.5,0.48
33,34,600510,黑牡丹,5.09,7.16,0.34,320442.0,165887557.0,4.42,5.23,5.02,5.1,4.75,3.1,49.64,0.52
34,35,002394,联发股份,7.92,6.74,0.5,149485.0,120674836.3,4.04,8.16,7.86,7.97,7.42,4.62,14.73,0.64
35,36,002146,荣盛发展,2.12,6.53,0.13,1813752.0,384219703.98,7.04,2.19,2.05,2.05,1.99,4.65,-4.85,0.41
36,37,688075,安旭生物,40.22,6.51,2.46,7789.0,31283221.0,7.28,40.99,38.24,38.24,37.76,0.61,28.23,0.99
37,38,600739,辽宁成大,12.19,6.46,0.74,220191.0,268541742.0,4.98,12.45,11.88,11.9,11.45,1.44,19.66,0.63
38,39,833819,颖泰生物,4.34,6.37,0.26,168459.0,74424974.55,10.54,4.65,4.22,4.4,4.08,1.39,-20.13,0.98
39,40,000050,深天马Ａ,9.69,6.25,0.57,608067.0,599057863.98,6.25,10.03,9.46,9.59,9.12,2.47,-37.79,0.87
40,41,600153,建发股份,10.04,6.24,0.59,400377.0,402161964.0,5.19,10.21,9.72,9.73,9.45,1.38,10.78,0.54
41,42,600390,五矿资本,7.89,6.19,0.46,1355491.0,1082346930.0,6.19,8.17,7.71,7.8,7.43,3.01,21.86,0.83
42,43,601186,中国铁建,9.95,6.19,0.58,948149.0,934270820.0,3.09,10.0,9.71,9.86,9.37,0.82,6.46,0.52
43,44,600694,大商股份,20.0,6.1,1.15,38261.0,75844611.0,4.03,20.14,19.38,19.49,18.85,1.22,8.84,0.72
44,45,002048,宁波华翔,13.77,6.0,0.78,118950.0,160761014.48,4.77,13.77,13.15,13.15,12.99,2.28,11.73,0.99
45,46,601618,中国中冶,3.58,5.92,0.2,976069.0,344853318.0,2.66,3.58,3.49,3.49,3.38,0.55,8.15,0.73
46,47,601005,重庆钢铁,1.62,5.88,0.09,1209412.0,193985954.0,4.58,1.63,1.56,1.56,1.53,1.44,-8.03,0.78
47,48,601992,金隅集团,1.99,5.85,0.11,517668.0,102578547.0,5.85,2.02,1.91,1.91,1.88,0.62,-36.51,0.48
48,49,600335,国机汽车,6.79,5.6,0.36,271464.0,185377927.0,4.67,7.0,6.7,6.7,6.43,1.81,24.84,0.91
49,50,001227,兰州银行,2.66,5.56,0.14,1168998.0,306415886.73,4.76,2.67,2.55,2.56,2.52,4.22,7.6,0.52
50,51,600123,兰花科创,9.09,5.45,0.47,255092.0,229905976.0,3.36,9.16,8.87,8.88,8.62,1.72,14.33,0.83
51,52,002277,友阿股份,3.3,5.43,0.17,760962.0,257789228.0,5.43,3.44,3.27,3.29,3.13,5.46,30.17,0.68
52,53,000028,国药一致,32.07,5.25,1.6,44040.0,139651854.2,4.33,32.23,30.91,30.91,30.47,0.92,12.56,0.99
53,54,601800,中国交建,11.51,5.21,0.57,628604.0,718786999.0,3.11,11.6,11.26,11.48,10.94,0.54,8.63,0.67
54,55,600051,宁波联合,6.84,5.07,0.33,53887.0,37069915.0,3.99,6.98,6.72,6.72,6.51,1.73,28.98,0.64
55,56,600170,上海建工,2.7,5.06,0.13,1358857.0,366276189.0,5.06,2.75,2.62,2.62,2.57,1.53,13.32,0.78
56,57,000501,武商集团,8.8,5.01,0.42,89586.0,78293642.5,3.46,8.86,8.57,8.59,8.38,1.17,40.89,0.61
57,58,600067,冠城大通,3.36,5.0,0.16,342412.0,115753655.0,7.81,3.49,3.24,3.27,3.2,2.46,-48.52,0.73
58,59,600782,新钢股份,4.0,4.99,0.19,211087.0,84066944.0,2.89,4.03,3.92,3.94,3.81,0.67,-16.3,0.49
59,60,600623,华谊集团,7.23,4.93,0.34,263828.0,190093060.0,3.77,7.32,7.06,7.06,6.89,1.41,19.17,0.68
60,61,000059,华锦股份,5.34,4.91,0.25,175554.0,94367071.4,6.29,5.5,5.18,5.18,5.09,1.1,-3.39,0.69
61,62,000778,新兴铸管,4.09,4.87,0.19,478876.0,195086288.0,3.33,4.12,3.99,3.99,3.9,1.23,25.32,0.63
62,63,600017,日照港,3.26,4.82,0.15,323600.0,104457544.0,3.54,3.26,3.15,3.15,3.11,1.05,11.84,0.73
63,64,002314,南山控股,2.61,4.82,0.12,205045.0,53071526.0,4.02,2.63,2.53,2.54,2.49,1.53,-15.21,0.71
64,65,600585,海螺水泥,26.9,4.79,1.23,104001.0,277609353.0,3.93,27.03,26.02,26.02,25.67,0.26,20.57,0.77
65,66,600016,民生银行,3.95,4.77,0.18,2235682.0,873552344.0,3.71,3.96,3.82,3.83,3.77,0.63,4.25,0.32
66,67,000090,天健集团,4.43,4.73,0.2,200042.0,88047989.69,2.6,4.44,4.33,4.35,4.23,1.07,18.9,0.74
67,68,000825,太钢不锈,3.78,4.71,0.17,266678.0,99840053.66,3.88,3.79,3.65,3.67,3.61,0.47,-29.19,0.65
68,69,600376,首开股份,2.93,4.64,0.13,192519.0,56050749.0,3.57,2.95,2.85,2.85,2.8,0.75,-1.32,0.55
69,70,600755,厦门国贸,7.0,4.63,0.31,281172.0,197092807.0,3.89,7.13,6.87,6.87,6.69,1.32,15.98,0.74
70,71,601011,宝泰隆,2.51,4.58,0.11,279001.0,69347539.0,4.58,2.52,2.41,2.41,2.4,1.46,-13.21,0.81
71,72,600716,凤凰股份,3.43,4.57,0.15,113470.0,38798796.0,3.96,3.47,3.34,3.34,3.28,1.21,-84.1,0.6
72,73,600717,天津港,5.26,4.57,0.23,430110.0,226904281.0,5.17,5.4,5.14,5.14,5.03,1.49,12.79,0.79
73,74,601390,中国中铁,6.87,4.57,0.3,1003417.0,688908527.0,3.04,6.98,6.78,6.86,6.57,0.49,6.2,0.57
74,75,601512,中新集团,7.86,4.52,0.34,52575.0,41051298.0,5.05,7.98,7.6,7.62,7.52,0.35,13.14,0.81
75,76,000910,大亚圣象,7.71,4.47,0.33,28950.0,22203622.2,3.52,7.77,7.51,7.51,7.38,0.53,23.61,0.63
76,77,600339,中油工程,3.74,4.47,0.16,327833.0,122144472.0,1.96,3.75,3.68,3.68,3.58,0.59,24.77,0.79
77,78,600742,一汽富维,9.82,4.47,0.42,136669.0,135492369.0,4.79,10.14,9.69,9.75,9.4,1.84,13.65,0.86
78,79,600208,衢州发展,3.04,4.47,0.13,828123.0,252449254.0,4.12,3.1,2.98,2.99,2.91,0.97,9.78,0.59
79,80,000959,首钢股份,3.29,4.44,0.14,319064.0,104422272.81,3.49,3.31,3.2,3.21,3.15,0.49,94.18,0.52
80,81,600019,宝钢股份,6.87,4.41,0.29,653654.0,444904575.0,3.5,6.88,6.65,6.65,6.58,0.3,19.26,0.76
81,82,603359,东珠生态,4.98,4.4,0.21,134784.0,68048836.0,5.45,5.2,4.94,5.0,4.77,3.02,127.27,0.67
82,83,600567,山鹰国际,1.9,4.4,0.08,1198089.0,226076439.0,3.3,1.91,1.85,1.86,1.82,2.24,111.46,0.67
83,84,601238,广汽集团,9.15,4.33,0.38,296347.0,273518284.0,5.7,9.49,8.99,9.0,8.77,0.4,592.27,0.83
84,85,601997,贵阳银行,6.27,4.33,0.26,582412.0,364076444.0,3.16,6.33,6.14,6.15,6.01,1.59,4.33,0.38
