,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300503,昊志机电,18.24,12.66,2.05,266897,470820161.74,12.66,18.74,16.69,16.69,16.19,11.16,51.8,4.71
1,2,000536,华映科技,6.7,10.02,0.61,3331228,2004783265.16,20.03,6.7,5.48,6.05,6.09,12.06,-16.38,11.76
2,3,603773,沃格光电,26.62,9.23,2.25,96385,251501588.0,10.01,26.8,24.36,24.36,24.37,4.74,-90.02,4.49
3,4,300256,星星科技,5.33,8.78,0.43,1554548,810211812.82,18.78,5.55,4.63,4.63,4.9,9.46,-71.04,10.05
4,5,002217,*ST合泰,1.92,4.92,0.09,22504,4320672.0,0.0,1.92,1.92,1.92,1.83,0.07,-3.65,-0.77
5,6,002036,联创电子,9.67,4.88,0.45,239324,226873137.73,6.94,9.75,9.11,9.2,9.22,2.27,-167.81,3.85
6,7,600552,凯盛科技,13.07,4.23,0.53,191666,246013269.0,5.26,13.07,12.41,12.41,12.54,2.03,82.79,2.98
7,8,300400,劲拓股份,17.54,4.09,0.69,41438,71572282.0,5.76,17.64,16.67,16.67,16.85,1.73,52.9,5.48
8,9,300088,长信科技,6.92,3.9,0.26,311531,211533065.0,5.11,6.92,6.58,6.61,6.66,1.28,43.49,2.03
9,10,300173,福能东方,4.47,3.47,0.15,65153,28754916.0,3.7,4.48,4.32,4.32,4.32,0.89,363.87,3.61
10,11,000988,华工科技,38.65,3.07,1.15,128211,492515635.0,4.61,39.13,37.4,37.4,37.5,1.28,31.09,3.92
11,12,300508,维宏股份,27.8,2.96,0.8,6991,19188722.0,4.04,27.83,26.74,26.74,27.0,1.22,27.57,4.03
12,13,002547,春兴精工,3.5,2.94,0.1,94061,32536804.0,4.41,3.5,3.35,3.35,3.4,0.85,-16.75,59.55
13,14,301051,信濠光电,26.79,2.88,0.75,3297,8725217.4,2.92,26.8,26.04,26.04,26.04,0.25,-16.42,1.83
14,15,300433,蓝思科技,22.11,2.79,0.6,90764,199597832.82,3.67,22.2,21.41,21.45,21.51,0.18,34.85,2.33
15,16,600666,奥瑞德,2.27,1.79,0.04,241907,54592731.0,4.04,2.3,2.21,2.23,2.23,1.0,-170.95,6.38
16,17,300217,东方电热,4.83,1.68,0.08,65342,31347306.0,2.32,4.85,4.74,4.77,4.75,0.53,19.15,1.76
17,18,600207,安彩高科,5.0,-0.79,-0.04,119454,59230033.0,4.17,5.04,4.83,4.88,5.04,1.1,-45.43,1.81
