,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,836149,旭杰科技,21.4,14.26,2.67,41961,85568487.52,12.01,21.85,19.6,19.83,18.73,8.57,308.99,8.51
1,2,002506,协鑫集成,2.7,10.2,0.25,1203976,318838575.83,6.94,2.7,2.53,2.53,2.45,2.06,144.64,6.4
2,3,002047,宝鹰股份,2.81,10.2,0.26,102571,28822451.0,0.0,2.81,2.81,2.81,2.55,0.76,-7.37,-22.27
3,4,002620,瑞和股份,3.8,10.14,0.35,84927,31980286.5,6.38,3.8,3.58,3.58,3.45,2.7,-9.93,11.66
4,5,603628,清源股份,15.88,9.97,1.44,117922,184733433.0,4.92,15.88,15.17,15.5,14.44,4.31,33.33,3.33
5,6,603098,森特股份,10.59,9.97,0.96,30069,31843071.0,0.0,10.59,10.59,10.59,9.63,0.56,57.95,2.07
6,7,002323,雅博股份,1.66,8.5,0.13,682682,112416698.02,7.19,1.68,1.57,1.57,1.53,3.22,-41.27,6.33
7,8,601877,正泰电器,22.96,6.44,1.39,126889,289251920.0,2.92,23.18,22.55,22.55,21.57,0.59,10.58,1.18
8,9,600537,亿晶光电,3.41,5.9,0.19,165910,55274768.0,4.04,3.41,3.28,3.28,3.22,1.4,-5.3,2.07
9,10,300746,汉嘉设计,17.32,5.35,0.88,43483,74762189.0,7.97,17.76,16.45,16.45,16.44,1.96,666.37,3.31
10,11,600580,卧龙电驱,14.33,5.14,0.7,266585,379811379.0,2.13,14.4,14.11,14.19,13.63,2.04,22.03,1.9
11,12,002822,ST中装,2.47,5.11,0.12,125155,30855876.0,2.55,2.47,2.41,2.47,2.35,2.39,-1.66,0.98
12,13,873665,科强股份,13.3,5.06,0.64,15955,21433914.23,8.06,13.87,12.85,13.39,12.66,4.09,26.0,2.48
13,14,300160,秀强股份,5.88,4.63,0.26,77384,45138027.8,2.14,5.89,5.77,5.8,5.62,1.02,18.75,1.82
14,15,601778,晶科科技,3.03,4.48,0.13,265003,79785789.0,3.1,3.05,2.96,2.97,2.9,0.74,36.92,0.71
15,16,300040,九洲集团,6.77,4.48,0.29,114962,77447507.28,3.09,6.83,6.63,6.65,6.48,2.5,40.78,1.4
16,17,300500,启迪设计,12.63,4.47,0.54,26925,34197327.0,4.55,12.95,12.4,12.47,12.09,1.65,-96.27,1.85
17,18,603828,ST柯利达,3.08,4.41,0.13,54592,16604417.0,5.08,3.1,2.95,2.95,2.95,0.92,81.28,2.44
18,19,002309,*ST中利,2.01,4.15,0.08,90014,18179012.0,2.07,2.03,1.99,2.03,1.93,1.04,-2.89,-1.79
