,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,430510,丰光精密,22.57,20.12,3.78,59904,132036049.03,20.17,23.79,20.0,20.0,18.79,6.84,141.93,10.37
1,2,300539,横河精密,12.23,20.02,2.04,62055,75892910.33,0.0,12.23,12.23,12.23,10.19,3.62,84.09,4.96
2,3,301596,瑞迪智驱,106.98,20.0,17.83,34995,362732881.94,8.95,106.98,99.0,100.0,89.15,25.4,60.25,7.34
3,4,300432,富临精工,15.01,16.81,2.16,529892,770183535.52,14.63,15.4,13.52,13.88,12.85,4.4,44.24,4.22
4,5,836720,吉冈精密,17.17,14.47,2.17,47710,78787768.72,12.07,17.17,15.36,15.82,15.0,9.62,55.45,7.05
5,6,688017,绿的谐波,101.1,14.24,12.6,41779,406177621.0,12.08,102.49,91.8,91.8,88.5,2.48,217.51,8.42
6,7,430418,苏轴股份,24.98,13.19,2.91,27056,64694773.35,13.32,25.09,22.15,22.15,22.07,3.78,21.57,4.31
7,8,300503,昊志机电,18.24,12.66,2.05,266897,470820161.74,12.66,18.74,16.69,16.69,16.19,11.16,51.8,4.71
8,9,688165,埃夫特-U,10.17,10.78,0.99,56777,56630369.0,12.75,10.37,9.2,9.2,9.18,1.09,-37.75,3.13
9,10,301368,丰立智能,52.9,10.05,4.83,79017,412519063.7,10.63,55.0,49.89,49.98,48.07,12.32,301.13,6.51
10,11,002403,爱仕达,8.67,10.03,0.79,39202,33370747.0,10.03,8.67,7.88,7.88,7.88,1.32,1333.89,1.77
11,12,002765,蓝黛科技,8.46,10.01,0.77,68875,58268546.1,0.0,8.46,8.46,8.46,7.69,1.16,39.93,2.23
12,13,002031,巨轮智能,3.74,10.0,0.34,985527,361372713.04,9.41,3.74,3.42,3.42,3.4,4.97,1056.02,3.38
13,14,001306,夏厦精密,52.03,10.0,4.73,9239,47800576.52,9.56,52.03,47.51,47.51,47.3,5.96,50.69,2.45
14,15,002896,中大力德,32.47,9.99,2.95,79931,254788435.81,8.4,32.47,29.99,29.99,29.52,5.29,64.66,4.24
15,16,603809,豪能股份,13.22,9.98,1.2,557502,729271269.0,6.74,13.22,12.41,13.2,12.02,9.58,23.7,3.2
16,17,000837,秦川机床,9.37,9.98,0.85,244571,222996783.5,9.27,9.37,8.58,8.58,8.52,2.52,126.33,1.97
17,18,002527,新时达,7.83,9.97,0.71,107081,82969211.55,8.01,7.83,7.26,7.32,7.12,2.02,-91.91,3.47
18,19,000795,英洛华,9.05,9.96,0.82,83153,75253465.0,0.0,9.05,9.05,9.05,8.23,0.73,37.27,3.81
19,20,301550,斯菱股份,52.65,9.76,4.68,42624,218504812.52,10.3,53.45,48.51,49.0,47.97,7.76,31.74,3.41
20,21,300403,汉宇集团,8.9,9.61,0.78,188844,163975964.06,9.11,8.98,8.24,8.25,8.12,4.47,22.57,2.82
21,22,301255,通力科技,32.03,8.91,2.62,16936,53475785.75,9.69,32.55,29.7,29.7,29.41,6.23,59.89,3.38
22,23,002553,南方精工,12.34,6.84,0.79,152445,185791460.9,6.15,12.44,11.73,11.73,11.55,6.08,69.4,3.72
23,24,002472,双环传动,29.36,6.76,1.86,79486,231690848.35,6.95,29.7,27.79,27.79,27.5,1.06,25.28,2.92
24,25,603667,五洲新春,18.36,6.68,1.15,73458,133062374.0,5.58,18.54,17.58,17.6,17.21,2.01,51.35,2.29
25,26,300488,恒锋工具,23.6,5.83,1.3,14383,33442284.84,6.46,23.75,22.31,22.31,22.3,1.05,30.34,2.81
26,27,603915,国茂股份,10.11,5.75,0.55,49149,49132525.0,7.11,10.21,9.53,9.56,9.56,0.75,23.96,1.86
27,28,002520,日发精机,5.38,5.7,0.29,162446,85848786.5,6.88,5.43,5.08,5.14,5.09,2.52,-48.79,3.89
28,29,301261,恒工精密,40.4,5.65,2.16,26368,106474487.19,4.45,41.2,39.5,39.8,38.24,6.96,27.7,2.27
29,30,300817,双飞集团,14.13,5.61,0.75,28590,39992748.33,6.28,14.28,13.44,13.44,13.38,2.3,47.12,3.04
30,31,300549,优德精密,18.23,5.5,0.95,65232,119907666.02,9.9,19.21,17.5,18.28,17.28,6.46,145.6,4.43
31,32,301279,金道科技,20.12,4.9,0.94,10025,19872045.2,7.56,20.59,19.14,19.14,19.18,3.49,46.29,1.53
32,33,301023,江南奕帆,44.5,4.85,2.06,4325,18998368.0,5.7,44.88,42.46,42.46,42.44,1.45,25.93,3.04
33,34,000584,*ST工智,2.81,4.85,0.13,235964,65974826.61,3.36,2.81,2.72,2.78,2.68,3.11,85.14,3.8
34,35,301229,纽泰格,21.1,4.46,0.9,11443,24076306.4,5.35,21.29,20.21,20.35,20.2,2.39,38.42,2.64
35,36,002008,大族激光,26.09,4.4,1.1,137815,352204041.1,5.32,26.11,24.78,24.79,24.99,1.41,14.44,1.73
36,37,002164,宁波东力,5.1,4.29,0.21,64568,32414570.0,6.13,5.15,4.85,4.86,4.89,1.35,47.65,1.98
37,38,603767,中马传动,12.76,4.25,0.52,95351,122348698.0,3.68,13.07,12.62,12.62,12.24,3.09,58.93,2.73
38,39,001282,三联锻造,19.23,4.06,0.75,10164,19373410.6,3.68,19.28,18.6,18.91,18.48,1.82,22.22,2.02
39,40,300825,阿尔特,11.42,4.01,0.44,56521,63636476.0,5.74,11.45,10.82,10.98,10.98,1.16,3435.15,2.34
40,41,000678,襄阳轴承,6.03,3.97,0.23,162228,96852997.92,8.1,6.13,5.66,5.85,5.8,3.53,-106.85,3.4
41,42,300879,大叶股份,14.71,3.81,0.54,23472,34094836.32,3.81,14.73,14.19,14.3,14.17,1.21,101.75,2.49
42,43,002921,联诚精密,11.0,3.68,0.39,9494,10358815.4,3.68,11.09,10.7,10.7,10.61,0.86,-44.14,1.43
43,44,002434,万里扬,5.69,3.64,0.2,59893,33749379.0,3.1,5.7,5.53,5.54,5.49,0.46,21.8,1.3
44,45,300904,威力传动,45.9,3.33,1.48,6356,28921018.0,5.0,46.28,44.06,44.07,44.42,2.89,155.64,4.16
45,46,605389,长龄液压,20.82,3.27,0.66,6533,13437718.0,4.56,21.09,20.17,20.24,20.16,0.48,24.55,1.43
46,47,603638,艾迪精密,16.99,2.97,0.49,21273,35886120.0,3.7,17.1,16.49,16.49,16.5,0.25,38.07,4.39
47,48,002265,建设工业,11.06,2.5,0.27,20131,22125595.0,3.34,11.08,10.72,10.76,10.79,0.5,46.77,3.22
48,49,002600,领益智造,8.59,2.26,0.19,426168,360223291.0,4.05,8.62,8.28,8.3,8.4,0.62,32.13,3.1
49,50,002526,山东矿机,2.73,2.25,0.06,177534,48193566.58,1.5,2.73,2.69,2.69,2.67,1.01,33.31,1.56
50,51,002708,光洋股份,10.23,2.1,0.21,201907,202151653.12,6.69,10.3,9.63,9.63,10.02,4.08,107.33,3.29
51,52,605208,永茂泰,6.85,1.33,0.09,10809,7364436.0,2.07,6.87,6.73,6.82,6.76,0.33,47.16,1.08
52,53,600835,上海机电,17.13,0.94,0.16,121484,206294236.0,7.07,17.5,16.3,16.42,16.97,1.51,18.04,1.29
