,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,870204,沪江材料,34.77,21.57,6.17,36534,113535212.03,21.64,34.77,28.58,30.0,28.6,7.32,111.06,6.91
1,2,300968,格林精密,19.0,17.65,2.85,404730,773166479.36,9.78,19.38,17.8,19.38,16.15,9.79,124.8,4.17
2,3,600370,三房巷,2.37,10.23,0.22,478031,112676384.0,5.58,2.37,2.25,2.37,2.15,1.23,-22.58,1.67
3,4,002717,岭南股份,3.7,10.12,0.34,1091232,397813254.85,5.65,3.7,3.51,3.66,3.36,6.82,-18.58,3.46
4,5,600439,瑞贝卡,5.67,10.1,0.52,300159,169982461.0,2.14,5.67,5.56,5.67,5.15,2.65,483.59,2.35
5,6,002312,川发龙蟒,18.88,10.02,1.72,139467,263313790.4,0.0,18.88,18.88,18.88,17.16,0.8,62.97,3.8
6,7,002912,中新赛克,32.84,10.02,2.99,64914,209812405.32,5.49,32.84,31.2,31.99,29.85,4.0,-89.55,3.56
7,8,600839,四川长虹,16.48,10.01,1.5,308290,508062332.0,0.0,16.48,16.48,16.48,14.98,0.67,165.59,5.34
8,9,600363,联创光电,46.73,10.0,4.25,72803,340207344.0,0.0,46.73,46.73,46.73,42.48,1.6,47.56,4.99
9,10,600653,申华控股,2.76,9.96,0.25,927104,253245803.0,4.38,2.76,2.65,2.75,2.51,4.76,-71.64,7.39
10,11,600811,东方集团,3.36,9.45,0.29,2445875,802874331.0,8.79,3.38,3.11,3.22,3.07,6.69,70.25,0.73
11,12,601727,上海电气,9.29,9.29,0.79,4010734,3687491666.0,5.53,9.35,8.88,8.99,8.5,3.17,143.15,2.7
12,13,000592,平潭发展,2.77,9.06,0.23,1338714,353546079.48,11.81,2.78,2.48,2.54,2.54,6.99,177.84,2.64
13,14,002178,延华智能,7.26,8.85,0.59,596200,434314454.4,5.1,7.34,7.0,7.34,6.67,8.38,-442.51,11.71
14,15,600865,百大集团,11.39,8.79,0.92,120300,136624582.0,10.03,11.52,10.47,11.52,10.47,3.2,24.43,1.83
15,16,002654,万润科技,19.57,8.66,1.56,935284,1826637778.56,4.0,19.81,19.09,19.27,18.01,11.07,372.83,10.97
16,17,002570,贝因美,6.04,8.63,0.48,1175383,703286011.96,7.91,6.12,5.68,5.78,5.56,10.88,68.15,4.23
17,18,000903,云内动力,3.44,7.17,0.23,847310,287513983.46,7.48,3.5,3.26,3.34,3.21,4.41,-15.51,2.54
18,19,832000,安徽凤凰,19.91,7.1,1.32,42663,78070456.56,17.21,20.0,16.8,17.0,18.59,8.83,26.03,3.07
19,20,002423,中粮资本,21.96,6.76,1.39,755581,1632713159.87,5.93,22.22,21.0,21.22,20.57,3.28,29.71,2.32
20,21,603559,*ST通脉,10.48,5.01,0.5,18180,19028992.0,1.8,10.48,10.3,10.48,9.98,1.27,-13.36,44.57
21,22,601996,丰林集团,2.74,4.98,0.13,1104592,295444539.0,10.73,2.79,2.51,2.61,2.61,9.85,-92.67,1.14
22,23,603959,ST百利,2.54,4.96,0.12,85619,21508569.0,2.07,2.54,2.49,2.5,2.42,1.75,-5.49,3.36
23,24,603007,*ST花王,11.18,3.71,0.4,40963,45276809.0,3.53,11.18,10.8,11.09,10.78,1.01,-38.73,12.76
24,25,600609,金杯汽车,6.0,3.63,0.21,329291,195432193.0,7.43,6.11,5.68,5.93,5.79,2.51,20.23,5.74
25,26,002725,跃岭股份,18.2,3.59,0.63,179428,325934357.28,7.34,18.68,17.39,17.6,17.57,8.47,-548.5,4.86
26,27,000058,深 赛 格,11.07,2.5,0.27,278131,305105825.0,8.33,11.28,10.38,10.8,10.8,2.82,268.11,6.79
27,28,000572,海马汽车,4.95,2.48,0.12,529814,265300265.49,6.63,5.15,4.83,4.93,4.83,3.23,108.83,4.17
28,29,002141,*ST贤丰,1.44,2.13,0.03,188538,27485969.0,4.96,1.48,1.41,1.48,1.41,1.83,698.4,1.61
29,30,603626,科森科技,11.69,1.48,0.17,387939,472079951.0,7.9,12.56,11.65,12.2,11.52,6.99,-20.79,2.6
30,31,873223,荣亿精密,12.5,-1.57,-0.2,69056,90121696.01,17.32,13.98,11.78,13.43,12.7,8.46,-71.44,7.21
31,32,002528,ST英飞拓,3.24,-1.82,-0.06,170665,56261706.0,4.85,3.38,3.22,3.31,3.3,1.63,-38.08,9.42
32,33,000909,ST数源,5.17,-2.08,-0.11,58001,29596818.0,5.3,5.3,5.02,5.28,5.28,1.33,35.22,1.9
33,34,600599,ST熊猫,12.83,-2.58,-0.34,5717,7330974.0,2.81,12.97,12.6,12.95,13.17,0.34,55.07,3.52
