,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688160,步科股份,49.29,14.31,6.17,19902,94899391.0,13.66,50.19,44.3,44.4,43.12,2.37,95.91,5.45
1,2,688017,绿的谐波,101.1,14.24,12.6,41779,406177621.0,12.08,102.49,91.8,91.8,88.5,2.48,217.51,8.42
2,3,300503,昊志机电,18.24,12.66,2.05,266897,470820161.74,12.66,18.74,16.69,16.69,16.19,11.16,51.8,4.71
3,4,300660,江苏雷利,31.05,11.37,3.17,93026,283363093.84,12.05,31.94,28.58,28.59,27.88,2.91,30.88,2.93
4,5,301368,丰立智能,52.9,10.05,4.83,79017,412519063.7,10.63,55.0,49.89,49.98,48.07,12.32,301.13,6.51
5,6,603662,柯力传感,36.61,10.01,3.33,70879,255650909.0,4.84,36.61,35.0,35.0,33.28,2.52,40.57,3.96
6,7,002896,中大力德,32.47,9.99,2.95,79931,254788435.81,8.4,32.47,29.99,29.99,29.52,5.29,64.66,4.24
7,8,000837,秦川机床,9.37,9.98,0.85,244571,222996783.5,9.27,9.37,8.58,8.58,8.52,2.52,126.33,1.97
8,9,000795,英洛华,9.05,9.96,0.82,83143,75244415.0,0.0,9.05,9.05,9.05,8.23,0.73,37.27,3.81
9,10,300403,汉宇集团,8.9,9.61,0.78,188844,163975964.06,9.11,8.98,8.24,8.25,8.12,4.47,22.57,2.82
10,11,002472,双环传动,29.36,6.76,1.86,79486,231690848.35,6.95,29.7,27.79,27.79,27.5,1.06,25.28,2.92
11,12,002050,三花智控,22.98,6.73,1.45,353141,801728929.88,5.99,23.29,22.0,22.0,21.53,0.96,27.94,4.65
12,13,603667,五洲新春,18.36,6.68,1.15,73458,133062374.0,5.58,18.54,17.58,17.6,17.21,2.01,51.35,2.29
13,14,601689,拓普集团,45.74,6.6,2.83,115007,518809940.0,5.34,45.99,43.7,44.0,42.91,0.68,25.89,4.13
14,15,300488,恒锋工具,23.6,5.83,1.3,14383,33442284.84,6.46,23.75,22.31,22.31,22.3,1.05,30.34,2.81
15,16,603915,国茂股份,10.11,5.75,0.55,49149,49132525.0,7.11,10.21,9.53,9.56,9.56,0.75,23.96,1.86
16,17,002520,日发精机,5.38,5.7,0.29,162446,85848786.5,6.88,5.43,5.08,5.14,5.09,2.52,-48.79,3.89
17,18,301279,金道科技,20.12,4.9,0.94,10025,19872045.2,7.56,20.59,19.14,19.14,19.18,3.49,46.29,1.53
18,19,301023,江南奕帆,44.5,4.85,2.06,4325,18998368.0,5.7,44.88,42.46,42.46,42.44,1.45,25.93,3.04
19,20,002008,大族激光,26.09,4.4,1.1,137815,352204041.1,5.32,26.11,24.78,24.79,24.99,1.41,14.44,1.73
20,21,002164,宁波东力,5.1,4.29,0.21,64568,32414570.0,6.13,5.15,4.85,4.86,4.89,1.35,47.65,1.98
21,22,002921,联诚精密,11.0,3.68,0.39,9494,10358815.4,3.68,11.09,10.7,10.7,10.61,0.86,-44.14,1.43
22,23,002434,万里扬,5.69,3.64,0.2,59893,33749379.0,3.1,5.7,5.53,5.54,5.49,0.46,21.8,1.3
23,24,002046,国机精工,11.38,3.08,0.34,50416,56931444.0,3.99,11.44,11.0,11.08,11.04,0.96,22.07,1.78
