,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,871478,巨能股份,22.1,27.16,4.72,45128,92625884.43,29.4,22.4,17.29,17.29,17.38,19.62,-234.16,6.45
1,2,430425,乐创技术,19.48,21.37,3.43,32274,58893869.62,15.58,19.5,17.0,17.0,16.05,7.94,52.83,4.11
2,3,300024,机器人,15.46,20.03,2.58,949100,1386109205.58,19.49,15.46,12.95,12.95,12.88,6.19,-182.04,5.57
3,4,300607,拓斯达,14.66,19.97,2.44,167917,239713101.38,16.45,14.66,12.65,12.65,12.22,5.88,517.64,2.71
4,5,835579,机科股份,21.5,14.3,2.69,29543,60820801.45,16.21,21.95,18.9,19.22,18.81,6.63,258.49,5.38
5,6,688165,埃夫特-U,10.17,10.78,0.99,56777,56630369.0,12.75,10.37,9.2,9.2,9.18,1.09,-37.75,3.13
6,7,002747,埃斯顿,16.13,10.03,1.47,225194,356503291.14,8.73,16.13,14.85,14.86,14.66,2.86,-157.71,5.41
7,8,603662,柯力传感,36.61,10.01,3.33,70879,255650909.0,4.84,36.61,35.0,35.0,33.28,2.52,40.57,3.96
8,9,002527,新时达,7.83,9.97,0.71,107153,83025587.55,8.01,7.83,7.26,7.32,7.12,2.02,-91.91,3.47
9,10,002689,远大智能,3.34,9.87,0.3,283841,92998433.47,9.54,3.34,3.05,3.05,3.04,2.72,-318.48,3.01
10,11,688322,奥比中光-UW,33.17,7.73,2.38,24679,80022365.0,8.28,33.35,30.8,30.98,30.79,0.96,-165.01,4.52
11,12,002184,海得控制,9.96,5.84,0.55,50046,49323427.38,7.55,10.13,9.42,9.49,9.41,2.08,-24.3,2.86
12,13,688090,瑞松科技,59.83,5.56,3.15,8801,51711549.0,8.73,60.5,55.55,55.55,56.68,0.93,992.72,6.3
13,14,300044,赛为智能,5.45,5.21,0.27,223046,119055420.0,6.76,5.48,5.13,5.13,5.18,2.92,-177.76,6.74
14,15,688686,奥普特,61.81,5.19,3.05,7151,43712229.0,6.47,62.32,58.52,58.76,58.76,0.59,42.95,2.58
15,16,002975,博杰股份,28.84,5.03,1.38,6511,18479121.0,5.46,29.0,27.5,27.57,27.46,0.95,1950.08,2.55
16,17,000584,*ST工智,2.81,4.85,0.13,235964,65974826.61,3.36,2.81,2.72,2.78,2.68,3.11,85.14,3.8
17,18,300112,万讯自控,8.7,4.82,0.4,35550,30481586.0,6.02,8.75,8.25,8.25,8.3,1.5,118.23,2.3
18,19,300486,东杰智能,6.11,4.8,0.28,72826,43813268.5,4.97,6.12,5.83,5.83,5.83,1.84,-24.25,2.0
19,20,688529,豪森智能,14.21,4.72,0.64,11432,16144722.0,5.53,14.45,13.7,13.76,13.57,0.68,232.09,1.12
20,21,300836,佰奥智能,46.19,4.57,2.02,5942,27212692.4,6.43,46.6,43.76,44.17,44.17,1.39,121.79,5.68
21,22,301312,智立方,46.38,4.44,1.97,6118,27839450.3,5.29,46.53,44.18,44.18,44.41,2.37,68.33,3.44
22,23,002957,科瑞技术,14.62,4.43,0.62,35299,51027184.36,5.29,14.66,13.92,14.0,14.0,0.86,27.33,2.05
23,24,002426,胜利精密,2.27,4.13,0.09,292198,65010300.0,4.59,2.27,2.17,2.18,2.18,0.86,-202.23,2.34
24,25,301512,智信精密,41.57,3.95,1.58,4628,19161096.0,3.13,42.05,40.8,40.86,39.99,1.87,-50.54,2.26
25,26,300789,唐源电气,15.12,3.92,0.57,10361,15454366.2,3.99,15.14,14.56,14.56,14.55,1.05,30.04,2.13
26,27,300802,矩子科技,17.08,3.89,0.64,10329,17430613.74,4.62,17.14,16.38,16.4,16.44,0.53,60.12,3.02
27,28,688557,兰剑智能,20.0,3.68,0.71,4304,8524855.0,5.13,20.09,19.1,19.1,19.29,0.42,24.13,1.82
