,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,835985,海泰新能,14.75,19.43,2.4,,,0.0,,,,12.35,0.0,20.97,3.25
1,2,600481,双良节能,7.21,10.08,0.66,,,0.0,,,,6.55,0.0,-7.55,2.52
2,3,600207,安彩高科,6.04,10.02,0.55,,,0.0,,,,5.49,0.0,-54.88,2.18
3,4,603628,清源股份,15.88,9.97,1.44,,,0.0,,,,14.44,0.0,33.33,3.33
4,5,603330,天洋新材,6.85,9.95,0.62,,,0.0,,,,6.23,0.0,-76.82,1.72
5,6,603185,弘元绿能,23.8,9.83,2.13,,,0.0,,,,21.67,0.0,-7.44,1.25
6,7,688408,中信博,91.5,6.84,5.86,,,0.0,,,,85.64,0.0,32.52,5.93
7,8,834770,艾能聚,26.6,6.19,1.55,,,0.0,,,,25.05,0.0,63.16,5.88
8,9,688726,C拉普,67.98,5.4,3.48,,,0.0,,,,64.5,0.0,35.87,8.23
9,10,300029,ST天龙,6.49,5.36,0.33,,,0.0,,,,6.16,0.0,-191.28,79.69
10,11,002309,*ST中利,2.03,5.18,0.1,,,0.0,,,,1.93,0.0,-2.92,-1.81
11,12,688503,聚和材料,50.1,4.7,2.25,,,0.0,,,,47.85,0.0,21.6,2.61
12,13,300393,中来股份,8.35,3.6,0.29,,,0.0,,,,8.06,0.0,-22.47,2.29
13,14,300724,捷佳伟创,76.98,3.54,2.63,,,0.0,,,,74.35,0.0,9.94,2.59
14,15,301168,通灵股份,32.73,3.38,1.07,,,0.0,,,,31.66,0.0,41.58,1.84
15,16,300751,迈为股份,114.5,3.26,3.61,,,0.0,,,,110.89,0.0,31.63,4.3
16,17,002459,晶澳科技,18.12,3.19,0.56,,,0.0,,,,17.56,0.0,-92.86,1.92
17,18,000821,京山轻机,15.6,3.11,0.47,,,0.0,,,,15.13,0.0,16.83,2.4
18,19,688348,昱能科技,58.42,3.0,1.7,,,0.0,,,,56.72,0.0,45.81,2.49
19,20,688032,禾迈股份,145.5,2.93,4.14,,,0.0,,,,141.36,0.0,54.99,2.89
20,21,002623,亚玛顿,18.6,2.82,0.51,,,0.0,,,,18.09,0.0,-104.27,1.19
21,22,603105,芯能科技,9.15,2.69,0.24,,,0.0,,,,8.91,0.0,18.45,2.24
22,23,688033,天宜上佳,6.58,2.65,0.17,,,0.0,,,,6.41,0.0,-4.72,0.81
23,24,600732,爱旭股份,12.5,2.63,0.32,,,0.0,,,,12.18,0.0,-6.05,3.74
24,25,601865,福莱特,27.8,2.62,0.71,,,0.0,,,,27.09,0.0,37.71,2.99
25,26,300093,金刚光伏,21.59,2.61,0.55,,,0.0,,,,21.04,0.0,-9.97,-13.45
26,27,300118,东方日升,14.4,2.56,0.36,,,0.0,,,,14.04,0.0,-7.89,1.23
27,28,688717,艾罗能源,59.99,2.55,1.49,,,0.0,,,,58.5,0.0,44.86,2.13
28,29,002129,TCL中环,12.48,2.46,0.3,,,0.0,,,,12.18,0.0,-6.24,1.45
29,30,688147,微导纳米,26.56,2.39,0.62,,,0.0,,,,25.94,0.0,60.48,4.75
30,31,002506,协鑫集成,2.5,2.04,0.05,,,0.0,,,,2.45,0.0,133.93,5.93
31,32,688599,天合光能,25.95,2.0,0.51,,,0.0,,,,25.44,0.0,-50.11,1.99
32,33,600438,通威股份,29.45,1.97,0.57,,,0.0,,,,28.88,0.0,-25.03,2.68
33,34,301046,能辉科技,22.47,1.9,0.42,,,0.0,,,,22.05,0.0,49.15,4.12
34,35,300827,上能电气,45.0,1.83,0.81,,,0.0,,,,44.19,0.0,40.19,7.81
35,36,688223,晶科能源,9.33,1.63,0.15,,,0.0,,,,9.18,0.0,57.62,2.9
36,37,688472,阿特斯,15.09,1.62,0.24,,,0.0,,,,14.85,0.0,21.35,2.45
37,38,601012,隆基绿能,19.55,1.56,0.3,,,0.0,,,,19.25,0.0,-17.08,2.38
38,39,301266,宇邦新材,39.55,1.51,0.59,,,0.0,,,,38.96,0.0,66.45,2.68
39,40,603806,福斯特,18.53,1.42,0.26,,,0.0,,,,18.27,0.0,28.82,3.05
40,41,002218,拓日新能,3.71,1.37,0.05,,,0.0,,,,3.66,0.0,126.95,1.25
41,42,603396,金辰股份,33.1,1.35,0.44,,,0.0,,,,32.66,0.0,50.39,1.79
42,43,300274,阳光电源,92.5,1.3,1.19,,,0.0,,,,91.31,0.0,19.34,6.1
43,44,301278,快可电子,41.1,1.23,0.5,,,0.0,,,,40.6,0.0,28.87,2.73
44,45,300317,珈伟新能,4.46,1.13,0.05,,,0.0,,,,4.41,0.0,-36.87,2.05
45,46,688516,奥特维,54.05,1.08,0.58,,,0.0,,,,53.47,0.0,10.94,3.95
46,47,603778,国晟科技,3.8,1.06,0.04,,,0.0,,,,3.76,0.0,-12.02,2.99
47,48,002897,意华股份,43.23,1.05,0.45,,,0.0,,,,42.78,0.0,27.15,3.31
48,49,605117,德业股份,95.0,1.03,0.97,,,0.0,,,,94.03,0.0,20.52,6.53
49,50,300842,帝科股份,46.5,1.0,0.46,,,0.0,,,,46.04,0.0,16.76,4.17
50,51,688598,金博股份,23.49,0.99,0.23,,,0.0,,,,23.26,0.0,-24.65,0.82
51,52,300345,华民股份,7.36,0.96,0.07,,,0.0,,,,7.29,0.0,-17.01,6.04
52,53,603212,赛伍技术,12.35,0.82,0.1,,,0.0,,,,12.25,0.0,-42.42,1.88
53,54,603398,沐邦高科,21.3,0.71,0.15,,,0.0,,,,21.15,0.0,-28.5,4.85
54,55,300763,锦浪科技,71.95,0.46,0.33,,,0.0,,,,71.62,0.0,32.23,3.44
55,56,601908,京运通,3.02,0.33,0.01,,,0.0,,,,3.01,0.0,-3.88,0.73
