,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,830964,润农节水,12.31,29.99,2.84,,,0.0,,,,9.47,0.0,116.27,3.55
1,2,301024,霍普股份,33.7,15.61,4.55,,,0.0,,,,29.15,0.0,-27.35,4.58
2,3,836149,旭杰科技,20.77,10.89,2.04,,,0.0,,,,18.73,0.0,299.89,8.26
3,4,002542,中化岩土,4.24,10.13,0.39,,,0.0,,,,3.85,0.0,-29.8,3.81
4,5,001267,汇绿生态,8.36,10.0,0.76,,,0.0,,,,7.6,0.0,186.15,4.28
5,6,605303,园林股份,9.36,9.99,0.85,,,0.0,,,,8.51,0.0,-17.28,1.31
6,7,000628,高新发展,79.85,9.99,7.25,,,0.0,,,,72.6,0.0,175.16,12.96
7,8,603098,森特股份,10.59,9.97,0.96,,,0.0,,,,9.63,0.0,57.95,2.07
8,9,600133,东湖高新,13.5,3.85,0.5,,,0.0,,,,13.0,0.0,49.4,1.69
9,10,601133,柏诚股份,11.39,2.89,0.32,,,0.0,,,,11.07,0.0,28.39,2.13
10,11,002586,*ST围海,1.84,2.79,0.05,,,0.0,,,,1.79,0.0,-19.01,0.7
11,12,600846,同济科技,8.28,1.85,0.15,,,0.0,,,,8.13,0.0,12.65,1.3
12,13,300712,永福股份,24.78,1.68,0.41,,,0.0,,,,24.37,0.0,103.76,3.59
13,14,605598,上海港湾,19.49,1.51,0.29,,,0.0,,,,19.2,0.0,33.0,2.58
14,15,603843,正平股份,3.02,1.34,0.04,,,0.0,,,,2.98,0.0,-18.43,2.37
15,16,301058,中粮科工,12.18,1.33,0.16,,,0.0,,,,12.02,0.0,40.54,3.08
16,17,002135,东南网架,4.68,1.3,0.06,,,0.0,,,,4.62,0.0,24.7,0.85
17,18,002062,宏润建设,4.03,1.26,0.05,,,0.0,,,,3.98,0.0,13.35,1.0
18,19,603176,汇通集团,4.94,1.23,0.06,,,0.0,,,,4.88,0.0,25.49,2.09
19,20,002061,浙江交科,4.12,0.98,0.04,,,0.0,,,,4.08,0.0,9.57,0.73
20,21,600248,陕建股份,4.17,0.97,0.04,,,0.0,,,,4.13,0.0,3.96,0.64
21,22,000010,美丽生态,2.35,0.86,0.02,,,0.0,,,,2.33,0.0,-34.09,12.35
22,23,000498,山东路桥,6.19,0.81,0.05,,,0.0,,,,6.14,0.0,4.98,0.68
