,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,870204,沪江材料,34.8,21.68,6.2,36623,113845272.19,21.99,34.87,28.58,30.0,28.6,7.34,111.16,6.92
1,2,300010,豆神教育,11.51,20.02,1.92,1854122,2129244709.04,4.17,11.51,11.11,11.51,9.59,16.44,160.91,21.93
2,3,300968,格林精密,19.0,17.65,2.85,404730,773166479.36,9.78,19.38,17.8,19.38,16.15,9.79,124.8,4.17
3,4,688588,凌志软件,14.83,15.59,2.0,149356,219499570.0,8.81,15.01,13.88,15.01,12.83,3.73,35.93,4.72
4,5,300256,星星科技,4.71,14.32,0.59,2138804,1006627788.08,10.68,4.93,4.49,4.69,4.12,13.01,-62.78,8.88
5,6,300152,新动力,7.48,14.02,0.92,634995,460765840.46,11.74,7.6,6.83,7.2,6.56,8.91,-2099.21,16.58
6,7,600370,三房巷,2.37,10.23,0.22,478898,112881863.0,5.58,2.37,2.25,2.37,2.15,1.23,-22.58,1.67
7,8,002047,宝鹰股份,2.81,10.2,0.26,102571,28822451.0,0.0,2.81,2.81,2.81,2.55,0.76,-7.37,-22.27
8,9,600340,华夏幸福,2.28,10.14,0.21,919425,209175709.0,3.38,2.28,2.21,2.28,2.07,2.36,-2.99,1.53
9,10,002542,中化岩土,4.24,10.13,0.39,73320,31087637.6,0.0,4.24,4.24,4.24,3.85,0.46,-29.8,3.81
10,11,002717,岭南股份,3.7,10.12,0.34,1091232,397813254.85,5.65,3.7,3.51,3.66,3.36,6.82,-18.58,3.46
11,12,002247,聚力文化,2.83,10.12,0.26,317839,88969200.73,5.06,2.83,2.7,2.83,2.57,4.94,8.19,3.85
12,13,600439,瑞贝卡,5.67,10.1,0.52,300160,169983028.0,2.14,5.67,5.56,5.67,5.15,2.65,483.59,2.35
13,14,600481,双良节能,7.21,10.08,0.66,148033,106731916.0,0.0,7.21,7.21,7.21,6.55,0.79,-7.55,2.52
14,15,000056,皇庭国际,3.5,10.06,0.32,100903,35316046.5,0.0,3.5,3.5,3.5,3.18,1.12,-12.14,5.78
15,16,600178,东安动力,15.35,10.04,1.4,19306,29635293.0,0.0,15.35,15.35,15.35,13.95,0.41,-3392.83,2.84
16,17,002312,川发龙蟒,18.88,10.02,1.72,139467,263313790.4,0.0,18.88,18.88,18.88,17.16,0.8,62.97,3.8
17,18,002453,华软科技,6.48,10.02,0.59,186249,119760434.38,3.06,6.48,6.3,6.41,5.89,3.05,-42.71,4.25
18,19,002912,中新赛克,32.84,10.02,2.99,64914,209812405.32,5.49,32.84,31.2,31.99,29.85,4.0,-89.55,3.56
19,20,600839,四川长虹,16.48,10.01,1.5,308290,508062332.0,0.0,16.48,16.48,16.48,14.98,0.67,165.59,5.34
20,21,002253,川大智胜,24.18,10.01,2.2,229469,544183183.71,7.37,24.18,22.56,23.0,21.98,11.04,-151.34,4.64
21,22,000158,常山北明,37.04,10.01,3.37,100451,372069059.44,0.0,37.04,37.04,37.04,33.67,0.63,-156.08,10.63
22,23,600363,联创光电,46.73,10.0,4.25,72803,340207344.0,0.0,46.73,46.73,46.73,42.48,1.6,47.56,4.99
23,24,002085,万丰奥威,20.69,9.99,1.88,121504,251391776.0,0.0,20.69,20.69,20.69,18.81,0.57,58.47,6.36
24,25,600843,上工申贝,18.38,9.99,1.67,89421,164356092.0,0.0,18.38,18.38,18.38,16.71,1.91,-253.67,4.08
25,26,603656,泰禾智能,28.08,9.99,2.55,137329,381681045.0,4.7,28.08,26.88,27.0,25.53,7.49,196.3,4.01
26,27,002797,第一创业,8.59,9.99,0.78,2572577,2141133365.87,7.94,8.59,7.97,8.1,7.81,6.12,42.23,2.31
27,28,002583,海能达,28.2,9.98,2.56,45651,128735989.2,0.0,28.2,28.2,28.2,25.64,0.36,152.93,8.41
28,29,000677,恒天海龙,7.28,9.97,0.66,416654,298468669.21,4.68,7.28,6.97,7.02,6.62,4.82,120.17,12.57
29,30,600653,申华控股,2.76,9.96,0.25,927104,253245803.0,4.38,2.76,2.65,2.75,2.51,4.76,-71.64,7.39
30,31,002094,青岛金王,9.39,9.95,0.85,18100,16995637.08,0.0,9.39,9.39,9.39,8.54,0.26,75.06,4.33
31,32,000520,凤凰航运,6.41,9.95,0.58,369908,236275115.28,3.77,6.41,6.19,6.41,5.83,3.65,-220.33,12.42
32,33,600355,精伦电子,4.87,9.93,0.44,69168,33684816.0,0.0,4.87,4.87,4.87,4.43,1.41,-61.25,16.5
33,34,002388,新亚制程,6.09,9.93,0.55,89701,54627909.0,0.0,6.09,6.09,6.09,5.54,1.8,3733.76,2.58
34,35,002694,顾地科技,5.65,9.92,0.51,135649,75919559.71,5.06,5.65,5.39,5.46,5.14,2.45,-52.51,8.62
35,36,000066,中国长城,15.86,9.91,1.43,3599317,5693169686.94,4.3,15.87,15.25,15.87,14.43,11.44,-55.8,4.26
36,37,600172,黄河旋风,4.22,9.9,0.38,817373,340416190.0,5.47,4.22,4.01,4.18,3.84,6.4,-10.73,2.94
37,38,600527,江南高纤,2.13,9.79,0.19,188138,40073437.0,0.0,2.13,2.13,2.13,1.94,1.09,91.9,1.72
38,39,603038,华立股份,32.58,9.7,2.88,217502,699454690.0,5.45,32.67,31.05,31.5,29.7,8.1,188.13,6.39
39,40,600246,万通发展,14.91,9.47,1.29,909041,1338207776.0,5.14,14.98,14.28,14.3,13.62,4.57,-191.53,5.37
40,41,600811,东方集团,3.36,9.45,0.29,2445875,802874331.0,8.79,3.38,3.11,3.22,3.07,6.69,70.25,0.73
41,42,002596,海南瑞泽,2.8,9.38,0.24,686035,187471668.05,10.16,2.82,2.56,2.69,2.56,6.71,-27.69,3.55
42,43,601727,上海电气,9.29,9.29,0.79,4010734,3687491666.0,5.53,9.35,8.88,8.99,8.5,3.17,143.15,2.7
43,44,000592,平潭发展,2.77,9.06,0.23,1338714,353546079.48,11.81,2.78,2.48,2.54,2.54,6.99,177.84,2.64
44,45,603339,四方科技,13.15,8.95,1.08,138202,178625845.0,6.38,13.27,12.5,12.68,12.07,4.47,16.54,1.62
45,46,600865,百大集团,11.4,8.88,0.93,120736,137121595.0,10.03,11.52,10.47,11.52,10.47,3.21,24.46,1.83
46,47,002021,中捷资源,2.7,8.87,0.22,743877,199358548.92,6.85,2.73,2.56,2.6,2.48,6.17,128.42,5.15
47,48,002178,延华智能,7.26,8.85,0.59,596200,434314454.4,5.1,7.34,7.0,7.34,6.67,8.38,-442.51,11.71
48,49,002272,川润股份,16.28,8.82,1.32,508062,820555737.54,7.09,16.46,15.4,15.65,14.96,13.39,-190.99,4.94
49,50,600307,酒钢宏兴,1.99,8.74,0.16,1599443,313449443.0,7.1,2.0,1.87,1.99,1.83,2.55,-4.8,1.51
50,51,002654,万润科技,19.57,8.66,1.56,935284,1826637778.56,4.0,19.81,19.09,19.27,18.01,11.07,372.83,10.97
51,52,002570,贝因美,6.04,8.63,0.48,1175383,703286011.96,7.91,6.12,5.68,5.78,5.56,10.88,68.15,4.23
52,53,600624,复旦复华,6.95,8.59,0.55,429316,293502534.0,4.84,6.99,6.68,6.68,6.4,6.27,-110.81,6.16
