,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,830964,润农节水,12.3,29.88,2.83,569926,696640994.73,9.4,12.31,11.42,12.3,9.47,31.77,116.18,3.55
1,2,836149,旭杰科技,21.4,14.26,2.67,41961,85568487.52,12.01,21.85,19.6,19.83,18.73,8.57,308.99,8.51
2,3,002542,中化岩土,4.24,10.13,0.39,73321,31088061.6,0.0,4.24,4.24,4.24,3.85,0.46,-29.8,3.81
3,4,603098,森特股份,10.59,9.97,0.96,30069,31843071.0,0.0,10.59,10.59,10.59,9.63,0.56,57.95,2.07
4,5,000010,美丽生态,2.56,9.87,0.23,152433,38329293.4,7.3,2.56,2.39,2.39,2.33,2.9,-37.14,13.45
5,6,600248,陕建股份,4.48,8.47,0.35,273177,119823929.0,5.81,4.49,4.25,4.26,4.13,0.74,4.26,0.69
6,7,001267,汇绿生态,8.17,7.5,0.57,439985,358437391.62,8.29,8.36,7.73,8.36,7.6,12.12,181.92,4.19
7,8,002628,成都路桥,7.54,5.45,0.39,394388,293651784.36,6.99,7.65,7.15,7.15,7.15,5.22,-206.76,1.92
8,9,600769,祥龙电业,12.07,5.05,0.58,63919,76068349.0,8.09,12.23,11.3,11.3,11.49,1.7,294.09,44.51
9,10,002663,普邦股份,1.89,5.0,0.09,224147,41070056.68,8.89,1.91,1.75,1.76,1.8,1.61,-109.11,1.13
10,11,300536,*ST农尚,7.83,4.82,0.36,42502,32661659.0,5.35,7.84,7.44,7.44,7.47,1.45,-32.76,4.18
11,12,603388,ST元成,2.4,4.8,0.11,83737,19942075.0,2.62,2.4,2.34,2.36,2.29,2.57,-7.07,0.72
12,13,603007,*ST花王,11.19,3.8,0.41,40969,45283516.0,3.62,11.19,10.8,11.09,10.78,1.01,-38.76,12.77
13,14,002140,东华科技,8.47,3.04,0.25,19308,16292909.0,2.43,8.53,8.33,8.33,8.22,0.36,14.17,1.41
14,15,300712,永福股份,25.07,2.87,0.7,6475,16261848.0,2.05,25.3,24.8,24.92,24.37,0.35,104.97,3.63
15,16,002775,文科股份,3.43,2.39,0.08,18891,6434983.0,3.28,3.45,3.34,3.35,3.35,0.42,259.49,9.54
16,17,301024,霍普股份,29.77,2.13,0.62,7705,23449180.0,4.36,31.0,29.73,30.0,29.15,4.34,-24.16,4.05
17,18,603843,正平股份,3.04,2.01,0.06,23468,7071745.0,2.35,3.04,2.97,2.99,2.98,0.34,-18.55,2.39
18,19,000065,北方国际,10.24,1.99,0.2,26816,27442530.16,1.89,10.3,10.11,10.11,10.04,0.3,10.16,1.15
19,20,600284,浦东建设,5.98,1.87,0.11,33740,20095340.0,1.19,5.99,5.92,5.92,5.87,0.35,9.42,0.75
20,21,002431,棕榈股份,2.23,1.83,0.04,96310,21206320.0,4.11,2.24,2.15,2.15,2.19,0.53,-5.17,1.53
21,22,002135,东南网架,4.7,1.73,0.08,24960,11741199.0,2.6,4.74,4.62,4.67,4.62,0.23,24.81,0.85
22,23,601669,中国电建,5.54,1.65,0.09,271556,149832663.0,2.2,5.56,5.44,5.47,5.45,0.21,8.13,0.7
23,24,600170,上海建工,2.51,1.62,0.04,281201,70027014.0,2.02,2.51,2.46,2.46,2.47,0.32,12.38,0.72
