,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300981,中红医疗,14.7,13.95,1.8,108104.0,156705967.16,16.2,15.47,13.38,13.38,12.9,3.02,84.26,1.02
1,2,002936,郑州银行,2.26,10.24,0.21,2090295.0,458276665.9,8.78,2.26,2.08,2.09,2.05,3.12,6.87,0.46
2,3,000717,中南股份,2.93,10.15,0.27,434833.0,126260045.43,5.64,2.93,2.78,2.83,2.66,1.79,-6.26,0.86
3,4,002110,三钢闽光,3.91,10.14,0.36,298545.0,115126291.37,6.76,3.91,3.67,3.67,3.55,1.23,-5.41,0.5
4,5,000402,金 融 街,3.93,10.08,0.36,982987.0,383649048.15,6.16,3.93,3.71,3.72,3.57,3.29,-3.37,0.35
5,6,600787,中储股份,6.88,10.08,0.63,228199.0,157000843.0,0.0,6.88,6.88,6.88,6.25,1.05,29.17,1.09
6,7,600104,上汽集团,19.0,10.02,1.73,1089848.0,2069629590.0,1.97,19.0,18.66,19.0,17.27,0.94,23.88,0.75
7,8,000990,诚志股份,8.79,10.01,0.8,189272.0,164339707.7,5.13,8.79,8.38,8.38,7.99,1.56,36.67,0.6
8,9,002462,嘉事堂,14.21,9.98,1.29,101023.0,141149485.0,7.2,14.21,13.28,13.28,12.92,3.47,13.46,0.94
9,10,600676,交运股份,5.51,9.98,0.5,103060.0,56786170.0,0.0,5.51,5.51,5.51,5.01,1.0,-18.89,1.07
10,11,601828,美凯龙,3.64,9.97,0.33,202409.0,73677022.0,0.0,3.64,3.64,3.64,3.31,0.56,-6.3,0.33
11,12,000608,阳光股份,2.65,9.96,0.24,300687.0,78346648.96,7.88,2.65,2.46,2.46,2.41,4.04,-74.14,0.82
12,13,600884,杉杉股份,9.4,9.94,0.85,455199.0,423401623.0,8.42,9.41,8.69,8.7,8.55,2.59,684.38,0.96
13,14,002344,海宁皮城,4.76,9.93,0.43,33372.0,15885290.96,0.0,4.76,4.76,4.76,4.33,0.26,63.49,0.73
14,15,000900,现代投资,4.55,9.9,0.41,376387.0,169182160.1,6.76,4.55,4.27,4.27,4.14,2.48,12.75,0.63
15,16,002392,北京利尔,4.41,9.7,0.39,646710.0,284884561.65,2.74,4.42,4.31,4.42,4.02,7.74,12.71,0.97
16,17,000926,福星股份,2.96,9.63,0.26,918994.0,269539678.36,6.3,2.97,2.8,2.81,2.7,5.84,212.65,0.39
17,18,603808,歌力思,8.22,9.45,0.71,166308.0,133750934.0,8.66,8.26,7.61,7.81,7.51,4.51,105.71,1.07
18,19,600704,物产中大,5.7,9.2,0.48,1452100.0,821403649.0,7.47,5.74,5.35,5.39,5.22,2.82,9.52,0.81
19,20,600157,永泰能源,1.69,9.03,0.14,11516605.0,1918759889.0,8.39,1.71,1.58,1.59,1.55,5.18,19.24,0.8
20,21,300195,长荣股份,6.1,8.93,0.5,130735.0,76610614.0,8.57,6.12,5.64,5.7,5.6,4.16,572.86,0.97
21,22,600606,绿地控股,2.45,8.89,0.2,1931533.0,471776073.0,8.0,2.48,2.3,2.3,2.25,1.37,109.15,0.42
22,23,600682,南京新百,7.06,8.78,0.57,335938.0,236153934.0,7.7,7.14,6.64,6.71,6.49,2.88,32.17,0.55
23,24,000709,河钢股份,2.36,8.76,0.19,1509723.0,351917584.09,7.83,2.39,2.22,2.22,2.17,1.46,32.17,0.48
24,25,300070,碧水源,6.28,8.65,0.5,989748.0,622966154.56,5.88,6.49,6.15,6.15,5.78,2.88,-397.49,0.84
25,26,002958,青农商行,3.36,8.39,0.26,1445546.0,478631692.52,7.74,3.41,3.17,3.17,3.1,2.93,4.37,0.53
26,27,002582,好想你,6.56,8.25,0.5,245056.0,161715274.66,6.77,6.67,6.26,6.26,6.06,7.14,-36.73,0.83
27,28,688068,热景生物,34.8,8.11,2.61,48884.0,173395051.0,10.38,36.67,33.33,33.69,32.19,5.29,-59.39,0.99
28,29,600508,上海能源,14.37,7.88,1.05,128326.0,182192102.0,5.03,14.4,13.73,13.77,13.32,1.78,12.45,0.81
29,30,000069,华侨城Ａ,3.06,7.75,0.22,1101078.0,337727674.6,6.69,3.12,2.93,2.94,2.84,1.6,-7.85,0.43
30,31,600658,电子城,4.93,7.64,0.35,172873.0,83479989.0,5.68,4.96,4.7,4.7,4.58,1.55,-8.43,0.81
31,32,000898,鞍钢股份,2.54,7.63,0.18,555223.0,138696032.07,5.93,2.54,2.4,2.4,2.36,0.7,-3.52,0.48
32,33,600510,黑牡丹,5.09,7.16,0.34,323464.0,167425668.0,4.42,5.23,5.02,5.1,4.75,3.13,49.64,0.52
33,34,002394,联发股份,7.94,7.01,0.52,150760.0,121685915.3,4.04,8.16,7.86,7.97,7.42,4.66,14.77,0.64
34,35,600969,郴电国际,7.03,7.0,0.46,190520.0,136516826.0,6.39,7.23,6.81,6.81,6.57,5.15,32.27,0.71
35,36,600739,辽宁成大,12.22,6.72,0.77,222173.0,270962315.0,4.98,12.45,11.88,11.9,11.45,1.45,19.71,0.63
36,37,600067,冠城大通,3.41,6.56,0.21,350577.0,118526973.0,7.81,3.49,3.24,3.27,3.2,2.52,-49.24,0.74
37,38,601186,中国铁建,9.98,6.51,0.61,1005454.0,991427378.0,3.09,10.0,9.71,9.86,9.37,0.87,6.48,0.52
38,39,601618,中国中冶,3.6,6.51,0.22,1067589.0,377725036.0,3.55,3.61,3.49,3.49,3.38,0.6,8.19,0.73
