,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300153,科泰电源,9.59,20.03,1.6,,,0.0,,,,7.99,0.0,91.94,3.57
1,2,002630,华西能源,4.04,10.08,0.37,,,0.0,,,,3.67,0.0,47.03,7.6
2,3,300105,龙源技术,8.23,3.91,0.31,,,0.0,,,,7.92,0.0,136.58,2.25
3,4,301327,华宝新能,86.0,2.63,2.2,,,0.0,,,,83.8,0.0,50.49,1.75
4,5,002366,融发核电,5.21,2.16,0.11,,,0.0,,,,5.1,0.0,-622.27,2.34
5,6,688719,爱科赛博,25.54,1.39,0.35,,,0.0,,,,25.19,0.0,62.8,1.67
6,7,301516,中远通,18.39,0.49,0.09,,,0.0,,,,18.3,0.0,-151.28,3.7
7,8,002227,奥 特 迅,9.38,0.43,0.04,,,0.0,,,,9.34,0.0,-74.46,2.25
8,9,300693,盛弘股份,25.28,0.32,0.08,,,0.0,,,,25.2,0.0,21.8,4.74
9,10,300820,英杰电气,50.49,0.3,0.15,,,0.0,,,,50.34,0.0,27.69,4.71
10,11,300593,新雷能,13.51,0.3,0.04,,,0.0,,,,13.47,0.0,-39.94,2.61
11,12,301386,未来电器,21.03,0.19,0.04,,,0.0,,,,20.99,0.0,34.25,2.02
12,13,002364,中恒电气,7.31,0.14,0.01,,,0.0,,,,7.3,0.0,35.94,1.74
13,14,300491,通合科技,15.43,0.06,0.01,,,0.0,,,,15.42,0.0,96.76,2.38
14,15,688551,科威尔,,,,,,,,,,29.69,0.0,36.23,1.91
15,16,601727,上海电气,9.0,0.0,0.0,,,0.0,,,,9.0,0.0,138.68,2.62
16,17,600875,东方电气,15.77,0.0,0.0,,,0.0,,,,15.77,0.0,14.05,1.28
17,18,002851,麦格米特,45.5,0.0,0.0,,,0.0,,,,45.5,0.0,41.84,4.61
18,19,002255,海陆重工,5.69,0.0,0.0,,,0.0,,,,5.69,0.0,14.72,1.18
19,20,000576,甘化科工,7.05,0.0,0.0,,,0.0,,,,7.05,0.0,115.21,1.91
20,21,002518,科士达,19.81,-0.05,-0.01,,,0.0,,,,19.82,0.0,24.24,2.66
21,22,002534,西子洁能,13.04,-0.08,-0.01,,,0.0,,,,13.05,0.0,17.07,2.36
22,23,300870,欧陆通,56.69,-0.14,-0.08,,,0.0,,,,56.77,0.0,27.47,2.94
23,24,600202,哈空调,4.83,-0.21,-0.01,,,0.0,,,,4.84,0.0,970.59,2.23
24,25,600405,动力源,4.47,-0.22,-0.01,,,0.0,,,,4.48,0.0,-11.82,5.54
25,26,600475,华光环能,9.08,-0.55,-0.05,,,0.0,,,,9.13,0.0,13.53,1.01
26,27,002335,科华数据,26.35,-0.75,-0.2,,,0.0,,,,26.55,0.0,38.32,2.77
27,28,300713,英可瑞,15.71,-1.19,-0.19,,,0.0,,,,15.9,0.0,-37.54,4.17
28,29,300376,ST易事特,3.83,-1.29,-0.05,,,0.0,,,,3.88,0.0,32.46,1.27
