,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002432,九安医疗,50.8,9.51,4.41,,,0.0,,,,46.39,0.0,13.66,1.29
1,2,300206,理邦仪器,10.98,5.58,0.58,,,0.0,,,,10.4,0.0,27.87,3.17
2,3,300003,乐普医疗,12.15,1.0,0.12,,,0.0,,,,12.03,0.0,21.35,1.47
3,4,002980,华盛昌,28.24,0.97,0.27,,,0.0,,,,27.97,0.0,25.7,3.58
4,5,002449,国星光电,8.37,0.84,0.07,,,0.0,,,,8.3,0.0,58.2,1.35
5,6,002614,奥佳华,6.22,0.32,0.02,,,0.0,,,,6.2,0.0,57.02,0.89
6,7,835892,中科美菱,,,,,,,,,,14.55,0.0,89.53,2.33
7,8,301087,可孚医疗,,,,,,,,,,37.87,0.0,23.57,1.67
8,9,300869,康泰医学,,,,,,,,,,15.97,0.0,485.98,3.37
9,10,300753,爱朋医疗,,,,,,,,,,14.06,0.0,349.11,2.56
10,11,300246,宝莱特,7.06,0.0,0.0,,,0.0,,,,7.06,0.0,-102.7,1.53
11,12,002223,鱼跃医疗,33.91,0.0,0.0,,,0.0,,,,33.91,0.0,16.65,2.71
12,13,300026,红日药业,4.09,-0.73,-0.03,,,0.0,,,,4.12,0.0,54.74,1.4
13,14,301290,东星医疗,24.58,-1.32,-0.33,,,0.0,,,,24.91,0.0,28.16,1.11
