,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002735,王子新材,11.95,10.04,1.09,,,0.0,,,,10.86,0.0,265.76,2.54
1,2,002599,盛通股份,8.73,9.95,0.79,,,0.0,,,,7.94,0.0,7783.37,3.25
2,3,002787,华源控股,11.1,4.52,0.48,,,0.0,,,,10.62,0.0,47.02,2.17
3,4,002951,*ST金时,7.1,3.65,0.25,,,0.0,,,,6.85,0.0,-47.03,1.57
4,5,872392,佳合科技,27.0,3.41,0.89,,,0.0,,,,26.11,0.0,37.16,4.78
5,6,002701,奥瑞金,5.2,2.56,0.13,,,0.0,,,,5.07,0.0,13.12,1.46
6,7,000812,陕西金叶,4.7,2.4,0.11,,,0.0,,,,4.59,0.0,46.0,1.97
7,8,301223,中荣股份,17.41,2.23,0.38,,,0.0,,,,17.03,0.0,22.83,1.16
8,9,002014,永新股份,10.45,1.26,0.13,,,0.0,,,,10.32,0.0,15.75,2.64
9,10,002374,中锐股份,2.74,1.11,0.03,,,0.0,,,,2.71,0.0,-27.04,2.69
10,11,003003,天元股份,9.35,1.08,0.1,,,0.0,,,,9.25,0.0,24.57,1.3
11,12,002303,美盈森,3.31,0.91,0.03,,,0.0,,,,3.28,0.0,17.38,1.1
12,13,002191,劲嘉股份,4.46,0.68,0.03,,,0.0,,,,4.43,0.0,20.46,0.97
13,14,002752,昇兴股份,5.5,0.55,0.03,,,0.0,,,,5.47,0.0,11.73,1.62
14,15,002969,嘉美包装,3.2,0.31,0.01,,,0.0,,,,3.19,0.0,31.0,1.38
15,16,002565,顺灏股份,3.6,0.28,0.01,,,0.0,,,,3.59,0.0,51.14,1.99
16,17,601968,宝钢包装,5.18,0.0,0.0,,,0.0,,,,5.18,0.0,28.05,1.55
17,18,301062,上海艾录,,,,,,,,,,11.27,0.0,53.38,3.66
18,19,002846,英联股份,7.72,0.0,0.0,,,0.0,,,,7.72,0.0,1149.74,2.28
19,20,600210,紫江企业,6.07,-0.16,-0.01,,,0.0,,,,6.08,0.0,13.09,1.56
20,21,601515,东峰集团,3.56,-0.28,-0.01,,,0.0,,,,3.57,0.0,-25.85,1.21
21,22,301296,新巨丰,9.31,-0.43,-0.04,,,0.0,,,,9.35,0.0,23.51,1.55
22,23,603687,大胜达,7.47,-0.53,-0.04,,,0.0,,,,7.51,0.0,37.25,1.27
23,24,002228,合兴包装,2.95,-0.67,-0.02,,,0.0,,,,2.97,0.0,18.73,1.13
24,25,603022,新通联,7.49,-1.06,-0.08,,,0.0,,,,7.57,0.0,33.07,1.9
25,26,000659,珠海中富,2.72,-1.09,-0.03,,,0.0,,,,2.75,0.0,-90.62,11.74
26,27,002799,环球印务,8.23,-1.2,-0.1,,,0.0,,,,8.33,0.0,71.93,1.92
27,28,838163,方大新材,18.02,-1.53,-0.28,,,0.0,,,,18.3,0.0,48.38,5.13
28,29,300501,海顺新材,13.6,-2.72,-0.38,,,0.0,,,,13.98,0.0,24.76,1.58
