,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,873132,泰鹏智能,16.77,26.66,3.53,,,0.0,,,,13.24,0.0,67.93,5.61
1,2,300703,创源股份,11.17,19.85,1.85,,,0.0,,,,9.32,0.0,25.32,2.39
2,3,002571,德力股份,5.69,10.06,0.52,,,0.0,,,,5.17,0.0,-51.06,1.86
3,4,002615,哈尔斯,10.11,10.01,0.92,,,0.0,,,,9.19,0.0,15.72,2.83
4,5,600439,瑞贝卡,6.23,9.88,0.56,,,0.0,,,,5.67,0.0,531.36,2.58
5,6,301336,趣睡科技,35.99,2.89,1.01,,,0.0,,,,34.98,0.0,56.64,1.79
6,7,301376,致欧科技,19.3,1.85,0.35,,,0.0,,,,18.95,0.0,20.94,2.42
7,8,300163,ST先锋,2.19,1.39,0.03,,,0.0,,,,2.16,0.0,-140.7,2.12
8,9,301588,美新科技,21.62,0.89,0.19,,,0.0,,,,21.43,0.0,46.48,2.84
9,10,002301,齐心集团,6.01,0.5,0.03,,,0.0,,,,5.98,0.0,20.5,1.37
10,11,605299,舒华体育,7.6,0.26,0.02,,,0.0,,,,7.58,0.0,46.17,2.52
11,12,301287,康力源,28.65,0.21,0.06,,,0.0,,,,28.59,0.0,33.45,1.72
12,13,300329,海伦钢琴,6.02,0.17,0.01,,,0.0,,,,6.01,0.0,-78.15,1.85
13,14,605268,王力安防,,,,,,,,,,8.92,0.0,37.37,2.55
14,15,605155,西大门,9.95,0.0,0.0,,,0.0,,,,9.95,0.0,16.45,1.54
15,16,603195,公牛集团,72.83,0.0,0.0,,,0.0,,,,72.83,0.0,21.63,6.34
16,17,301335,天元宠物,,,,,,,,,,19.79,0.0,34.33,1.32
17,18,301004,嘉益股份,,,,,,,,,,119.63,0.0,17.55,7.4
18,19,300993,玉马遮阳,,,,,,,,,,10.05,0.0,18.14,2.25
19,20,300640,德艺文创,5.19,0.0,0.0,,,0.0,,,,5.19,0.0,107.72,2.01
20,21,002862,实丰文化,,,,,,,,,,18.06,0.0,359.39,5.25
21,22,002489,浙江永强,3.19,0.0,0.0,,,0.0,,,,3.19,0.0,10.65,1.69
22,23,001222,源飞宠物,,,,,,,,,,12.84,0.0,15.35,1.93
23,24,603848,好太太,13.48,-0.15,-0.02,,,0.0,,,,13.5,0.0,21.45,2.29
24,25,002103,广博股份,6.12,-0.16,-0.01,,,0.0,,,,6.13,0.0,23.27,3.24
25,26,001323,慕思股份,37.2,-0.24,-0.09,,,0.0,,,,37.29,0.0,21.37,3.42
26,27,301101,明月镜片,25.51,-0.35,-0.09,,,0.0,,,,25.6,0.0,28.14,3.15
27,28,603899,晨光股份,28.88,-0.41,-0.12,,,0.0,,,,29.0,0.0,19.59,3.1
28,29,605099,共创草坪,19.53,-0.56,-0.11,,,0.0,,,,19.64,0.0,14.95,2.96
29,30,002678,珠江钢琴,4.4,-1.79,-0.08,,,0.0,,,,4.48,0.0,-32.53,1.68
30,31,002348,高乐股份,3.09,-1.9,-0.06,,,0.0,,,,3.15,0.0,-64.11,6.11
31,32,001300,三柏硕,12.17,-2.01,-0.25,,,0.0,,,,12.42,0.0,107.59,2.81
32,33,300651,金陵体育,12.6,-4.69,-0.62,,,0.0,,,,13.22,0.0,55.86,2.08
33,34,300729,乐歌股份,15.06,-5.64,-0.9,,,0.0,,,,15.96,0.0,14.52,1.46
34,35,831445,龙竹科技,7.37,-7.06,-0.56,,,0.0,,,,7.93,0.0,45.33,3.06
35,36,603091,众鑫股份,47.41,-10.0,-5.27,,,0.0,,,,52.68,0.0,15.41,2.54
36,37,002899,英派斯,15.47,-10.01,-1.72,,,0.0,,,,17.19,0.0,19.64,1.36
