,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,减速器,BK1100,1035.88,60.18,6.17,404048928000,1.49,52,2,英洛华,9.96
1,2,机器人执行器,BK1145,1032.01,57.17,5.86,337177216000,0.95,24,0,英洛华,9.96
2,3,麒麟电池,BK1092,1089.95,54.02,5.21,1199841280000,1.25,9,0,富临精工,19.61
3,4,华为汽车,BK0984,1667.48,56.22,3.49,1494932320000,1.06,90,8,蓝黛科技,10.01
4,5,轮毂电机,BK1099,866.66,28.17,3.36,53444542000,0.64,8,0,八方股份,9.98
5,6,机器视觉,BK0998,1239.94,38.34,3.19,369404640000,1.41,56,8,新时达,9.97
6,7,3D玻璃,BK0881,1087.32,32.09,3.04,270885520000,1.85,16,2,昊志机电,10.13
7,8,PEEK材料概念,BK1156,1023.47,27.31,2.74,217049559000,0.77,20,2,华密新材,7.27
8,9,同步磁阻电机,BK1131,1122.41,29.81,2.73,46015185000,2.15,5,1,新时达,9.97
9,10,工业母机,BK1004,1245.16,32.15,2.65,1135168624000,1.23,75,7,科力尔,9.98
10,11,汽车热管理,BK1089,1333.43,34.19,2.63,653163200000,1.64,68,9,海立股份,10.03
11,12,人脑工程,BK0706,3293.54,82.47,2.57,285937584000,1.01,17,2,机器人,10.4
12,13,激光雷达,BK1002,1352.74,33.46,2.54,358258768000,1.23,28,4,常熟汽饰,9.85
13,14,机器人概念,BK1090,1290.7,31.46,2.5,4863897344000,1.09,332,58,英洛华,9.96
14,15,PLC概念,BK1119,1042.93,24.58,2.41,303712336000,0.48,8,1,伟创电气,5.07
15,16,小米汽车,BK1155,1127.3,25.93,2.35,3097689184000,0.73,57,8,光弘科技,8.02
16,17,新型工业化,BK1150,948.82,21.66,2.34,1433031808000,0.99,73,13,能科科技,9.98
17,18,智能机器,BK0640,3969.14,90.17,2.32,3196572704000,0.73,153,21,英洛华,9.96
18,19,工业4.0,BK0810,1955.1,42.71,2.23,2521530992000,0.84,106,22,新时达,9.97
19,20,CRO,BK0899,1327.57,28.49,2.19,500727024000,0.55,33,3,昭衍新药,10.02
20,21,CPO概念,BK1128,2307.25,48.99,2.17,1344511248000,0.78,43,1,剑桥科技,10.0
21,22,胎压监测,BK0898,1818.3,38.6,2.17,294505952000,0.66,26,2,苏奥传感,5.37
22,23,AI制药,BK1170,944.22,19.9,2.15,125377366000,1.14,11,3,荣科科技,19.08
23,24,高压快充,BK1144,933.34,19.57,2.14,354992976000,0.68,40,2,绿能慧充,7.4
24,25,特斯拉,BK0644,4422.0,92.65,2.14,4337666560000,0.94,172,28,银邦股份,11.63
25,26,飞行汽车(eVTOL),BK1157,1514.73,31.03,2.09,630544736000,1.38,49,8,拓斯达,19.97
26,27,铜缆高速连接,BK1168,1199.76,24.07,2.05,534842800000,0.69,30,1,意华股份,10.01
27,28,电子后视镜,BK1125,1356.87,27.22,2.05,316264128000,2.14,20,2,伟时电子,10.01
28,29,新能源车,BK0900,1579.82,31.11,2.01,10603850240000,0.81,481,92,英洛华,9.96
29,30,屏下摄像,BK0947,953.46,18.5,1.98,527549616000,1.3,9,1,联创电子,3.04
30,31,毫米波概念,BK1124,1305.4,24.87,1.94,420935728000,1.21,34,4,富士达,7.3
31,32,荣耀概念,BK1177,1419.71,26.98,1.94,942161952000,0.93,41,10,爱施德,10.01
32,33,宁组合,BK1000,530.85,10.05,1.93,4091035168000,0.26,23,1,昭衍新药,10.02
33,34,传感器,BK0905,1379.43,26.02,1.92,1163627744000,1.11,82,10,柯力传感,10.01
34,35,汽车一体化压铸,BK1093,1037.32,19.53,1.92,287192944000,1.58,23,5,机科股份,9.62
35,36,无人驾驶,BK0802,1496.22,27.58,1.88,5242535424000,0.8,188,42,众泰汽车,10.22
36,37,光通信模块,BK1136,1214.28,22.31,1.87,865314896000,1.11,50,5,云南锗业,10.0
37,38,刀片电池,BK0951,2049.11,36.49,1.81,1011471104000,0.83,10,3,和胜股份,10.03
38,39,PCB,BK0877,1519.33,26.87,1.8,941981072000,0.66,77,8,贝斯特,8.87
39,40,千金藤素,BK1083,966.91,16.8,1.77,137281563000,0.15,5,0,皓元医药,4.96
40,41,3D摄像头,BK0901,1394.29,23.4,1.71,582968480000,1.6,9,2,奥比中光-UW,4.81
41,42,6G概念,BK0964,1276.19,21.22,1.69,492413680000,1.11,23,2,意华股份,10.01
42,43,全息技术,BK0699,1971.06,32.26,1.66,141531000000,0.78,9,1,联创光电,10.0
43,44,创新药,BK1106,1081.06,17.1,1.61,1536523888000,0.56,74,9,昭衍新药,10.02
44,45,F5G概念,BK1088,1914.27,29.89,1.59,561591072000,0.39,18,4,剑桥科技,10.0
45,46,次新股,BK0501,25052.61,386.84,1.57,658866752000,1.78,77,16,夏厦精密,10.0
46,47,DRG/DIP,BK1054,928.4,14.24,1.56,136491902000,1.22,11,6,荣科科技,19.42
47,48,空间站概念,BK0994,1499.18,22.83,1.55,194178927000,0.72,18,2,泰林生物,4.71
48,49,无线充电,BK0960,2147.28,32.67,1.54,1919634736000,0.66,35,6,信维通信,5.02
49,50,WiFi,BK0915,1000.99,14.95,1.52,488457248000,0.39,24,3,剑桥科技,10.0
50,51,苹果概念,BK0666,2731.68,40.69,1.51,2640329136000,0.65,112,15,英洛华,9.96
51,52,科创板做市商,BK1107,1472.45,21.76,1.5,1839398544000,0.21,14,0,中信建投,2.23
52,53,工业互联,BK0832,1773.58,26.19,1.5,4059364448000,0.97,142,38,能科科技,9.98
53,54,超导概念,BK0679,3595.55,52.88,1.49,232857668000,0.91,12,3,联创光电,10.0
54,55,固态电池,BK0968,1405.94,20.52,1.48,4420886272000,0.58,125,26,和胜股份,10.03
55,56,柔性屏(折叠屏),BK1160,1300.44,18.93,1.48,950908960000,1.59,61,12,和胜股份,10.03
56,57,被动元件,BK0976,1254.91,18.13,1.47,378767904000,0.81,23,2,法拉电子,5.3
57,58,MLCC,BK0890,1774.8,25.54,1.46,179355256000,0.24,12,1,昀冢科技,5.29
58,59,专精特新,BK1005,987.09,14.17,1.46,4220428832000,1.02,604,143,英洛华,9.96
59,60,玻璃基板,BK1175,1281.11,18.33,1.45,512575488000,1.05,26,6,沃格光电,9.03
60,61,天基互联,BK0921,1333.88,19.06,1.45,512176432000,0.93,35,3,华体科技,5.87
61,62,创业成份,BK0638,1679.37,23.76,1.44,5733597440000,0.59,90,8,天孚通信,5.65
62,63,注册制次新股,BK0971,646.03,9.1,1.43,639746256000,1.75,70,15,夏厦精密,10.0
63,64,燃料电池,BK0682,2825.96,39.44,1.42,2371132720000,0.8,110,29,新时达,9.97
64,65,液冷概念,BK1138,902.89,12.53,1.41,886009040000,1.44,53,4,剑桥科技,10.0
65,66,电子烟,BK0865,1626.78,22.54,1.41,934161680000,0.77,42,8,爱施德,10.01
66,67,混合现实,BK1141,1133.58,15.64,1.4,940814576000,0.44,23,5,信维通信,5.02
67,68,科创板做市股,BK1108,839.16,11.5,1.39,1721687168000,0.2,37,4,金盘科技,9.36
68,69,eSIM,BK0956,1291.22,17.64,1.39,278545824000,0.26,8,2,广和通,7.61
69,70,PVDF概念,BK1012,762.06,10.21,1.36,243978600000,0.36,13,1,黑猫股份,5.93
70,71,重组蛋白,BK1063,744.88,9.96,1.36,156056663000,0.22,14,0,康乐卫士,2.87
71,72,换电概念,BK0985,1129.73,15.05,1.35,785821168000,0.59,37,11,爱仕达,10.03
72,73,UWB概念,BK0880,1438.7,19.03,1.34,388228480000,0.67,15,5,机器人,10.4
73,74,券商概念,BK0711,1132.5,14.94,1.34,4067548128000,0.72,53,4,东兴证券,8.8
74,75,EDR概念,BK1049,1296.44,17.06,1.33,232699918000,1.23,11,3,光弘科技,8.05
75,76,商业航天,BK0963,1389.72,18.22,1.33,1449140528000,0.99,120,23,云南锗业,10.0
76,77,CAR-T细胞疗法,BK0986,903.89,11.81,1.32,408030480000,0.58,21,1,三元基因,4.7
77,78,空气能热泵,BK1102,1114.23,14.38,1.31,1101617232000,0.56,23,7,海立股份,10.03
78,79,肝素概念,BK0944,858.69,11.06,1.3,215371659000,0.3,12,1,常山药业,7.73
79,80,英伟达概念,BK1161,1147.81,14.75,1.3,1217576160000,0.58,39,6,东方精工,6.5
80,81,复合集流体,BK1113,703.78,8.96,1.29,170676456000,0.41,19,5,沃格光电,9.03
81,82,2025规划,BK0713,875.07,11.1,1.28,3836256800000,0.54,65,16,新时达,9.97
82,83,充电桩,BK0700,2070.56,26.24,1.28,3915813920000,0.89,179,40,亿嘉和,10.0
83,84,5G概念,BK0714,1088.49,13.73,1.28,7697885440000,0.74,263,49,剑桥科技,10.0
84,85,中超概念,BK0635,2146.51,26.3,1.24,217770605000,0.25,3,4,华夏幸福,9.96
85,86,股权激励,BK0567,2583.86,31.62,1.24,4331006720000,0.65,148,48,横河精密,20.02
86,87,OLED,BK0840,2375.63,28.62,1.22,2053208528000,1.35,102,23,伟时电子,10.01
87,88,小米概念,BK0833,1578.19,18.95,1.22,2725018064000,1.0,161,35,和胜股份,10.03
88,89,电子纸概念,BK1057,1054.2,12.62,1.21,362857008000,1.07,12,2,劲拓股份,2.97
89,90,碳基材料,BK1006,730.92,8.62,1.19,175338401000,0.57,16,3,中科电气,8.23
90,91,虚拟电厂,BK0958,1619.75,19.1,1.19,640694064000,0.37,48,4,特锐德,4.0
91,92,高送转,BK0723,3230.36,37.67,1.18,3296612272000,0.78,169,42,富临精工,18.68
92,93,特高压,BK0918,1671.8,19.46,1.18,1177738608000,0.42,67,13,亿嘉和,10.0
93,94,单抗概念,BK0870,1431.89,16.58,1.17,1405880256000,0.26,44,4,莱美药业,6.09
94,95,社保重仓,BK0520,9633.66,110.11,1.16,426674928000,0.32,26,6,德科立,5.15
95,96,工程机械概念,BK0991,1183.14,13.45,1.15,913645472000,0.28,35,10,新柴股份,7.14
96,97,锂电池,BK0574,2652.29,29.69,1.13,7402153472000,0.8,281,88,爱施德,10.01
97,98,智能电网,BK0581,1468.87,16.34,1.12,1872307360000,0.66,142,30,亿嘉和,10.0
98,99,代糖概念,BK0938,837.08,9.29,1.12,124655081000,0.24,10,4,华康股份,9.97
99,100,民爆概念,BK1066,1225.89,13.53,1.12,138660047000,0.51,12,3,壶化股份,4.61
100,101,富士康,BK0842,1515.12,16.58,1.11,360587632000,1.0,25,6,昊志机电,10.13
101,102,口罩,BK0911,1397.49,15.21,1.1,2728511904000,0.69,117,34,横河精密,20.02
102,103,减肥药,BK1146,957.46,10.41,1.1,391602960000,0.29,23,3,博腾股份,5.52
103,104,无线耳机,BK0893,1597.04,17.32,1.1,2054780192000,0.75,70,15,斯迪克,5.66
104,105,3D打印,BK0619,4549.34,49.07,1.09,531147088000,0.94,44,17,科力尔,9.98
105,106,储能,BK0989,1563.42,16.86,1.09,7533525504000,0.74,235,64,雷尔伟,15.45
106,107,氮化镓,BK0916,1151.64,12.38,1.09,917528112000,0.75,46,2,和而泰,4.97
