,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,900952,ST锦港Ｂ,0.119,5.31,0.006,236.0,2808.0,0.0,0.119,0.119,0.119,0.113,0.01,-0.59,0.36
1,2,600190,ST锦港,1.62,5.19,0.08,18578.0,3009667.0,0.0,1.62,1.62,1.62,1.54,0.1,-1.14,0.71
2,3,000088,盐 田 港,4.95,1.23,0.06,1774.0,878130.0,0.0,4.95,4.95,4.95,4.89,0.01,15.84,1.57
3,4,603167,渤海轮渡,8.48,1.07,0.09,704.0,596992.0,0.0,8.48,8.48,8.48,8.39,0.02,11.6,1.08
4,5,002320,海峡股份,5.75,1.05,0.06,3722.0,2140098.25,0.0,5.75,5.75,5.75,5.69,0.02,37.85,2.99
5,6,601919,中远海控,15.57,0.84,0.13,19950.0,31061994.0,0.0,15.57,15.57,15.57,15.44,0.02,4.89,1.12
6,7,600428,中远海特,7.75,0.78,0.06,6840.0,5301000.0,0.0,7.75,7.75,7.75,7.69,0.03,10.38,1.37
7,8,601022,宁波远洋,8.48,0.59,0.05,156.0,132288.0,0.0,8.48,8.48,8.48,8.43,0.01,20.55,1.97
8,9,603162,海通发展,9.93,0.51,0.05,95.0,94335.0,0.0,9.93,9.93,9.93,9.88,0.0,16.63,2.29
9,10,600279,重庆港,4.36,0.46,0.02,810.0,353160.0,0.0,4.36,4.36,4.36,4.34,0.01,52.02,0.83
10,11,601866,中远海发,2.67,0.38,0.01,5841.0,1559547.0,0.0,2.67,2.67,2.67,2.66,0.01,19.69,1.2
11,12,601298,青岛港,8.51,0.35,0.03,566.0,481666.0,0.0,8.51,8.51,8.51,8.48,0.0,10.54,1.31
12,13,600798,宁波海运,3.1,0.32,0.01,680.0,210800.0,0.0,3.1,3.1,3.1,3.09,0.01,-324.9,0.95
13,14,603209,兴通股份,16.51,0.3,0.05,70.0,115570.0,0.0,16.51,16.51,16.51,16.46,0.0,12.47,1.89
14,15,601000,唐山港,4.39,0.23,0.01,1595.0,700205.0,0.0,4.39,4.39,4.39,4.38,0.0,12.34,1.27
15,16,000507,珠海港,4.97,0.2,0.01,94.0,46718.0,0.0,4.97,4.97,4.97,4.96,0.0,14.36,0.87
16,17,601975,招商南油,3.36,0.0,0.0,6833.0,2295754.0,0.0,3.36,3.36,3.36,3.36,0.01,7.31,1.54
17,18,601880,辽港股份,1.58,0.0,0.0,37631.0,5945628.0,0.0,1.58,1.58,1.58,1.58,0.02,29.96,0.94
18,19,601872,招商轮船,6.87,0.0,0.0,1135.0,780020.0,0.0,6.87,6.87,6.87,6.87,0.0,12.45,1.5
19,20,601083,锦江航运,9.76,0.0,0.0,285.0,278160.0,0.0,9.76,9.76,9.76,9.76,0.01,13.17,1.53
20,21,601018,宁波港,3.74,0.0,0.0,1185.0,443190.0,0.0,3.74,3.74,3.74,3.74,0.0,13.29,0.94
21,22,601008,连云港,3.87,0.0,0.0,492.0,190404.0,0.0,3.87,3.87,3.87,3.87,0.0,25.13,1.19
22,23,600026,中远海能,13.22,0.0,0.0,1790.0,2366274.0,0.0,13.22,13.22,13.22,13.22,0.01,13.85,1.75
23,24,201872,招港B,,,,,,,,,,12.82,0.0,5.8,0.47
24,25,000905,厦门港务,6.45,0.0,0.0,575.0,370875.0,0.0,6.45,6.45,6.45,6.45,0.01,18.9,0.97
25,26,000520,凤凰航运,5.77,0.0,0.0,68536.0,39545272.0,0.0,5.77,5.77,5.77,5.77,0.68,-198.33,11.18
26,27,833171,国航远洋,6.59,-0.15,-0.01,1168.0,769468.17,0.0,6.59,6.59,6.59,6.6,0.04,33.54,2.56
27,28,002040,南 京 港,6.32,-0.16,-0.01,361.0,228152.0,0.0,6.32,6.32,6.32,6.33,0.01,18.72,0.95
28,29,600717,天津港,4.77,-0.21,-0.01,1806.0,861462.0,0.0,4.77,4.77,4.77,4.78,0.01,11.6,0.71
29,30,001872,招商港口,20.26,-0.25,-0.05,164.0,332264.0,0.0,20.26,20.26,20.26,20.31,0.0,10.17,0.83
30,31,601326,秦港股份,3.39,-0.29,-0.01,783.0,265437.0,0.0,3.39,3.39,3.39,3.4,0.0,10.61,0.98
31,32,600017,日照港,3.14,-0.32,-0.01,1677.0,526578.0,0.0,3.14,3.14,3.14,3.15,0.01,11.4,0.7
32,33,600018,上港集团,5.98,-0.33,-0.02,959.0,573482.0,0.0,5.98,5.98,5.98,6.0,0.0,8.84,1.06
33,34,600751,海航科技,2.72,-0.37,-0.01,3520.0,957440.0,0.0,2.72,2.72,2.72,2.73,0.01,52.96,1.06
34,35,601228,广州港,3.45,-0.58,-0.02,1178.0,406410.0,0.0,3.45,3.45,3.45,3.47,0.0,23.85,1.26
35,36,000582,北部湾港,7.91,-0.63,-0.05,1147.0,907277.0,0.0,7.91,7.91,7.91,7.96,0.01,14.75,1.03
36,37,001205,盛航股份,20.05,-4.3,-0.9,919.0,1842815.55,0.0,20.05,20.05,20.05,20.95,0.07,19.18,1.89
