,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300539,横河精密,12.23,20.02,2.04,56700,69343745.33,0.0,12.23,12.23,12.23,10.19,3.31,84.09,4.96
1,2,300432,富临精工,15.25,18.68,2.4,424161,610225798.29,14.63,15.4,13.52,13.88,12.85,3.52,44.95,4.29
2,3,836720,吉冈精密,16.73,11.53,1.73,33164,54476747.84,10.27,16.9,15.36,15.82,15.0,6.69,54.03,6.87
3,4,002765,蓝黛科技,8.46,10.01,0.77,59240,50117336.1,0.0,8.46,8.46,8.46,7.69,0.99,39.93,2.23
4,5,002897,意华股份,43.63,10.01,3.97,95557,412159850.34,7.89,43.63,40.5,40.5,39.66,5.31,27.41,3.34
5,6,603859,能科科技,24.9,9.98,2.26,104169,256064010.0,4.95,24.9,23.78,24.22,22.64,4.26,38.85,2.17
6,7,002009,天奇股份,13.13,8.96,1.08,110206,142017248.66,8.3,13.2,12.2,12.2,12.05,2.75,-68.26,2.5
7,8,300580,贝斯特,19.15,8.93,1.57,149455,279874858.01,6.26,19.3,18.2,18.2,17.58,3.18,31.89,3.17
8,9,601127,赛力斯,123.74,8.61,9.81,390966,4828224944.0,4.67,125.32,120.0,120.0,113.93,2.59,34.7,13.85
9,10,300735,光弘科技,36.62,7.99,2.71,217725,784997621.0,5.81,36.87,34.9,34.91,33.91,2.88,141.69,5.85
10,11,688218,江苏北人,18.27,7.85,1.33,23819,42913191.0,8.15,18.54,17.16,17.16,16.94,2.01,222.57,2.38
11,12,003021,兆威机电,47.7,7.41,3.29,28262,133639818.28,5.11,47.97,45.7,45.7,44.41,1.37,53.99,3.63
12,13,300680,隆盛科技,24.92,7.37,1.71,115021,286453423.96,8.27,25.99,24.07,24.48,23.21,6.64,28.11,3.13
13,14,600733,北汽蓝谷,8.29,6.97,0.54,1457984,1192675974.0,6.71,8.39,7.87,7.88,7.75,2.99,-7.72,25.71
14,15,000829,天音控股,15.57,6.86,1.0,399374,616563277.27,4.8,15.74,15.04,15.4,14.57,3.9,577.91,5.35
15,16,002965,祥鑫科技,28.95,6.08,1.66,18606,52842621.34,6.12,28.97,27.3,27.39,27.29,1.22,16.47,1.44
16,17,001319,铭科精技,24.35,5.73,1.32,54208,132041618.14,9.99,25.3,23.0,23.25,23.03,8.89,33.75,2.74
17,18,002050,三花智控,22.75,5.67,1.22,239125,539062625.2,4.41,22.95,22.0,22.0,21.53,0.65,27.66,4.6
18,19,601689,拓普集团,45.24,5.43,2.33,81572,365916943.0,4.19,45.5,43.7,44.0,42.91,0.48,25.61,4.09
19,20,300507,苏奥传感,6.87,5.37,0.35,115448,78688448.71,6.44,6.98,6.56,6.6,6.52,1.49,37.35,2.68
20,21,002510,天汽模,4.84,5.22,0.24,280885,133043450.22,8.91,4.92,4.51,4.55,4.6,3.01,37.83,2.16
21,22,300926,博俊科技,23.61,4.7,1.06,21130,49345812.96,5.1,23.7,22.55,22.71,22.55,0.79,19.49,4.6
22,23,600418,江淮汽车,39.3,4.52,1.7,424454,1656285851.0,6.68,39.71,37.2,37.2,37.6,1.94,102.98,6.25
23,24,300446,航天智造,20.77,4.37,0.87,111274,225656952.2,5.73,20.95,19.81,19.93,19.9,3.57,24.58,3.52
24,25,603178,圣龙股份,22.25,4.26,0.91,26295,57646427.0,6.42,22.38,21.01,21.02,21.34,1.11,574.92,4.13
25,26,301488,豪恩汽电,60.26,4.06,2.35,5437,32271551.0,5.84,60.5,57.12,57.12,57.91,2.32,59.36,4.34
26,27,002906,华阳集团,30.19,3.96,1.15,19384,58126784.0,4.37,30.45,29.18,29.18,29.04,0.37,25.57,2.53
27,28,000550,江铃汽车,25.49,3.74,0.92,35423,89399022.84,3.91,25.57,24.61,24.78,24.57,0.68,14.15,2.01
28,29,832978,开特股份,14.03,3.62,0.49,11532,16045102.36,4.43,14.2,13.6,13.6,13.54,1.15,19.87,3.98
29,30,001282,三联锻造,19.13,3.52,0.65,8056,15330261.2,3.68,19.28,18.6,18.91,18.48,1.44,22.1,2.01
30,31,000625,长安汽车,13.95,3.41,0.46,672938,927961209.68,2.74,13.97,13.6,13.72,13.49,0.82,28.98,1.9
31,32,300863,卡倍亿,40.18,3.34,1.3,11157,44288956.08,3.58,40.39,39.0,39.04,38.88,0.94,28.63,3.91
32,33,301022,海泰科,22.73,3.32,0.73,4616,10416201.0,4.0,22.88,22.0,22.0,22.0,0.88,47.04,1.99
33,34,000030,富奥股份,5.33,3.29,0.17,69656,36814388.15,3.49,5.35,5.17,5.2,5.16,0.41,15.68,1.2
34,35,002920,德赛西威,122.48,3.25,3.85,12180,147558863.77,4.21,122.98,117.99,117.99,118.63,0.22,36.24,7.59
35,36,603982,泉峰汽车,8.61,3.11,0.26,12730,10874601.0,3.83,8.66,8.34,8.35,8.35,0.49,-4.45,1.27
36,37,002885,京泉华,14.26,3.11,0.43,22163,31257519.8,4.27,14.3,13.71,13.71,13.83,0.95,68.68,2.72
37,38,603730,岱美股份,9.65,3.1,0.29,22271,21418805.0,3.42,9.73,9.41,9.41,9.36,0.13,19.2,3.51
38,39,300825,阿尔特,11.32,3.1,0.34,40190,45076000.0,5.74,11.45,10.82,10.98,10.98,0.83,3405.07,2.32
39,40,301005,超捷股份,27.83,3.07,0.83,7420,20519647.86,4.19,28.08,26.95,26.95,27.0,0.56,110.42,4.89
40,41,605333,沪光股份,33.34,3.03,0.98,15411,51311909.0,3.99,33.66,32.37,32.37,32.36,0.35,24.91,7.43
41,42,600699,均胜电子,16.58,2.92,0.47,73190,120609917.0,3.91,16.65,16.02,16.02,16.11,0.53,18.61,1.79
42,43,002870,香山股份,33.03,2.9,0.93,7589,24951745.0,3.58,33.33,32.18,32.46,32.1,0.73,26.13,2.75
43,44,002976,瑞玛精密,21.89,2.87,0.61,3610,7819314.4,3.24,21.96,21.27,21.35,21.28,0.55,-352.56,3.28
44,45,300978,东箭科技,11.5,2.86,0.32,19370,22074542.0,4.03,11.54,11.09,11.34,11.18,1.03,26.95,2.92
45,46,300088,长信科技,6.85,2.85,0.19,214234,144644916.0,4.5,6.88,6.58,6.61,6.66,0.88,43.05,2.01
46,47,300814,中富电路,31.07,2.81,0.85,7651,23626002.0,4.24,31.28,30.0,30.0,30.22,0.44,131.43,4.78
47,48,001380,华纬科技,24.09,2.77,0.65,4570,10952028.56,4.14,24.32,23.35,23.4,23.44,0.77,21.54,2.73
48,49,300375,鹏翎股份,4.88,2.74,0.13,58059,28201263.6,4.21,4.92,4.72,4.74,4.75,1.15,35.73,1.64
49,50,002454,松芝股份,6.78,2.73,0.18,31396,21106810.0,3.48,6.79,6.56,6.56,6.6,0.5,22.56,1.09
50,51,301225,恒勃股份,27.59,2.6,0.7,2755,7551922.0,3.98,27.78,26.71,26.71,26.89,0.91,24.73,2.0
51,52,300648,星云股份,23.91,2.53,0.59,4715,11145303.0,3.26,23.99,23.23,23.54,23.32,0.44,-55.99,4.33
52,53,002363,隆基机械,6.57,2.5,0.16,33254,21716610.0,2.34,6.61,6.46,6.46,6.41,0.8,56.02,1.3
53,54,000541,佛山照明,5.57,2.39,0.13,62666,34961253.0,2.21,5.63,5.51,5.52,5.44,0.52,25.78,1.35
54,55,301013,利和兴,13.11,2.34,0.3,29534,38286239.0,2.73,13.13,12.78,12.85,12.81,1.56,149.98,3.6
55,56,603348,文灿股份,23.36,2.28,0.52,12053,28091511.0,2.93,23.5,22.83,22.84,22.84,0.46,55.58,1.74
56,57,002786,银宝山新,12.82,2.23,0.28,90117,114300137.0,6.14,12.98,12.21,12.4,12.54,1.82,-37.16,17.03
57,58,601965,中国汽研,17.87,2.23,0.39,14951,26654091.0,2.75,17.98,17.5,17.64,17.48,0.15,20.07,2.62
58,59,600960,渤海汽车,3.39,2.11,0.07,27392,9249046.0,2.71,3.41,3.32,3.33,3.32,0.29,-12.74,0.71
59,60,603158,腾龙股份,8.26,2.1,0.17,39897,32872689.0,2.97,8.3,8.06,8.09,8.09,0.81,12.86,1.81
60,61,603197,保隆科技,39.08,2.04,0.78,8372,32674187.0,3.84,39.49,38.02,38.3,38.3,0.4,25.0,2.68
61,62,301307,美利信,24.51,2.0,0.48,8619,21058026.0,3.87,24.83,23.9,23.9,24.03,0.79,-80.76,1.62
62,63,600166,福田汽车,2.64,1.93,0.05,321724,84589376.0,1.93,2.65,2.6,2.6,2.59,0.5,36.27,1.43
63,64,000887,中鼎股份,13.32,1.91,0.25,46455,61774835.44,2.98,13.41,13.02,13.02,13.07,0.35,12.5,1.37
64,65,601238,广汽集团,8.04,1.9,0.15,62750,50214247.0,1.9,8.06,7.91,7.91,7.89,0.09,520.42,0.73
65,66,002126,银轮股份,18.9,1.89,0.35,17085,32249608.04,2.53,19.03,18.56,18.56,18.55,0.22,19.52,2.59
66,67,603895,天永智能,18.0,1.75,0.31,1752,3128212.0,2.2,18.0,17.61,17.62,17.69,0.16,-81.55,5.63
67,68,688007,光峰科技,15.69,1.75,0.27,11868,18508673.0,2.92,15.77,15.32,15.39,15.42,0.26,127.45,2.65
68,69,603239,浙江仙通,12.21,1.75,0.21,8047,9739178.0,2.25,12.22,11.95,11.95,12.0,0.3,19.19,2.96
69,70,603960,克来机电,23.97,1.74,0.41,68493,158861977.0,7.3,24.2,22.48,22.5,23.56,2.61,139.75,5.8
70,71,002190,成飞集成,17.02,1.67,0.28,8844,14940797.0,2.51,17.06,16.64,16.69,16.74,0.25,-178.0,2.19
71,72,605068,明新旭腾,13.44,1.66,0.22,3659,4886452.0,2.42,13.49,13.17,13.17,13.22,0.23,135.53,1.28
72,73,600152,维科技术,6.15,1.65,0.1,20521,12562093.0,1.98,6.16,6.04,6.04,6.05,0.39,4626.54,1.81
73,74,301131,聚赛龙,33.87,1.65,0.55,1573,5306752.84,3.0,34.04,33.04,33.04,33.32,0.68,46.19,1.99
74,75,300342,天银机电,17.82,1.6,0.28,43035,76270039.0,3.02,17.94,17.41,17.41,17.54,1.03,102.76,4.93
