,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002312,川发龙蟒,19.5,3.12,0.59,72339,141061537.5,0.0,19.5,19.5,19.5,18.91,0.41,65.04,3.93
1,2,600141,兴发集团,23.84,2.14,0.5,10569,25196496.0,0.0,23.84,23.84,23.84,23.34,0.1,15.01,1.25
2,3,000893,亚钾国际,19.25,1.37,0.26,876,1686300.0,0.0,19.25,19.25,19.25,18.99,0.01,25.88,1.53
3,4,000408,藏格矿业,29.59,0.96,0.28,517,1529803.0,0.0,29.59,29.59,29.59,29.31,0.0,18.78,3.54
4,5,002274,华昌化工,7.65,0.66,0.05,840,642600.0,0.0,7.65,7.65,7.65,7.6,0.01,10.31,1.27
5,6,002556,辉隆股份,5.36,0.56,0.03,101,54136.0,0.0,5.36,5.36,5.36,5.33,0.0,20.75,1.39
6,7,002538,司尔特,5.62,0.54,0.03,428,240536.0,0.0,5.62,5.62,5.62,5.59,0.01,14.71,0.91
7,8,000912,泸天化,4.29,0.47,0.02,249,106821.0,0.0,4.29,4.29,4.29,4.27,0.0,40.33,1.04
8,9,002170,芭田股份,7.79,0.39,0.03,2752,2143808.0,0.0,7.79,7.79,7.79,7.76,0.04,25.5,2.76
9,10,002539,云图控股,7.92,0.38,0.03,311,246312.0,0.0,7.92,7.92,7.92,7.89,0.0,10.72,1.1
10,11,002999,天禾股份,5.74,0.35,0.02,282,161868.0,0.0,5.74,5.74,5.74,5.72,0.01,142.14,1.66
11,12,600096,云天化,23.43,0.34,0.08,1679,3933897.0,0.0,23.43,23.43,23.43,23.35,0.01,7.29,2.0
12,13,000792,盐湖股份,18.27,0.33,0.06,2923,5340321.0,0.0,18.27,18.27,18.27,18.21,0.01,23.7,2.83
13,14,300505,川金诺,15.45,0.32,0.05,642,991890.0,0.0,15.45,15.45,15.45,15.4,0.03,28.84,1.71
14,15,300387,富邦股份,7.66,0.26,0.02,198,151668.0,0.0,7.66,7.66,7.66,7.64,0.01,18.06,1.58
15,16,000902,新洋丰,13.16,0.23,0.03,306,402959.2,0.0,13.16,13.16,13.16,13.13,0.0,11.13,1.61
16,17,002588,史丹利,7.21,0.14,0.01,1002,722442.0,0.0,7.21,7.21,7.21,7.2,0.01,9.38,1.25
17,18,600470,六国化工,4.94,0.0,0.0,701,346294.0,0.0,4.94,4.94,4.94,4.94,0.01,50.37,1.39
18,19,002470,金正大,1.77,0.0,0.0,9328,1651056.0,0.0,1.77,1.77,1.77,1.77,0.03,24.22,2.64
19,20,600078,澄星股份,7.03,-0.14,-0.01,1398,982794.0,0.0,7.03,7.03,7.03,7.04,0.02,-51.39,2.66
20,21,000731,四川美丰,7.18,-0.28,-0.02,437,313766.0,0.0,7.18,7.18,7.18,7.2,0.01,15.89,0.96
21,22,600691,阳煤化工,2.32,-0.43,-0.01,3196,741472.0,0.0,2.32,2.32,2.32,2.33,0.01,-10.68,1.29
22,23,002545,东方铁塔,6.78,-0.44,-0.03,740,501720.0,0.0,6.78,6.78,6.78,6.81,0.01,13.57,0.97
23,24,600227,赤天化,2.22,-1.33,-0.03,11614,2578308.0,0.0,2.22,2.22,2.22,2.25,0.09,-81.23,1.43
