,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600392,盛和资源,13.7,10.04,1.25,63923,87574716.0,0.0,13.7,13.7,13.7,12.45,0.36,193.93,2.73
1,2,002428,云南锗业,23.42,10.0,2.13,20857,48846391.4,0.0,23.42,23.42,23.42,21.29,0.32,389.22,10.68
2,3,000795,英洛华,9.05,9.96,0.82,20847,18866535.0,0.0,9.05,9.05,9.05,8.23,0.18,37.27,3.81
3,4,000831,中国稀土,36.6,9.71,3.24,184178,674091480.0,0.0,36.6,36.6,36.6,33.36,1.74,-143.5,8.49
4,5,688077,大地熊,26.8,8.94,2.2,9687,25960249.0,0.0,26.8,26.8,26.8,24.6,0.85,80.48,2.89
5,6,300748,金力永磁,22.43,8.57,1.77,81169,182062067.0,0.0,22.43,22.43,22.43,20.66,0.72,114.94,4.48
6,7,600366,宁波韵升,8.3,8.07,0.62,77360,64208800.0,0.0,8.3,8.3,8.3,7.68,0.73,99.03,1.56
7,8,300127,银河磁体,23.51,7.45,1.63,19204,45148604.0,0.0,23.51,23.51,23.51,21.88,0.83,50.02,5.36
8,9,600111,北方稀土,24.88,5.38,1.27,179306,446113328.0,0.0,24.88,24.88,24.88,23.61,0.5,166.43,4.11
9,10,600259,广晟有色,34.82,4.82,1.6,17279,60165478.0,0.0,34.82,34.82,34.82,33.22,0.52,-31.89,3.46
10,11,002378,章源钨业,7.57,3.13,0.23,45356,34334492.0,0.0,7.57,7.57,7.57,7.34,0.38,46.53,4.31
11,12,600206,有研新材,12.29,2.85,0.34,24242,29793418.0,0.0,12.29,12.29,12.29,11.95,0.29,68.1,2.68
12,13,000960,锡业股份,16.18,2.21,0.35,10500,16989000.0,0.0,16.18,16.18,16.18,15.83,0.06,15.56,1.43
13,14,300328,宜安科技,9.58,2.02,0.19,17051,16334858.0,0.0,9.58,9.58,9.58,9.39,0.25,2022.6,6.04
14,15,300811,铂科新材,50.57,1.79,0.89,1037,5244109.0,0.0,50.57,50.57,50.57,49.68,0.05,37.2,6.47
15,16,000657,中钨高新,10.48,1.45,0.15,22789,23882872.0,0.0,10.48,10.48,10.48,10.33,0.18,53.28,2.5
16,17,600456,宝钛股份,31.2,1.43,0.44,953,2973360.0,0.0,31.2,31.2,31.2,30.76,0.02,21.64,2.16
17,18,603993,洛阳钼业,8.03,1.26,0.1,20698,16620494.0,0.0,8.03,8.03,8.03,7.93,0.01,15.72,2.75
18,19,601958,金钼股份,11.24,1.08,0.12,3084,3466416.0,0.0,11.24,11.24,11.24,11.12,0.01,12.39,2.23
19,20,600459,贵研铂业,14.75,1.03,0.15,2283,3367440.0,0.0,14.75,14.75,14.75,14.6,0.03,18.9,1.64
20,21,600549,厦门钨业,21.4,0.99,0.21,44279,94757873.0,0.0,21.4,21.4,21.4,21.19,0.31,16.23,2.52
21,22,600281,华阳新材,4.15,0.97,0.04,8506,3529990.0,0.0,4.15,4.15,4.15,4.11,0.17,-18.26,13.41
22,23,002167,东方锆业,7.54,0.94,0.07,59551,44901454.0,0.0,7.54,7.54,7.54,7.47,0.78,-106.08,3.95
23,24,000962,东方钽业,13.94,0.43,0.06,4356,6072264.0,0.0,13.94,13.94,13.94,13.88,0.09,33.82,2.74
24,25,600301,华锡有色,19.41,0.26,0.05,4877,9466257.0,0.0,19.41,19.41,19.41,19.36,0.18,17.04,3.16
25,26,605376,博迁新材,26.2,0.0,0.0,209,547580.0,0.0,26.2,26.2,26.2,26.2,0.01,60.42,4.47
26,27,603399,永杉锂业,8.98,0.0,0.0,19069,17123962.0,0.0,8.98,8.98,8.98,8.98,0.37,68.44,2.58
27,28,600980,北矿科技,17.42,0.0,0.0,6732,11727161.0,0.0,17.42,17.42,17.42,17.42,0.38,31.39,2.42
28,29,300835,龙磁科技,36.13,0.0,0.0,6716,24264908.0,0.0,36.13,36.13,36.13,36.13,0.82,32.54,4.11
29,30,300224,正海磁材,16.43,0.0,0.0,78282,128617326.0,0.0,16.43,16.43,16.43,16.43,0.96,53.41,3.8
30,31,000970,中科三环,11.2,-0.09,-0.01,39047,43732640.0,0.0,11.2,11.2,11.2,11.21,0.32,-242.84,2.12
31,32,002149,西部材料,16.2,-0.31,-0.05,646,1046520.0,0.0,16.2,16.2,16.2,16.25,0.01,43.03,2.68
32,33,688190,云路股份,82.7,-0.33,-0.27,44,365534.0,0.0,82.7,82.7,82.7,82.97,0.01,28.32,4.06
33,34,301141,中科磁业,52.0,-0.5,-0.26,5819,30258800.0,0.0,52.0,52.0,52.0,52.26,1.31,451.11,5.15
34,35,600615,丰华股份,11.14,-0.54,-0.06,295,328630.0,0.0,11.14,11.14,11.14,11.2,0.02,338.19,3.26
35,36,301026,浩通科技,31.5,-1.87,-0.6,549,1729350.0,0.0,31.5,31.5,31.5,32.1,0.08,27.05,2.4
36,37,002842,翔鹭钨业,6.68,-2.48,-0.17,5248,3505664.0,0.0,6.68,6.68,6.68,6.85,0.24,-42.46,2.52
