,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,873593,鼎智科技,30.99,29.83,7.12,74618,223079174.95,21.87,31.03,25.81,25.86,23.87,6.51,102.08,6.33
1,2,002892,科力尔,13.66,9.98,1.24,97912,133748393.04,0.0,13.66,13.66,13.66,12.42,2.47,89.94,6.48
2,3,603489,八方股份,22.26,9.98,2.02,35518,77634847.0,10.72,22.26,20.09,20.1,20.24,1.51,76.55,1.99
3,4,300660,江苏雷利,30.56,9.61,2.68,52560,156794765.72,7.78,30.75,28.58,28.59,27.88,1.65,30.39,2.89
4,5,603728,鸣志电器,49.0,7.95,3.61,62885,303852723.0,6.26,49.27,46.43,46.58,45.39,1.5,326.57,7.15
5,6,603350,安乃达,33.11,7.92,2.43,19555,63559357.0,6.98,33.64,31.5,31.5,30.68,6.88,33.9,2.89
6,7,003021,兆威机电,47.7,7.41,3.29,28262,133639818.28,5.11,47.97,45.7,45.7,44.41,1.37,53.99,3.63
7,8,301226,祥明智能,27.16,6.26,1.6,60358,165136349.3,8.65,28.4,26.19,26.27,25.56,12.3,108.96,3.29
8,9,002196,方正电机,5.37,4.27,0.22,93924,50075386.0,5.63,5.42,5.13,5.13,5.15,1.92,223245.81,1.84
9,10,603344,星德胜,21.87,4.24,0.89,14397,31435505.0,5.91,22.5,21.26,21.26,20.98,2.96,23.07,2.17
10,11,002801,微光股份,21.72,3.82,0.8,5155,11106625.0,3.44,21.8,21.08,21.12,20.92,0.45,16.11,2.99
11,12,002823,凯中精密,16.65,3.42,0.55,49691,81698094.86,4.29,16.69,16.0,16.0,16.1,2.3,35.37,2.76
12,13,301023,江南奕帆,43.8,3.2,1.36,2912,12711787.0,4.52,44.38,42.46,42.46,42.44,0.98,25.53,2.99
13,14,603988,中电电机,15.4,3.08,0.46,21056,31921329.0,4.02,15.4,14.8,15.11,14.94,0.9,-199.46,5.51
14,15,002176,江特电机,8.2,2.89,0.23,129315,104633432.36,3.76,8.22,7.92,8.03,7.97,0.76,-127.62,3.75
15,16,300907,康平科技,21.05,2.73,0.56,3292,6855005.0,2.78,21.08,20.51,20.51,20.49,0.34,22.34,2.73
16,17,300626,华瑞股份,9.62,2.67,0.25,14675,13993962.45,5.12,9.73,9.25,9.41,9.37,0.82,78.18,3.23
17,18,002576,通达动力,12.94,2.21,0.28,6965,8976049.0,2.29,12.99,12.7,12.7,12.66,0.43,36.26,1.73
18,19,603320,迪贝电气,14.25,1.71,0.24,6502,9245141.0,2.43,14.35,14.01,14.01,14.01,0.49,24.99,2.2
19,20,603819,神力股份,9.28,1.64,0.15,5696,5278001.0,1.86,9.34,9.17,9.25,9.13,0.26,-31.82,2.59
20,21,301502,华阳智能,40.71,1.6,0.64,1748,7082104.0,2.15,40.86,40.0,40.05,40.07,1.22,69.18,2.84
21,22,002249,大洋电机,5.81,1.57,0.09,100155,57714220.92,1.75,5.81,5.71,5.72,5.72,0.55,15.76,1.55
22,23,600580,卧龙电驱,16.4,1.36,0.22,634705,1048896487.0,8.28,17.17,15.83,16.62,16.18,4.85,25.21,2.17
23,24,000922,佳电股份,11.19,0.72,0.08,15650,17494618.22,1.62,11.25,11.07,11.11,11.11,0.27,24.13,2.02
24,25,688395,正弦电气,17.3,0.46,0.08,543,935004.0,2.21,17.44,17.06,17.06,17.22,0.06,36.38,1.98
25,26,600416,湘电股份,13.88,-0.36,-0.05,82138,115076636.0,3.23,14.25,13.8,13.91,13.93,0.62,82.22,2.48
