,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601198,东兴证券,11.85,4.22,0.48,40269,47718765.0,0.0,11.85,11.85,11.85,11.37,0.12,30.47,1.39
1,2,601236,红塔证券,8.99,2.51,0.22,15337,13787963.0,0.0,8.99,8.99,8.99,8.77,0.03,48.78,1.79
2,3,600918,中泰证券,6.88,2.38,0.16,13551,9323088.0,0.0,6.88,6.88,6.88,6.72,0.03,71.54,1.29
3,4,600621,华鑫股份,15.28,2.07,0.31,3225,4927800.0,0.0,15.28,15.28,15.28,14.97,0.03,40.01,2.0
4,5,002500,山西证券,6.59,2.01,0.13,14630,9641170.0,0.0,6.59,6.59,6.59,6.46,0.04,33.3,1.32
5,6,002736,国信证券,11.76,1.91,0.22,6479,7619304.0,0.0,11.76,11.76,11.76,11.54,0.01,17.38,1.34
6,7,601377,兴业证券,6.54,1.87,0.12,27334,17876436.0,0.0,6.54,6.54,6.54,6.42,0.03,32.09,1.05
7,8,600061,国投资本,7.96,1.79,0.14,8196,6523690.0,0.0,7.96,7.96,7.96,7.82,0.01,18.43,1.0
8,9,600999,招商证券,19.42,1.73,0.33,7898,15337916.0,0.0,19.42,19.42,19.42,19.09,0.01,17.72,1.52
9,10,601066,中信建投,25.52,1.63,0.41,2145,5474040.0,0.0,25.52,25.52,25.52,25.11,0.01,34.55,2.67
10,11,600909,华安证券,6.44,1.42,0.09,31431,20241564.0,0.0,6.44,6.44,6.44,6.35,0.07,19.84,1.4
11,12,601688,华泰证券,17.91,1.36,0.24,15501,27762291.0,0.0,17.91,17.91,17.91,17.67,0.02,9.68,1.01
12,13,000776,广发证券,16.3,1.18,0.19,9301,15160630.0,0.0,16.3,16.3,16.3,16.11,0.02,13.77,1.05
13,14,002945,华林证券,12.29,1.15,0.14,276,339204.0,0.0,12.29,12.29,12.29,12.15,0.0,82.38,5.01
14,15,600095,湘财股份,7.5,1.08,0.08,1519,1139250.0,0.0,7.5,7.5,7.5,7.42,0.01,110.45,1.81
15,16,601059,信达证券,15.1,1.07,0.16,1397,2109470.0,0.0,15.1,15.1,15.1,14.94,0.02,41.48,2.67
16,17,601881,中国银河,14.57,1.04,0.15,5412,7885284.0,0.0,14.57,14.57,14.57,14.42,0.01,17.16,1.49
17,18,601555,东吴证券,8.21,0.98,0.08,4888,4013048.0,0.0,8.21,8.21,8.21,8.13,0.01,16.7,1.01
18,19,601211,国泰君安,19.05,0.95,0.18,6192,11795760.0,0.0,19.05,19.05,19.05,18.87,0.01,13.36,1.12
19,20,000166,申万宏源,5.34,0.95,0.05,21332,11391288.0,0.0,5.34,5.34,5.34,5.29,0.01,26.05,1.3
20,21,601456,国联证券,12.1,0.92,0.11,2559,3096390.0,0.0,12.1,12.1,12.1,11.99,0.01,64.92,1.87
21,22,600155,华创云信,7.73,0.91,0.07,2193,1695189.0,0.0,7.73,7.73,7.73,7.66,0.01,121.53,0.88
22,23,600958,东方证券,10.57,0.86,0.09,3008,3179456.0,0.0,10.57,10.57,10.57,10.48,0.0,20.4,1.18
23,24,002926,华西证券,8.4,0.84,0.07,2528,2123520.0,0.0,8.4,8.4,8.4,8.33,0.01,65.08,0.96
24,25,601995,中金公司,35.17,0.8,0.28,1504,5289568.0,0.0,35.17,35.17,35.17,34.89,0.01,44.55,1.9
25,26,601696,中银证券,11.48,0.79,0.09,4428,5083344.0,0.0,11.48,11.48,11.48,11.39,0.02,36.21,1.8
26,27,601878,浙商证券,12.87,0.78,0.1,2674,3441438.0,0.0,12.87,12.87,12.87,12.77,0.01,30.15,1.79
27,28,601901,方正证券,8.6,0.7,0.06,5827,5011220.0,0.0,8.6,8.6,8.6,8.54,0.01,27.02,1.51
28,29,601099,太平洋,4.35,0.69,0.03,22842,9936053.0,0.0,4.35,4.35,4.35,4.32,0.03,163.2,3.08
29,30,002673,西部证券,8.11,0.62,0.05,2477,2008847.0,0.0,8.11,8.11,8.11,8.06,0.01,37.31,1.28
30,31,000728,国元证券,8.45,0.6,0.05,6779,5728255.0,0.0,8.45,8.45,8.45,8.4,0.02,17.62,1.04
31,32,000783,长江证券,7.01,0.57,0.04,6459,4527759.0,0.0,7.01,7.01,7.01,6.97,0.01,20.28,1.16
32,33,601990,南京证券,8.93,0.56,0.05,1287,1149291.0,0.0,8.93,8.93,8.93,8.88,0.0,35.47,1.89
33,34,600109,国金证券,9.08,0.55,0.05,3599,3267892.0,0.0,9.08,9.08,9.08,9.03,0.01,28.29,1.02
34,35,002797,第一创业,8.6,0.47,0.04,267870,230368415.0,0.0,8.6,8.6,8.6,8.56,0.64,42.28,2.31
35,36,600906,财达证券,7.28,0.41,0.03,1948,1418144.0,0.0,7.28,7.28,7.28,7.25,0.01,47.9,2.03
36,37,002939,长城证券,8.62,0.35,0.03,2804,2417048.0,0.0,8.62,8.62,8.62,8.59,0.01,23.75,1.18
37,38,002670,国盛金控,11.19,0.27,0.03,1879,2102601.0,0.0,11.19,11.19,11.19,11.16,0.01,195.39,1.97
38,39,600837,海通证券,11.5,0.26,0.03,9949,11441350.0,0.0,11.5,11.5,11.5,11.47,0.01,-170.87,0.93
39,40,601136,首创证券,21.18,0.24,0.05,1058,2240844.0,0.0,21.18,21.18,21.18,21.13,0.02,57.91,4.45
40,41,601375,中原证券,4.52,0.22,0.01,8887,4016924.0,0.0,4.52,4.52,4.52,4.51,0.03,96.46,1.5
41,42,600030,中信证券,28.01,0.21,0.06,13008,36436416.0,0.0,28.01,28.01,28.01,27.95,0.01,18.53,1.59
42,43,000750,国海证券,4.72,0.21,0.01,27385,12925720.0,0.0,4.72,4.72,4.72,4.71,0.05,122.74,1.38
43,44,600369,西南证券,4.76,0.21,0.01,9632,4584832.0,0.0,4.76,4.76,4.76,4.75,0.02,49.11,1.23
44,45,601788,光大证券,17.17,0.18,0.03,1569,2693973.0,0.0,17.17,17.17,17.17,17.14,0.0,29.83,1.37
45,46,601108,财通证券,8.21,0.12,0.01,7568,6213246.0,0.0,8.21,8.21,8.21,8.2,0.02,19.42,1.08
46,47,000686,东北证券,8.61,0.12,0.01,8429,7257369.0,0.0,8.61,8.61,8.61,8.6,0.04,31.91,1.08
47,48,000712,锦龙股份,12.56,0.0,0.0,1168,1467008.0,0.0,12.56,12.56,12.56,12.56,0.01,-87.96,4.71
48,49,601162,天风证券,5.7,-2.06,-0.12,146854,83706723.0,0.0,5.7,5.7,5.7,5.82,0.17,-69.06,2.14
49,50,600864,哈投股份,7.05,-4.34,-0.32,37617,26519788.0,0.0,7.05,7.05,7.05,7.37,0.18,41.37,1.14
