,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
0,1,830896,旺成科技,13.5,29.93,3.11,65702.0,88695193.62,2.02,13.5,13.29,13.5,10.39,32.01,14.8,47.28,3.41,1366527240.0,599424435.0,0.0,0.0,76.47,10.02
1,2,873593,鼎智科技,30.99,29.83,7.12,74618.0,223079174.95,21.87,31.03,25.81,25.86,23.87,19.8,6.51,102.08,6.33,4166968362.0,3550563099.0,1.71,0.94,72.94,14.19
2,3,688660,电气风电,6.59,20.04,1.1,582354.0,380184707.0,9.11,6.59,6.09,6.59,5.49,19.77,4.37,-13.83,1.63,8786667106.0,8786667106.0,0.0,0.0,107.89,28.21
3,4,300121,阳谷华泰,17.38,20.03,2.9,19178.0,33330668.8,0.0,17.38,17.38,17.38,14.48,0.83,0.49,28.82,2.3,7108289198.0,6855631585.0,0.0,0.0,124.55,101.39
4,5,300539,横河精密,12.23,20.02,2.04,56700.0,69343745.33,0.0,12.23,12.23,12.23,10.19,18.19,3.31,84.09,4.96,2718560226.0,2095378277.0,0.0,0.0,55.2,-0.81
5,6,688656,浩欧博,55.38,20.0,9.23,1580.0,8750649.0,0.0,55.38,55.38,55.38,46.15,5.37,0.25,98.6,4.33,3492170205.0,3492170205.0,0.0,0.0,143.75,61.18
6,7,301596,瑞迪智驱,106.98,20.0,17.83,34668.0,359234635.94,8.95,106.98,99.0,100.0,89.15,23.13,25.16,60.25,7.34,5896531343.0,1474132836.0,0.0,0.0,40.8,312.73
7,8,300607,拓斯达,14.66,19.97,2.44,157617.0,224614415.54,16.45,14.66,12.65,12.65,12.22,21.19,5.52,517.64,2.71,6228015658.0,4186135307.0,0.0,0.0,17.75,-6.21
8,9,300290,荣科科技,24.89,19.03,3.98,554823.0,1343836503.08,13.63,25.09,22.24,22.24,20.91,9.29,8.68,-1804.41,19.44,15922943642.0,15910244142.0,3.75,1.22,140.72,308.7
9,10,430510,丰光精密,22.33,18.84,3.54,44296.0,96839347.97,20.17,23.79,20.0,20.0,18.79,8.35,5.05,140.42,10.26,4113497035.0,1957038692.0,2.34,-2.49,86.39,12.61
10,11,300432,富临精工,15.25,18.68,2.4,424161.0,610225798.29,14.63,15.4,13.52,13.88,12.85,13.25,3.52,44.95,4.29,18618135069.0,18374515572.0,2.01,2.42,135.34,45.24
11,12,871478,巨能股份,20.26,16.57,2.88,27997.0,55885112.1,21.06,20.95,17.29,17.29,17.38,7.45,12.17,-214.66,5.92,1549466505.0,465980000.0,-1.65,-2.88,51.08,2.32
12,13,833533,骏创科技,21.69,16.55,3.08,19730.0,40603868.38,15.53,21.89,19.0,19.0,18.61,4.64,5.24,36.32,6.33,2172277359.0,816463179.0,2.8,5.39,89.6,2.84
13,14,920002,万达轴承,67.7,16.1,9.39,5486.0,36520978.17,17.96,69.94,59.47,59.47,58.31,10.06,11.55,36.64,3.28,2200393524.0,321575000.0,-1.74,1.04,39.59,226.42
14,15,301016,雷尔伟,24.59,15.45,3.29,73947.0,177907660.2,13.94,24.97,22.0,22.0,21.3,17.29,15.87,62.33,3.75,3836040000.0,1146103876.0,0.9,-1.17,10.82,47.07
15,16,832491,奥迪威,24.45,14.15,3.03,43175.0,102754093.47,13.68,24.93,22.0,22.15,21.42,5.6,3.78,38.35,3.53,3451077109.0,2790918038.0,-0.2,3.12,88.22,30.12
16,17,430425,乐创技术,18.3,14.02,2.25,21861.0,39367875.63,13.58,19.18,17.0,17.0,16.05,7.24,5.38,49.63,3.86,927242023.0,743642698.0,-0.54,-0.27,74.29,-11.98
17,18,832000,安徽凤凰,25.99,13.25,3.04,39070.0,95574124.43,18.17,25.99,21.82,22.91,22.95,5.82,8.09,33.98,4.01,2382763200.0,1255480737.0,5.95,5.48,275.58,156.56
18,19,836720,吉冈精密,16.73,11.53,1.73,33164.0,54476747.84,10.27,16.9,15.36,15.82,15.0,4.25,6.69,54.03,6.87,3182370562.0,829803132.0,1.03,0.18,97.52,3.72
19,20,300337,银邦股份,17.63,11.44,1.81,441079.0,764843219.2,8.53,18.25,16.9,17.0,15.82,5.28,6.2,99.26,8.38,14490449600.0,12541698756.0,0.46,1.85,139.86,118.46
20,21,300024,机器人,14.3,11.02,1.42,409686.0,568810783.45,10.48,14.3,12.95,12.95,12.88,10.23,2.67,-168.38,5.15,22388365285.0,21918922297.0,3.47,2.07,41.03,20.47
21,22,300503,昊志机电,17.85,10.25,1.66,150714.0,259997204.2,7.23,17.86,16.69,16.69,16.19,9.65,6.3,50.69,4.61,5463400123.0,4267708341.0,3.42,2.18,28.7,-3.88
22,23,000980,众泰汽车,2.48,10.22,0.23,1059142.0,252720912.28,12.89,2.48,2.19,2.19,2.25,5.03,2.17,-28.77,10.66,12505518393.0,12131072867.0,0.0,0.0,48.5,-16.78
23,24,603030,全筑股份,2.59,10.21,0.24,279479.0,70234963.0,8.51,2.59,2.39,2.39,2.35,13.83,2.12,-74.36,3.42,3410857817.0,3410857817.0,1.97,4.02,37.77,-7.83
24,25,688160,步科股份,47.5,10.16,4.38,10719.0,49950686.0,7.63,47.59,44.3,44.4,43.12,10.53,1.28,92.43,5.25,3990000000.0,3990000000.0,2.13,-0.17,22.77,-17.93
25,26,600280,中央商场,3.8,10.14,0.35,171320.0,65101600.0,0.0,3.8,3.8,3.8,3.45,4.43,1.52,-125.53,5.27,4287672194.0,4287672194.0,0.0,0.0,60.34,0.53
26,27,000415,渤海租赁,4.03,10.11,0.37,466763.0,188105597.81,0.0,4.03,4.03,4.03,3.66,3.65,0.87,11.76,0.82,24923620766.0,21732631415.0,0.0,0.0,40.91,88.32
27,28,600355,精伦电子,5.02,10.09,0.46,380710.0,179729245.0,14.91,5.02,4.34,4.34,4.56,7.97,7.74,-63.14,17.01,2470287784.0,2470287784.0,0.0,0.0,61.41,3.72
28,29,003016,欣贺股份,7.76,10.07,0.71,31797.0,23759226.0,10.92,7.76,6.99,7.01,7.05,13.75,0.75,-85.25,1.23,3325327709.0,3311816967.0,8.08,9.3,25.57,-2.27
29,30,002887,绿茵生态,7.76,10.07,0.71,140083.0,106861948.2,9.65,7.76,7.08,7.08,7.05,28.82,8.78,34.48,0.95,2374446184.0,1237712186.0,0.0,0.0,21.06,-7.95
30,31,000520,凤凰航运,6.35,10.05,0.58,611647.0,379396134.27,10.05,6.35,5.77,5.77,5.77,11.43,6.04,-218.27,12.3,6426729939.0,6426729939.0,0.0,0.0,164.58,129.24
31,32,600619,海立股份,12.72,10.03,1.16,185297.0,235698166.0,0.0,12.72,12.72,12.72,11.56,2.46,2.35,450.87,2.24,13652940844.0,10038303431.0,0.0,0.0,125.53,87.06
32,33,003010,若羽臣,15.9,10.03,1.45,61061.0,96012412.0,8.24,15.9,14.71,14.71,14.45,22.39,4.81,35.14,2.58,2703688677.0,2018324742.0,0.0,0.0,37.66,11.5
33,34,002824,和胜股份,17.77,10.03,1.62,42997.0,75430462.22,5.63,17.77,16.86,16.86,16.15,4.62,2.27,66.91,2.95,4959857219.0,3361284403.0,0.0,0.0,30.09,-12.81
34,35,002747,埃斯顿,16.13,10.03,1.47,209604.0,331356621.14,8.73,16.13,14.85,14.86,14.66,19.19,2.66,-157.71,5.41,14025542337.0,12693873732.0,1.19,0.81,19.3,-12.95
35,36,002403,爱仕达,8.67,10.03,0.79,37196.0,31631545.0,10.03,8.67,7.88,7.88,7.88,6.36,1.25,1333.89,1.77,2953336480.0,2576389806.0,0.0,0.0,30.77,1.29
36,37,603127,昭衍新药,18.66,10.02,1.7,90188.0,164164517.0,9.61,18.66,17.03,17.03,16.96,8.18,1.43,-149.19,1.75,13985247052.0,11764796508.0,0.0,2.53,20.23,-20.76
37,38,600192,长城电工,7.58,10.01,0.69,95398.0,69810446.0,12.48,7.58,6.72,6.78,6.89,4.03,2.16,-21.06,2.59,3348449840.0,3348449840.0,0.0,0.0,75.46,22.46
38,39,605218,伟时电子,24.72,10.01,2.25,45276.0,109934888.0,10.01,24.72,22.47,22.6,22.47,5.81,2.13,125.75,4.12,5261243131.0,5261243131.0,0.0,0.0,38.72,-5.03
