,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,830896,旺成科技,17.55,30.0,4.05,6354,11151427.95,0.0,17.55,17.55,17.55,13.5,1.43,61.46,4.44
1,2,873593,鼎智科技,39.0,25.68,7.97,62561,232776997.58,15.44,39.9,35.11,35.11,31.03,5.46,128.47,7.96
2,3,688660,电气风电,7.91,20.03,1.32,221472,175184297.0,0.0,7.91,7.91,7.91,6.59,1.66,-16.6,1.95
3,4,688656,浩欧博,66.46,20.01,11.08,5495,36521299.0,0.0,66.46,66.46,66.46,55.38,0.87,118.33,5.2
4,5,831726,朱老六,22.8,19.75,3.76,33412,70477515.84,15.18,22.8,19.91,21.4,19.04,5.98,97.01,5.12
5,6,839371,欧福蛋业,10.35,14.11,1.28,65530,64586032.36,9.7,10.48,9.6,9.6,9.07,12.06,31.3,3.82
6,7,300607,拓斯达,16.7,13.92,2.04,193154,305979915.67,9.21,16.7,15.35,15.59,14.66,6.76,589.67,3.09
7,8,832000,安徽凤凰,33.8,13.31,3.97,26953,91260067.94,11.9,35.47,31.92,34.0,29.83,5.58,44.2,5.21
8,9,300121,阳谷华泰,19.67,13.18,2.29,416062,839196122.67,9.26,20.78,19.17,20.78,17.38,10.55,32.62,2.55
9,10,871478,巨能股份,25.5,12.88,2.91,28566,68276108.16,12.79,25.55,22.66,23.0,22.59,12.42,-270.19,7.45
10,11,300539,横河精密,13.6,11.2,1.37,137326,182518134.83,11.2,14.07,12.7,12.97,12.23,8.02,93.5,5.52
11,12,301596,瑞迪智驱,118.69,10.95,11.71,23170,278848685.32,9.01,123.38,113.74,123.0,106.98,16.81,66.84,8.14
12,13,002247,聚力文化,3.14,10.18,0.29,340125,104181070.0,6.32,3.14,2.96,3.04,2.85,5.29,9.09,4.27
13,14,600340,华夏幸福,3.04,10.14,0.28,112621,34236900.0,0.0,3.04,3.04,3.04,2.76,0.29,-3.98,2.04
14,15,000520,凤凰航运,6.99,10.08,0.64,273695,187613789.02,5.2,6.99,6.66,6.67,6.35,2.7,-240.27,13.54
15,16,002513,蓝丰生化,6.89,10.06,0.63,83361,56481324.72,3.99,6.89,6.64,6.78,6.26,3.16,-10.48,-16.5
16,17,000795,英洛华,9.96,10.06,0.91,61203,60958387.2,0.0,9.96,9.96,9.96,9.05,0.54,41.01,4.2
17,18,002765,蓝黛科技,9.31,10.05,0.85,51714,48145734.0,0.0,9.31,9.31,9.31,8.46,0.87,43.94,2.45
18,19,600629,华建集团,7.67,10.04,0.7,46218,35449283.0,0.0,7.67,7.67,7.67,6.97,0.49,22.21,1.46
19,20,002178,延华智能,8.0,10.04,0.73,420478,334295175.0,4.13,8.0,7.7,8.0,7.27,5.91,-487.61,12.91
20,21,002403,爱仕达,9.54,10.03,0.87,14076,13428504.0,0.0,9.54,9.54,9.54,8.67,0.47,1467.74,1.94
21,22,002664,信质集团,16.45,10.03,1.5,107954,177584593.2,0.0,16.45,16.45,16.45,14.95,2.69,57.7,1.94
22,23,002892,科力尔,15.03,10.03,1.37,18450,27729974.25,0.0,15.03,15.03,15.03,13.66,0.47,98.96,7.13
23,24,603666,亿嘉和,27.34,10.02,2.49,79537,217354064.0,1.93,27.34,26.86,27.34,24.85,3.85,-52.77,2.46
24,25,600318,新力金融,10.88,10.01,0.99,39693,43185984.0,0.0,10.88,10.88,10.88,9.89,0.77,124.61,5.19
25,26,600363,联创光电,56.16,10.01,5.11,7140,40100262.0,0.0,56.16,56.16,56.16,51.05,0.16,57.16,6.0
26,27,002416,爱施德,19.46,10.01,1.77,29176,56776885.2,0.0,19.46,19.46,19.46,17.69,0.24,34.45,4.02
27,28,603859,能科科技,27.39,10.0,2.49,8740,23939846.0,0.0,27.39,27.39,27.39,24.9,0.36,42.74,2.38
28,29,002312,川发龙蟒,22.88,10.0,2.08,851684,1888590567.13,7.6,22.88,21.3,21.5,20.8,4.86,76.31,4.61
29,30,000536,华映科技,7.37,10.0,0.67,167978,123799528.05,0.0,7.37,7.37,7.37,6.7,0.61,-18.02,12.93
30,31,603196,日播时尚,15.41,9.99,1.4,566,872206.0,0.0,15.41,15.41,15.41,14.01,0.02,-67.57,4.85
31,32,601727,上海电气,9.8,9.99,0.89,2707955,2617445974.0,3.82,9.8,9.46,9.65,8.91,2.14,151.01,2.85
32,33,600619,海立股份,13.99,9.98,1.27,14295,19998873.0,0.0,13.99,13.99,13.99,12.72,0.18,495.89,2.46
33,34,000639,西王食品,3.86,9.97,0.35,213585,80089455.88,5.98,3.86,3.65,3.66,3.51,1.98,49.93,1.23
34,35,000415,渤海租赁,4.43,9.93,0.4,81706,36195758.0,0.0,4.43,4.43,4.43,4.03,0.15,12.92,0.9
35,36,839725,惠丰钻石,24.15,10.02,2.2,17649,41241795.65,16.99,25.33,21.6,21.98,21.95,4.19,236.62,3.48
36,37,603809,豪能股份,14.45,9.3,1.23,250169,360143895.0,4.39,14.54,13.96,14.54,13.22,4.3,25.9,3.49
37,38,300561,汇金科技,22.77,8.95,1.87,144619,330679812.31,5.6,23.5,22.33,22.87,20.9,8.02,-1374.07,11.92
38,39,603758,秦安股份,8.99,8.57,0.71,73555,64567981.0,4.71,8.99,8.6,8.8,8.28,1.68,23.13,1.61
39,40,000010,美丽生态,3.35,8.06,0.25,303781,100839732.0,10.0,3.41,3.1,3.41,3.1,5.78,-48.6,17.61
40,41,002824,和胜股份,19.2,8.05,1.43,60835,116141557.69,5.63,19.53,18.53,19.53,17.77,3.22,72.29,3.19
41,42,833533,骏创科技,26.0,7.48,1.81,21842,55935434.37,8.64,26.25,24.16,26.12,24.19,5.8,43.53,7.59
42,43,002358,森源电气,5.23,5.66,0.28,323080,169579745.6,6.46,5.42,5.1,5.16,4.95,3.47,27.92,1.48
43,44,603679,华体科技,17.0,6.72,1.07,35715,60035258.0,6.47,17.31,16.28,16.5,15.93,2.19,-66.69,3.37
44,45,000818,航锦科技,20.14,7.24,1.36,71478,141916158.95,3.51,20.15,19.49,20.0,18.78,1.06,251.77,4.06
45,46,000716,黑芝麻,5.74,6.89,0.37,305456,173976803.9,4.66,5.8,5.55,5.8,5.37,4.36,77.69,1.71
46,47,000635,英 力 特,10.42,6.98,0.68,65591,67495443.5,6.98,10.64,9.96,10.0,9.74,2.16,-9.2,2.35
47,48,600390,五矿资本,8.6,6.3,0.51,926472,789596413.0,5.93,8.78,8.3,8.5,8.09,2.06,23.83,0.91
48,49,603030,全筑股份,2.76,6.56,0.17,246144,66023168.0,8.11,2.79,2.58,2.62,2.59,1.87,-79.24,3.65
49,50,000980,众泰汽车,2.64,6.45,0.16,1280196,340386878.16,8.06,2.73,2.53,2.73,2.48,2.62,-30.63,11.35
50,51,603366,日出东方,5.21,6.33,0.31,176923,91463089.0,4.08,5.28,5.08,5.09,4.9,2.19,47.24,1.06
51,52,688017,绿的谐波,112.8,6.21,6.6,25139,277810498.0,6.5,113.1,106.2,110.0,106.2,1.49,242.68,9.4
52,53,002428,云南锗业,24.96,6.58,1.54,285460,684499199.36,9.78,25.17,22.88,23.34,23.42,4.37,414.81,11.38
53,54,603268,松发股份,52.58,6.07,3.01,76450,363628728.0,13.31,52.6,46.0,46.0,49.57,6.16,-81.19,438.2
54,55,300024,机器人,16.33,5.63,0.87,725576,1165419075.05,5.43,16.39,15.55,16.15,15.46,4.73,-192.29,5.88
55,56,605186,健麾信息,26.94,5.15,1.32,32184,85230617.0,4.72,27.07,25.86,25.87,25.62,2.37,85.73,3.42
56,57,000559,万向钱潮,7.26,4.76,0.33,440615,320175014.49,3.61,7.4,7.15,7.3,6.93,1.33,25.1,2.63
57,58,002217,*ST合泰,2.02,5.21,0.1,12457,2516314.0,0.0,2.02,2.02,2.02,1.92,0.04,-3.84,-0.81
58,59,603879,ST永悦,3.47,5.15,0.17,18967,6544126.0,2.42,3.47,3.39,3.44,3.3,0.53,-27.63,3.31
59,60,002822,ST中装,2.86,5.15,0.14,1976,565136.0,0.0,2.86,2.86,2.86,2.72,0.04,-1.92,1.14
60,61,600777,ST新潮,2.25,5.14,0.11,375464,83578411.0,3.27,2.25,2.18,2.2,2.14,0.59,6.95,0.71
61,62,002650,ST加加,4.11,5.12,0.2,13070,5371770.0,0.0,4.11,4.11,4.11,3.91,0.11,-52.49,2.34
62,63,603963,*ST大药,3.09,5.1,0.15,21840,6727017.0,1.36,3.09,3.05,3.07,2.94,0.99,-25.8,1.88
63,64,002124,ST天邦,3.3,5.1,0.16,159829,52653986.0,1.59,3.3,3.25,3.3,3.14,0.81,4.1,2.06
64,65,603559,*ST通脉,12.13,5.02,0.58,424,514312.0,0.0,12.13,12.13,12.13,11.55,0.03,-15.46,51.59
65,66,603959,ST百利,2.94,5.0,0.14,13104,3852576.0,0.0,2.94,2.94,2.94,2.8,0.27,-6.35,3.89
66,67,002309,*ST中利,2.1,5.0,0.1,17781,3734010.0,0.0,2.1,2.1,2.1,2.0,0.2,-3.02,-1.87
67,68,002052,*ST同洲,3.57,5.0,0.17,2863,1022091.0,0.0,3.57,3.57,3.57,3.4,0.04,-139.91,-695.05
68,69,000656,*ST金科,1.47,5.0,0.07,36652,5387844.0,0.0,1.47,1.47,1.47,1.4,0.07,-1.1,-4.17
69,70,000040,ST旭蓝,1.47,5.0,0.07,68059,10004705.34,0.0,1.47,1.47,1.47,1.4,0.64,-12.5,0.2
70,71,603275,众辰科技,34.7,5.06,1.67,14162,48558719.0,2.27,34.7,33.95,34.0,33.03,3.36,24.04,1.87
71,72,002700,ST浩源,9.48,4.98,0.45,15826,15002706.72,0.0,9.48,9.48,9.48,9.03,0.47,35.82,4.73
72,73,000506,*ST中润,3.16,4.98,0.15,23419,7400404.0,0.0,3.16,3.16,3.16,3.01,0.25,-24.44,4.83
73,74,000584,*ST工智,2.95,4.98,0.14,96983,28496265.45,3.2,2.95,2.86,2.94,2.81,1.28,89.38,3.99
74,75,603007,*ST花王,12.9,4.96,0.61,20879,26679338.0,3.25,12.9,12.5,12.6,12.29,0.51,-44.69,14.72
75,76,600190,ST锦港,1.7,4.94,0.08,9147,1554990.0,0.0,1.7,1.7,1.7,1.62,0.05,-1.2,0.74
76,77,603377,ST东时,2.15,4.88,0.1,63294,13494358.0,2.93,2.15,2.09,2.11,2.05,0.88,-10.62,0.91
77,78,603117,万林物流,9.15,4.93,0.43,176492,164081717.0,8.49,9.59,8.85,9.0,8.72,2.95,198.13,5.36
78,79,601127,赛力斯,130.44,4.09,5.12,245264,3204165246.0,4.35,133.96,128.51,129.0,125.32,1.62,36.58,14.6
79,80,002979,雷赛智能,31.05,4.09,1.22,112668,353972102.05,5.26,32.0,30.43,32.0,29.83,5.2,49.5,6.73
80,81,603363,*ST傲农,3.81,4.1,0.15,61046,22973470.0,3.28,3.82,3.7,3.75,3.66,0.83,-3.04,-1.82
81,82,603662,柯力传感,38.07,3.99,1.46,103942,396492004.0,4.04,38.88,37.4,37.99,36.61,3.7,42.19,4.11
82,83,600303,ST曙光,2.9,3.94,0.11,22526,6443658.0,3.23,2.9,2.81,2.81,2.79,0.33,-6.57,1.34
83,84,605218,伟时电子,25.69,3.92,0.97,40734,105948968.0,3.52,26.31,25.44,26.31,24.72,1.91,130.69,4.28
84,85,002900,哈三联,12.24,3.38,0.4,76192,92983557.63,7.77,12.78,11.86,12.0,11.84,4.4,71.57,1.81
85,86,002816,和科达,16.08,3.81,0.59,11436,18173870.0,3.42,16.13,15.6,15.65,15.49,1.14,-39.6,6.56
86,87,002031,巨轮智能,3.88,3.74,0.14,910026,355991090.48,4.01,3.98,3.83,3.91,3.74,4.59,1095.55,3.51
87,88,600651,飞乐音响,4.44,3.74,0.16,222487,98698836.0,2.8,4.48,4.36,4.48,4.28,0.89,329.71,4.56
88,89,603350,安乃达,35.01,3.73,1.26,18417,65525779.0,3.73,36.15,34.89,36.15,33.75,6.48,35.85,3.06
89,90,605266,健之佳,26.45,3.16,0.81,28185,74168934.0,3.0,26.65,25.88,26.65,25.64,2.0,30.82,1.49
90,91,600355,精伦电子,5.2,3.59,0.18,352902,185184533.0,6.37,5.39,5.07,5.39,5.02,7.17,-65.4,17.62
91,92,000669,ST金鸿,1.74,3.57,0.06,39518,6820052.0,2.98,1.75,1.7,1.72,1.68,0.58,-9.33,7.58
92,93,002750,*ST龙津,2.34,4.0,0.09,42239,9755532.0,3.56,2.35,2.27,2.28,2.25,1.06,-75.33,1.86
93,94,000819,岳阳兴长,18.26,3.63,0.64,30522,55223590.66,3.12,18.35,17.8,17.8,17.62,0.88,69.86,3.12
94,95,000609,*ST中迪,2.4,3.0,0.07,18699,4473974.0,2.58,2.43,2.37,2.37,2.33,0.64,-5.06,2.53
95,96,600070,*ST富润,1.82,3.41,0.06,16178,2946537.0,2.27,1.84,1.8,1.8,1.76,0.32,-4.44,1.84
96,97,001306,夏厦精密,53.8,3.4,1.77,16558,91218130.08,3.73,55.62,53.68,55.62,52.03,10.68,52.41,2.53
97,98,603339,四方科技,15.2,3.26,0.48,60495,90657373.0,5.03,15.34,14.6,15.0,14.72,1.95,19.12,1.87
98,99,002527,新时达,8.08,3.19,0.25,165477,135470359.6,3.07,8.3,8.06,8.3,7.83,3.13,-94.85,3.59
99,100,600130,波导股份,6.51,3.17,0.2,621099,427071093.0,7.61,6.94,6.46,6.94,6.31,8.28,891.17,5.08
100,101,603019,中科曙光,68.58,3.13,2.08,165668,1124734972.0,2.98,68.58,66.6,68.01,66.5,1.14,97.8,5.23
101,102,003010,若羽臣,16.4,3.14,0.5,35476,58054086.8,3.58,16.67,16.1,16.17,15.9,2.79,36.25,2.66
102,103,002951,*ST金时,7.43,2.91,0.21,2985,2208905.0,2.22,7.46,7.3,7.34,7.22,0.07,-49.22,1.64
103,104,603201,XD常润股,20.5,2.86,0.57,18495,37960681.0,4.52,20.9,20.0,20.53,19.93,2.88,15.88,2.09
104,105,002553,南方精工,13.09,2.99,0.38,124583,160534511.0,3.78,13.19,12.71,12.8,12.71,4.97,73.62,3.95
105,106,603219,富佳股份,14.28,2.81,0.39,56572,80430624.0,4.03,14.5,13.94,14.1,13.89,3.64,41.49,5.16
106,107,603023,*ST威帝,2.59,3.19,0.08,28406,7303177.0,1.99,2.6,2.55,2.56,2.51,0.51,307.71,1.88
107,108,002747,埃斯顿,16.57,2.73,0.44,206392,346788114.52,3.29,17.03,16.5,17.03,16.13,2.62,-162.01,5.56
108,109,603615,茶花股份,19.37,2.54,0.48,15275,29571787.0,3.34,19.74,19.11,19.3,18.89,0.63,-237.69,4.03
109,110,002564,*ST天沃,4.57,2.24,0.1,62169,28574143.0,2.91,4.64,4.51,4.64,4.47,0.72,536.48,32.74
110,111,600375,*ST汉马,6.86,2.39,0.16,26268,18257297.0,2.39,7.02,6.86,7.01,6.7,0.4,-9.04,-3.79
111,112,000803,山高环能,5.3,2.32,0.12,151890,78599618.76,5.98,5.3,4.99,5.16,5.18,3.31,-159.03,1.78
112,113,600203,福日电子,14.3,2.14,0.3,297871,429840519.0,5.0,14.8,14.1,14.31,14.0,5.02,-47.44,4.45
113,114,600715,*ST文投,2.32,2.2,0.05,85396,19603282.0,3.52,2.33,2.25,2.27,2.27,0.46,-8.11,-3.01
114,115,603185,弘元绿能,25.28,2.14,0.53,37906,93272557.0,5.37,25.33,24.0,24.52,24.75,0.56,-7.9,1.33
115,116,000692,惠天热电,3.87,2.38,0.09,126961,48773590.39,5.29,3.95,3.75,3.8,3.78,2.38,-3.4,-7.43
116,117,605168,三人行,32.5,1.88,0.6,29288,96075087.0,2.85,33.19,32.28,32.88,31.9,1.39,28.29,2.46
117,118,002679,福建金森,9.9,2.17,0.21,27426,26668670.6,3.61,9.9,9.55,9.55,9.69,1.16,-63.1,3.21
118,119,001270,铖昌科技,45.24,1.75,0.78,6649,30056048.9,2.77,45.7,44.47,44.47,44.46,0.66,-223.03,6.89
119,120,603722,阿科力,47.0,1.73,0.8,5680,26269293.0,3.03,47.0,45.6,46.01,46.2,0.65,-497.19,4.76
120,121,002961,瑞达期货,17.22,1.89,0.32,21042,36197909.0,2.19,17.37,17.0,17.37,16.9,0.47,21.18,2.82
121,122,600133,东湖高新,12.85,1.5,0.19,88892,114930210.0,2.37,13.09,12.79,13.09,12.66,0.83,47.02,1.61
122,123,002933,新兴装备,31.5,1.55,0.48,13899,43678512.0,1.68,31.8,31.28,31.28,31.02,1.22,163.62,2.47
123,124,605077,华康股份,16.91,1.56,0.26,74199,130302229.0,7.81,18.0,16.7,18.0,16.65,2.5,20.75,1.76
124,125,002424,ST百灵,3.98,1.53,0.06,98898,39432825.86,2.04,4.03,3.95,3.98,3.92,0.82,47.29,1.6
