,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,831726,朱老六,23.24,22.06,4.2,47710,102975339.9,18.86,23.5,19.91,21.4,19.04,8.53,98.88,5.22
1,2,688656,浩欧博,66.46,20.01,11.08,5725,38047818.0,0.0,66.46,66.46,66.46,55.38,0.91,118.33,5.2
2,3,300121,阳谷华泰,19.55,12.49,2.17,495241,994373804.37,9.26,20.78,19.17,20.78,17.38,12.56,32.42,2.54
3,4,600340,华夏幸福,3.04,10.14,0.28,115939,35245572.0,0.0,3.04,3.04,3.04,2.76,0.3,-3.98,2.04
4,5,002513,蓝丰生化,6.89,10.06,0.63,85241,57776796.3,3.99,6.89,6.64,6.78,6.26,3.23,-10.48,-16.5
5,6,000716,黑芝麻,5.91,10.06,0.54,497029,286364908.17,6.7,5.91,5.55,5.8,5.37,7.09,79.99,1.76
6,7,000795,英洛华,9.96,10.06,0.91,65003,64743187.2,0.0,9.96,9.96,9.96,9.05,0.57,41.01,4.2
7,8,002765,蓝黛科技,9.31,10.05,0.85,54892,51104452.0,0.0,9.31,9.31,9.31,8.46,0.92,43.94,2.45
8,9,603666,亿嘉和,27.34,10.02,2.49,79919,218398452.0,1.93,27.34,26.86,27.34,24.85,3.87,-52.77,2.46
9,10,002416,爱施德,19.46,10.01,1.77,32406,63061686.8,0.0,19.46,19.46,19.46,17.69,0.26,34.45,4.02
10,11,603859,能科科技,27.39,10.0,2.49,8810,24131357.0,0.0,27.39,27.39,27.39,24.9,0.36,42.74,2.38
11,12,000536,华映科技,7.37,10.0,0.67,187746,138368544.05,0.0,7.37,7.37,7.37,6.7,0.68,-18.02,12.93
12,13,603196,日播时尚,15.41,9.99,1.4,596,918436.0,0.0,15.41,15.41,15.41,14.01,0.03,-67.57,4.85
13,14,000415,渤海租赁,4.43,9.93,0.4,85076,37688668.0,0.0,4.43,4.43,4.43,4.03,0.16,12.92,0.9
14,15,301596,瑞迪智驱,117.21,9.56,10.23,28109,337059101.82,9.01,123.38,113.74,123.0,106.98,20.4,66.01,8.04
15,16,603809,豪能股份,14.46,9.38,1.24,305351,438384026.0,5.52,14.54,13.81,14.54,13.22,5.25,25.92,3.49
16,17,002542,中化岩土,5.58,8.77,0.45,1027230,544658382.38,17.35,5.59,4.7,5.46,5.13,6.42,-39.21,5.01
17,18,603117,万林物流,9.4,7.8,0.68,220307,205116011.0,8.49,9.59,8.85,9.0,8.72,3.68,203.55,5.5
18,19,600221,海航控股,1.79,7.19,0.12,4331186,727983637.0,10.78,1.79,1.61,1.68,1.67,1.32,26.7,17.76
19,20,000010,美丽生态,3.3,6.45,0.2,372925,123648435.0,10.0,3.41,3.1,3.41,3.1,7.09,-47.88,17.34
20,21,002428,云南锗业,24.83,6.02,1.41,398623,969578765.26,11.19,25.5,22.88,23.34,23.42,6.1,412.65,11.32
21,22,002217,*ST合泰,2.02,5.21,0.1,14334,2895468.0,0.0,2.02,2.02,2.02,1.92,0.05,-3.84,-0.81
22,23,002822,ST中装,2.86,5.15,0.14,1994,570284.0,0.0,2.86,2.86,2.86,2.72,0.04,-1.92,1.14
23,24,002650,ST加加,4.11,5.12,0.2,13238,5440818.0,0.0,4.11,4.11,4.11,3.91,0.11,-52.49,2.34
24,25,002124,ST天邦,3.3,5.1,0.16,163861,53984546.0,1.59,3.3,3.25,3.3,3.14,0.83,4.1,2.06
25,26,603559,*ST通脉,12.13,5.02,0.58,437,530081.0,0.0,12.13,12.13,12.13,11.55,0.03,-15.46,51.59
26,27,603959,ST百利,2.94,5.0,0.14,15068,4429992.0,0.0,2.94,2.94,2.94,2.8,0.31,-6.35,3.89
27,28,000656,*ST金科,1.47,5.0,0.07,37339,5488833.0,0.0,1.47,1.47,1.47,1.4,0.07,-1.1,-4.17
28,29,000040,ST旭蓝,1.47,5.0,0.07,69985,10287827.34,0.0,1.47,1.47,1.47,1.4,0.66,-12.5,0.2
29,30,000506,*ST中润,3.16,4.98,0.15,23743,7502788.0,0.0,3.16,3.16,3.16,3.01,0.26,-24.44,4.83
30,31,600190,ST锦港,1.7,4.94,0.08,10716,1821720.0,0.0,1.7,1.7,1.7,1.62,0.06,-1.2,0.74
31,32,603268,松发股份,51.93,4.76,2.36,95407,464935475.0,17.21,54.53,46.0,46.0,49.57,7.68,-80.19,432.78
32,33,603363,*ST傲农,3.8,3.83,0.14,78997,29800583.0,3.28,3.82,3.7,3.75,3.66,1.07,-3.03,-1.82
33,34,605266,健之佳,26.56,3.59,0.92,37432,98580906.0,3.0,26.65,25.88,26.65,25.64,2.66,30.95,1.5
34,35,000669,ST金鸿,1.74,3.57,0.06,58882,10182792.0,2.98,1.75,1.7,1.72,1.68,0.87,-9.33,7.58
35,36,600715,*ST文投,2.35,3.52,0.08,113984,26257442.0,4.41,2.35,2.25,2.27,2.27,0.61,-8.22,-3.05
36,37,600375,*ST汉马,6.88,2.69,0.18,33667,23336053.0,2.84,7.02,6.83,7.01,6.7,0.51,-9.07,-3.8
37,38,000803,山高环能,5.3,2.32,0.12,208472,109107057.56,9.85,5.5,4.99,5.16,5.18,4.54,-159.03,1.78
38,39,002979,雷赛智能,30.15,1.07,0.32,137977,431556860.55,6.24,32.0,30.14,32.0,29.83,6.37,48.07,6.53
39,40,603883,老百姓,19.65,1.03,0.2,201434,393811689.0,5.81,20.2,19.07,19.45,19.45,2.66,17.78,2.15
40,41,002900,哈三联,11.93,0.76,0.09,98217,120281081.63,7.77,12.78,11.86,12.0,11.84,5.67,69.76,1.76
41,42,002568,百润股份,25.51,-0.08,-0.02,65235,165117665.64,3.49,25.71,24.82,25.13,25.53,0.91,34.96,6.12
42,43,603083,剑桥科技,44.73,-0.62,-0.28,194261,885945479.0,9.44,47.0,42.75,47.0,45.01,7.33,59.26,5.33
