,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688622,禾信仪器,35.74,20.01,5.96,2342,8369986.0,0.0,35.74,35.74,35.74,29.78,0.33,-84.7,6.03
1,2,688600,皖仪科技,16.45,4.25,0.67,2222,3577170.0,4.31,16.46,15.78,16.05,15.78,0.16,-62.29,2.93
2,3,300875,捷强装备,33.84,3.14,1.03,6519,22052410.0,3.9,34.28,33.0,33.04,32.81,0.98,-269.0,2.72
3,4,300165,天瑞仪器,3.92,2.08,0.08,19172,7458288.0,2.34,3.93,3.84,3.85,3.84,0.46,-212.94,1.41
4,5,300862,蓝盾光电,32.2,0.97,0.31,9531,30877862.33,1.51,32.54,32.06,32.54,31.89,0.63,-700.71,2.98
5,6,300203,聚光科技,17.84,0.73,0.13,14491,25899566.0,1.64,17.99,17.7,17.83,17.71,0.32,51.03,2.64
6,7,300137,先河环保,5.71,0.71,0.04,8151,4661747.96,2.12,5.76,5.64,5.68,5.67,0.15,426.36,1.72
7,8,002658,雪迪龙,6.32,0.32,0.02,2264,1428825.0,1.27,6.34,6.26,6.26,6.3,0.06,39.73,1.61
8,9,000725,京东方Ａ,4.53,0.67,0.03,417324,188475342.32,1.11,4.54,4.49,4.52,4.5,0.11,38.65,1.31
9,10,002322,理工能科,13.62,-0.44,-0.06,3669,5010650.4,0.66,13.71,13.62,13.71,13.68,0.1,20.76,1.78
10,11,002332,仙琚制药,12.57,-0.55,-0.07,5371,6745285.5,0.95,12.63,12.51,12.6,12.64,0.05,17.59,2.07
