,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600239,云南城投,3.49,7.06,0.23,431966,147742850.0,10.12,3.58,3.25,3.25,3.26,2.69,233.9,4.05
1,2,601588,北辰实业,2.13,5.45,0.11,277359,57247206.0,5.45,2.13,2.02,2.02,2.02,1.04,-5.8,0.62
2,3,000608,阳光股份,2.38,3.48,0.08,45157,10541651.2,3.91,2.38,2.29,2.3,2.3,0.61,-66.58,0.74
3,4,600684,珠江股份,3.64,2.82,0.1,27074,9788426.0,2.54,3.65,3.56,3.58,3.54,0.32,134.39,6.72
4,5,600604,市北高新,5.29,2.52,0.13,28330,14812593.0,3.29,5.31,5.14,5.16,5.16,0.2,-76.05,1.57
5,6,002285,世联行,3.08,2.33,0.07,341138,102492954.4,7.64,3.13,2.9,2.9,3.01,1.73,-219.55,2.03
6,7,000560,我爱我家,3.55,2.31,0.08,268666,94328909.0,4.32,3.57,3.42,3.45,3.47,1.19,738.99,0.88
7,8,603506,南都物业,8.96,1.7,0.15,4686,4191285.0,2.04,9.02,8.84,8.91,8.81,0.25,20.92,1.49
8,9,002188,中天服务,4.83,1.68,0.08,11134,5361360.0,2.32,4.88,4.77,4.77,4.75,0.46,350.21,10.47
9,10,300917,特发服务,60.26,1.64,0.97,14659,88238016.25,1.99,60.58,59.4,59.4,59.29,0.87,93.26,9.48
10,11,600605,汇通能源,34.18,1.36,0.46,1726,5882991.0,2.05,34.38,33.69,33.85,33.72,0.08,53.73,5.09
11,12,000056,皇庭国际,2.99,1.36,0.04,176871,52455794.68,5.08,3.03,2.88,2.88,2.95,1.96,-10.37,4.94
12,13,600658,电子城,5.09,1.19,0.06,23586,11888530.0,2.39,5.09,4.97,4.99,5.03,0.21,-8.7,0.83
13,14,603682,锦和商管,4.46,1.13,0.05,7488,3314774.0,2.04,4.46,4.37,4.39,4.41,0.16,41.96,2.0
14,15,002575,群兴玩具,5.7,1.06,0.06,4867,2760550.0,1.42,5.71,5.63,5.63,5.64,0.08,-266.38,4.44
15,16,002968,新大正,9.93,0.61,0.06,2551,2527059.0,1.22,9.96,9.84,9.88,9.87,0.12,15.75,1.83
16,17,000007,全新好,7.14,0.28,0.02,6145,4376281.0,1.97,7.2,7.06,7.17,7.12,0.2,584.12,19.19
17,18,001914,招商积余,11.36,0.09,0.01,4470,5079126.0,1.06,11.42,11.3,11.36,11.35,0.04,14.57,1.18
