,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,871642,通易航天,15.32,29.94,3.53,70730,102664267.1,23.92,15.32,12.5,12.5,11.79,7.02,-90.89,6.98
1,2,300121,阳谷华泰,19.55,12.49,2.17,495241,994373804.37,9.26,20.78,19.17,20.78,17.38,12.56,32.42,2.54
2,3,836247,华密新材,30.33,4.95,1.43,8246,23352085.7,10.03,30.5,27.6,28.36,28.9,2.14,87.2,8.23
3,4,001207,联科科技,22.21,3.74,0.8,17043,37458600.9,4.02,22.38,21.52,22.18,21.41,0.85,16.87,2.46
4,5,871694,中裕科技,17.45,1.75,0.3,2496,4326305.15,2.04,17.5,17.15,17.15,17.15,0.99,17.54,2.25
5,6,300320,海达股份,11.71,1.47,0.17,34853,40729676.0,1.82,11.76,11.55,11.55,11.54,0.71,45.31,3.08
6,7,000599,青岛双星,5.17,1.17,0.06,32615,16876762.06,2.54,5.25,5.12,5.19,5.11,0.4,-17.49,2.44
7,8,300547,川环科技,20.18,1.15,0.23,22866,45629636.0,2.06,20.18,19.77,19.89,19.95,1.28,22.25,3.72
8,9,002224,三 力 士,4.63,1.09,0.05,9448,4360823.24,1.75,4.66,4.58,4.59,4.58,0.12,61.45,1.29
9,10,832225,利通科技,13.47,0.97,0.13,2339,3150995.6,3.3,13.75,13.31,13.39,13.34,0.34,18.63,2.68
10,11,603650,彤程新材,34.24,0.85,0.29,12043,40939105.0,1.59,34.29,33.75,34.02,33.95,0.2,35.08,6.23
11,12,301233,盛帮股份,42.4,0.78,0.33,1476,6254801.0,2.07,42.67,41.8,41.8,42.07,0.79,24.21,2.41
12,13,300767,震安科技,10.4,0.68,0.07,3319,3449631.0,1.16,10.45,10.33,10.33,10.33,0.16,-33.93,1.76
13,14,002753,永东股份,6.43,0.63,0.04,3994,2556547.0,1.41,6.44,6.35,6.38,6.39,0.16,22.06,1.06
14,15,300587,天铁股份,4.92,0.41,0.02,12083,5927267.0,1.63,4.93,4.85,4.89,4.9,0.13,178.11,2.23
15,16,601118,海南橡胶,5.74,0.35,0.02,15747,9036107.0,0.7,5.76,5.72,5.73,5.72,0.04,-40.01,2.65
16,17,002442,龙星化工,4.96,0.2,0.01,5763,2856594.0,0.81,4.97,4.93,4.95,4.95,0.12,16.7,1.39
17,18,002068,黑猫股份,7.11,0.14,0.01,23604,16702932.96,1.69,7.14,7.02,7.1,7.1,0.32,-71.3,1.76
18,19,600469,风神股份,6.4,0.0,0.0,4856,3112683.0,0.63,6.43,6.39,6.4,6.4,0.07,12.69,1.38
19,20,600182,S佳通,14.41,0.0,0.0,2080,2992030.0,0.49,14.42,14.35,14.38,14.41,0.12,23.5,3.82
20,21,300731,科创新源,21.72,0.0,0.0,4593,10003055.0,1.34,21.9,21.61,21.83,21.72,0.38,192.97,4.55
21,22,002381,双箭股份,6.69,0.0,0.0,8505,5685933.0,0.6,6.7,6.66,6.68,6.69,0.26,14.79,1.29
22,23,605183,确成股份,17.08,-0.12,-0.02,939,1604908.0,0.58,17.13,17.03,17.13,17.1,0.02,14.04,2.23
23,24,000589,贵州轮胎,4.91,-0.2,-0.01,15959,7852505.74,0.41,4.93,4.91,4.91,4.92,0.1,10.22,0.88
24,25,601500,通用股份,5.0,-0.4,-0.02,14320,7175024.0,0.4,5.02,5.0,5.02,5.02,0.09,15.69,1.34
25,26,603033,三维股份,12.49,-0.4,-0.05,3878,4872013.0,1.83,12.67,12.44,12.67,12.54,0.04,179.12,3.72
26,27,601163,三角轮胎,14.41,-0.55,-0.08,3890,5617622.0,0.48,14.48,14.41,14.48,14.49,0.05,9.79,0.87
27,28,601966,玲珑轮胎,19.49,-0.66,-0.13,10502,20501437.0,0.92,19.62,19.44,19.6,19.62,0.07,12.5,1.3
28,29,002984,森麒麟,26.47,-1.34,-0.36,11646,30945384.0,1.45,26.84,26.45,26.83,26.83,0.17,11.84,2.17
29,30,873665,科强股份,13.93,-1.49,-0.21,6046,8429234.86,3.39,14.14,13.66,14.14,14.14,1.55,27.24,2.6
30,31,601058,赛轮轮胎,14.89,-1.52,-0.23,56458,84207079.0,2.84,15.21,14.78,15.2,15.12,0.17,11.32,2.57
31,32,301459,丰茂股份,42.65,-2.63,-1.15,3292,14002425.85,2.53,43.19,42.08,42.8,43.8,1.65,21.77,2.96
