,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,837006,晟楠科技,27.15,29.97,6.26,45969,120706158.93,22.93,27.15,22.36,22.89,20.89,14.31,145.65,7.13
1,2,300581,晨曦航空,12.6,20.0,2.1,141559,172703822.82,20.0,12.6,10.5,10.5,10.5,2.57,-209.24,6.92
2,3,301586,佳力奇,61.0,11.07,6.08,11642,68803124.79,14.68,62.98,54.92,54.92,54.92,5.92,48.3,4.04
3,4,600760,中航沈飞,53.64,10.01,4.88,136267,729654759.0,1.56,53.64,52.88,52.88,48.76,0.5,60.99,9.26
4,5,000697,炼石航空,9.16,9.96,0.83,60552,53631166.0,9.72,9.16,8.35,8.35,8.33,1.07,-28.84,38.59
5,6,300114,中航电测,91.02,9.46,7.87,115169,1024626409.4,7.46,92.2,86.0,88.88,83.15,1.95,390.68,21.58
6,7,300696,爱乐达,19.16,9.05,1.59,49410,93543051.39,12.41,19.9,17.72,17.72,17.57,2.65,-226.0,3.05
7,8,300775,三角防务,27.81,6.06,1.59,45618,125750574.36,5.26,27.99,26.61,26.61,26.22,0.86,51.49,2.77
8,9,300722,新余国科,37.49,5.93,2.1,30164,110441712.7,7.32,37.6,35.01,35.36,35.39,1.09,118.35,16.77
9,10,300900,广联航空,24.65,4.8,1.13,27045,66413107.0,5.65,24.98,23.65,23.65,23.52,1.24,106.9,5.0
10,11,000768,中航西飞,29.98,4.46,1.28,93429,279951359.0,4.08,30.31,29.14,29.14,28.7,0.34,66.28,4.11
11,12,300719,安达维尔,21.91,4.38,0.92,29580,64731315.0,5.19,22.19,21.1,21.1,20.99,1.65,791.33,5.35
12,13,600316,洪都航空,37.54,4.28,1.54,66736,251968195.0,5.58,38.5,36.49,36.5,36.0,0.93,1419.92,5.08
13,14,688297,中无人机,50.63,4.18,2.03,26317,133463775.0,3.07,51.19,49.7,49.7,48.6,0.97,-309.75,6.05
14,15,300424,航新科技,20.95,3.56,0.72,44716,93738030.7,4.75,21.29,20.33,20.53,20.23,1.87,198.26,6.23
15,16,688070,纵横股份,39.89,2.97,1.15,3033,12035767.0,8.13,40.69,37.54,38.75,38.74,0.35,-49.03,6.33
