,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002247,聚力文化,3.14,10.18,0.29,353685,108438862.0,6.32,3.14,2.96,3.04,2.85,5.5,9.09,4.27
1,2,002789,建艺集团,11.59,7.91,0.85,10386,11816214.0,8.19,11.64,10.76,10.76,10.74,0.79,332.71,55.87
2,3,603030,全筑股份,2.74,5.79,0.15,247703,66450340.0,8.11,2.79,2.58,2.62,2.59,1.88,-78.66,3.62
3,4,002822,ST中装,2.86,5.15,0.14,1976,565136.0,0.0,2.86,2.86,2.86,2.72,0.04,-1.92,1.14
4,5,002620,瑞和股份,3.75,4.75,0.17,40329,14904683.0,3.35,3.75,3.63,3.69,3.58,1.28,-9.8,11.51
5,6,600193,创兴资源,3.58,3.77,0.13,100477,35293167.0,6.38,3.64,3.42,3.42,3.45,2.36,-58.14,5.49
6,7,002047,宝鹰股份,3.15,3.62,0.11,308621,93935286.96,8.88,3.18,2.91,2.99,3.04,2.3,-8.26,-24.97
7,8,603828,ST柯利达,2.97,3.48,0.1,2574,749845.0,3.48,2.98,2.88,2.88,2.87,0.04,78.38,2.36
8,9,002856,美芝股份,9.62,3.22,0.3,9529,9129457.0,4.08,9.8,9.42,9.42,9.32,0.79,-16.15,4.33
9,10,833580,科创新材,10.5,2.84,0.29,1677,1758100.51,3.13,10.6,10.28,10.6,10.21,0.3,86.85,2.75
10,11,834765,美之高,14.48,2.19,0.31,1766,2557838.78,2.4,14.62,14.28,14.5,14.17,0.4,46.36,3.07
11,12,300506,*ST名家,3.58,1.7,0.06,9429,3345594.0,2.27,3.58,3.5,3.52,3.52,0.16,-54.56,22.67
12,13,002482,广田集团,1.83,1.67,0.03,19516,3531341.14,2.22,1.83,1.79,1.8,1.8,0.05,-28.9,11.48
13,14,605178,时空科技,18.73,1.46,0.27,2452,4587747.0,1.52,18.79,18.51,18.51,18.46,0.25,-10.25,1.27
14,15,001212,中旗新材,22.91,1.46,0.33,13727,31740898.0,2.7,23.3,22.69,23.3,22.58,1.35,55.29,1.77
15,16,300374,中铁装配,20.66,0.98,0.2,17450,35868746.0,3.13,20.87,20.23,20.45,20.46,0.86,-56.96,6.05
16,17,002713,东易日盛,4.26,0.95,0.04,23753,10086684.0,2.37,4.3,4.2,4.2,4.22,0.58,-2.31,-3.46
17,18,002963,豪尔赛,11.85,0.94,0.11,1059,1247825.0,1.28,11.86,11.71,11.75,11.74,0.09,215.31,1.16
18,19,002081,金 螳 螂,3.58,0.85,0.03,25361,9047841.1,1.13,3.58,3.54,3.54,3.55,0.1,15.23,0.7
19,20,002375,亚厦股份,3.96,0.76,0.03,3819,1505873.0,1.27,3.96,3.91,3.93,3.93,0.03,15.73,0.67
20,21,603385,惠达卫浴,6.63,0.76,0.05,1379,912973.0,1.06,6.65,6.58,6.63,6.58,0.04,20.25,0.67
21,22,000055,方大集团,4.0,0.76,0.03,6343,2521781.0,1.76,4.01,3.94,3.94,3.97,0.09,21.52,0.71
22,23,603272,联翔股份,12.55,0.72,0.09,1319,1655494.0,0.72,12.56,12.47,12.56,12.46,0.31,-124.75,2.28
23,24,002989,中天精装,22.43,0.72,0.16,2574,5787807.56,1.3,22.63,22.34,22.48,22.27,0.16,-28.08,2.49
24,25,301365,矩阵股份,14.91,0.68,0.1,4583,6834321.0,2.5,15.18,14.81,14.9,14.81,0.99,45.02,1.5
25,26,601886,江河集团,5.53,0.55,0.03,7070,3896986.0,1.27,5.55,5.48,5.49,5.5,0.06,10.85,0.88
26,27,603216,梦天家居,10.26,0.1,0.01,242,247782.0,0.39,10.26,10.22,10.24,10.25,0.04,41.88,1.3
27,28,605287,德才股份,12.83,0.08,0.01,813,1042409.0,1.01,12.88,12.75,12.8,12.82,0.08,17.18,0.94
28,29,002084,海鸥住工,2.94,0.0,0.0,4962,1453000.0,1.36,2.95,2.91,2.92,2.94,0.08,-316.9,1.2
29,30,603408,建霖家居,13.41,-0.07,-0.01,799,1068931.0,0.6,13.43,13.35,13.36,13.42,0.02,11.35,1.82
30,31,300986,志特新材,13.68,-0.22,-0.03,2080,2848309.0,1.31,13.77,13.59,13.69,13.71,0.08,42.62,2.51
31,32,605289,罗曼股份,25.22,-0.36,-0.09,569,1435662.0,1.54,25.4,25.01,25.4,25.31,0.05,131.33,2.1
32,33,002830,名雕股份,12.18,-0.41,-0.05,733,895935.0,1.55,12.33,12.14,12.2,12.23,0.11,75.66,2.51
33,34,301113,雅艺科技,24.39,-0.45,-0.11,274,670952.35,1.96,24.66,24.18,24.66,24.5,0.15,228.94,2.35
34,35,603929,亚翔集成,27.7,-0.57,-0.16,1279,3559798.0,1.18,28.0,27.67,27.88,27.86,0.06,10.1,3.54
35,36,300621,维业股份,13.78,-0.72,-0.1,21383,28977097.0,3.75,13.9,13.38,13.38,13.88,1.09,161.52,3.22
36,37,605318,法狮龙,21.09,-2.27,-0.49,1488,3196073.0,2.5,21.63,21.09,21.63,21.58,0.12,-162.54,3.48
37,38,603038,华立股份,23.81,-10.02,-2.65,96623,231472634.0,4.5,25.0,23.81,23.81,26.46,3.6,137.49,4.67
