,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600340,华夏幸福,3.04,10.14,0.28,115939.0,35245572.0,0.0,3.04,3.04,3.04,2.76,0.3,-3.98,2.04
1,2,000668,荣丰控股,9.45,7.26,0.64,17106.0,15623592.0,7.83,9.5,8.81,8.81,8.81,1.16,-30.32,1.3
2,3,600162,香江控股,2.0,5.26,0.1,319819.0,61519692.0,8.95,2.02,1.85,1.86,1.9,0.98,71.85,1.11
3,4,000656,*ST金科,1.47,5.0,0.07,37339.0,5488833.0,0.0,1.47,1.47,1.47,1.4,0.07,-1.1,-4.17
4,5,000514,渝 开 发,5.74,4.55,0.25,130667.0,72438582.25,6.74,5.75,5.38,5.38,5.49,1.55,-79.74,1.31
5,6,600895,张江高科,31.81,4.3,1.31,317303.0,1011136356.0,8.89,32.88,30.17,30.17,30.5,2.05,72.3,3.92
6,7,000609,*ST中迪,2.42,3.86,0.09,29574.0,7073460.0,2.58,2.43,2.37,2.37,2.33,1.02,-5.1,2.55
7,8,600322,津投城开,2.55,3.66,0.09,208807.0,52011042.0,6.5,2.56,2.4,2.44,2.46,1.89,-9.84,166.58
8,9,600064,南京高科,8.06,3.6,0.28,68399.0,54472211.0,3.08,8.08,7.84,7.92,7.78,0.4,5.69,0.73
9,10,000014,沙河股份,12.2,3.57,0.42,15542.0,18681859.74,3.06,12.2,11.84,11.95,11.78,0.64,47.24,1.79
10,11,600657,信达地产,5.68,3.27,0.18,127997.0,71096075.0,4.91,5.68,5.41,5.5,5.5,0.45,-140.08,0.66
11,12,600724,宁波富达,5.37,3.27,0.17,53003.0,28338974.0,3.08,5.4,5.24,5.3,5.2,0.37,36.38,2.74
12,13,600159,大龙地产,2.82,2.92,0.08,61260.0,17144417.0,4.74,2.86,2.73,2.73,2.74,0.74,-114.58,1.22
13,14,600622,光大嘉宝,5.68,2.71,0.15,399640.0,216138333.0,8.86,5.7,5.21,5.39,5.53,2.66,-25.24,1.79
14,15,000736,中交地产,11.36,2.71,0.3,77144.0,86124661.06,4.34,11.38,10.9,10.95,11.06,1.11,-4.15,16.31
15,16,600716,凤凰股份,3.48,2.65,0.09,18972.0,6547965.0,2.65,3.48,3.39,3.4,3.39,0.2,-85.33,0.61
16,17,600649,城投控股,5.08,2.42,0.12,54772.0,27504633.0,3.02,5.08,4.93,4.95,4.96,0.22,-44.58,0.63
17,18,002305,南国置业,2.15,2.38,0.05,118879.0,25176978.0,4.29,2.16,2.07,2.09,2.1,0.69,-11.92,14.89
18,19,002146,荣盛发展,1.83,2.23,0.04,297680.0,53706062.76,5.03,1.85,1.76,1.77,1.79,0.76,-4.19,0.36
19,20,000886,海南高速,5.98,2.22,0.13,62239.0,36650380.6,3.42,5.98,5.78,5.8,5.85,0.64,110.91,1.94
20,21,000036,华联控股,4.66,2.19,0.1,28447.0,13145297.1,2.41,4.67,4.56,4.57,4.56,0.19,138.46,1.36
21,22,000863,三湘印象,3.85,2.12,0.08,65218.0,24967024.0,2.12,3.86,3.78,3.78,3.77,0.56,52.23,1.0
22,23,000838,财信发展,2.89,2.12,0.06,23708.0,6789778.96,2.47,2.89,2.82,2.83,2.83,0.22,-395.29,4.71
23,24,600208,衢州发展,2.9,2.11,0.06,177423.0,51054064.0,3.52,2.92,2.82,2.83,2.84,0.21,9.33,0.56
24,25,600376,首开股份,2.92,2.1,0.06,43850.0,12654465.0,3.15,2.92,2.83,2.84,2.86,0.17,-1.32,0.55
25,26,600683,京投发展,4.45,2.06,0.09,18512.0,8190817.0,2.29,4.45,4.35,4.37,4.36,0.25,-2.93,4.54
26,27,600748,上实发展,3.61,1.98,0.07,20759.0,7431510.0,3.11,3.63,3.52,3.53,3.54,0.11,-17.9,0.68
27,28,600641,万业企业,16.63,1.96,0.32,57249.0,92756950.0,4.48,16.63,15.9,15.91,16.31,0.62,-366.43,1.86
28,29,002133,广宇集团,2.62,1.95,0.05,25197.0,6550307.61,1.95,2.62,2.57,2.57,2.57,0.33,-10.0,0.54
29,30,002314,南山控股,2.63,1.94,0.05,20978.0,5480790.0,1.94,2.64,2.59,2.6,2.58,0.16,-15.33,0.72
30,31,600266,城建发展,6.42,1.9,0.12,52828.0,33673794.0,2.54,6.44,6.28,6.28,6.3,0.25,18.33,0.65
31,32,600665,天地源,3.33,1.83,0.06,21885.0,7246557.0,1.53,3.33,3.28,3.28,3.27,0.25,21.5,0.72
32,33,600791,京能置业,4.66,1.75,0.08,13272.0,6124774.0,3.06,4.67,4.53,4.58,4.58,0.29,-15.51,3.08
33,34,600692,亚通股份,6.49,1.72,0.11,9626.0,6218101.0,1.41,6.49,6.4,6.45,6.38,0.38,381.27,2.45
34,35,200056,皇庭B,1.19,1.71,0.02,168.0,19501.0,2.56,1.19,1.16,1.16,1.17,0.01,-3.72,1.77
35,36,600708,光明地产,3.04,1.67,0.05,77268.0,23324888.0,2.34,3.05,2.98,3.0,2.99,0.35,-13.52,0.65
36,37,000517,荣安地产,2.45,1.66,0.04,31197.0,7619742.0,2.07,2.46,2.41,2.41,2.41,0.13,18.39,0.99
