,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,835508,殷图网联,29.41,29.96,6.78,26318.0,73894223.68,21.7,29.41,24.5,24.5,22.63,10.11,-141.37,7.66
1,2,300484,蓝海华腾,21.23,20.01,3.54,115627.0,243011081.25,6.95,21.23,20.0,20.0,17.69,7.04,158.39,6.88
2,3,688275,万润新能,51.61,20.0,8.6,61372.0,307617719.0,15.58,51.61,44.91,45.59,43.01,7.25,-8.17,1.1
3,4,301121,紫建电子,61.68,15.48,8.27,43140.0,261639927.55,12.79,64.06,57.23,57.23,53.41,11.96,60.7,2.62
4,5,835185,贝特瑞,28.96,14.2,3.6,48668.0,132847656.01,13.05,28.98,25.67,25.8,25.36,0.44,36.13,2.73
5,6,688353,华盛锂电,27.4,12.62,3.07,25633.0,69311684.0,15.5,28.45,24.68,25.54,24.33,4.1,-24.89,1.22
6,7,300919,中伟股份,46.53,12.47,5.16,108941.0,499497349.74,9.79,47.5,43.45,43.45,41.37,1.2,24.71,2.18
7,8,831627,力王股份,21.35,11.9,2.27,40305.0,87397283.43,11.9,22.78,20.51,20.8,19.08,8.61,79.23,4.65
8,9,830779,武汉蓝电,39.15,11.25,3.96,15348.0,59865444.25,13.3,41.18,36.5,37.0,35.19,10.72,30.21,4.54
9,10,832522,纳科诺尔,37.28,10.33,3.49,26517.0,97514722.5,10.39,37.99,34.48,34.5,33.79,3.98,20.79,4.09
10,11,300073,当升科技,49.0,10.16,4.52,214570.0,1025459172.46,8.14,49.32,45.7,45.7,44.48,4.25,40.09,1.89
11,12,600210,紫江企业,7.02,10.03,0.64,187514.0,130756134.0,3.92,7.02,6.77,6.77,6.38,1.24,15.14,1.81
12,13,002805,丰元股份,14.71,10.02,1.34,186758.0,270538946.57,7.33,14.71,13.73,13.76,13.37,6.7,-23.88,2.14
13,14,603799,华友钴业,37.36,10.01,3.4,363845.0,1329084071.0,8.27,37.36,34.55,34.7,33.96,2.16,15.75,1.85
14,15,603200,上海洗霸,22.75,10.01,2.07,87320.0,196403074.0,8.95,22.75,20.9,20.91,20.68,4.98,61.84,4.16
15,16,835237,力佳科技,27.33,9.76,2.43,13017.0,35063752.59,14.06,28.8,25.3,25.3,24.9,2.0,27.42,3.8
16,17,300890,翔丰华,34.91,9.64,3.07,70014.0,240016522.0,8.57,34.96,32.23,32.23,31.84,7.18,50.81,2.16
17,18,603663,三祥新材,19.18,8.0,1.42,136479.0,257583147.0,7.88,19.52,18.12,18.12,17.76,3.23,79.19,6.21
18,19,688388,嘉元科技,15.02,7.98,1.11,86592.0,129004361.0,6.69,15.2,14.27,14.27,13.91,2.03,-33.35,0.94
19,20,301238,瑞泰新材,18.88,7.89,1.38,82253.0,153927181.65,8.51,19.19,17.7,17.85,17.5,3.86,69.46,1.92
20,21,301511,德福科技,18.03,7.83,1.31,188629.0,331389406.26,10.05,18.36,16.68,16.68,16.72,5.05,-41.76,2.82
21,22,301325,曼恩斯特,45.52,7.69,3.25,30889.0,141591430.19,13.04,47.8,42.29,42.29,42.27,5.34,76.57,2.23
22,23,688116,天奈科技,32.35,7.23,2.18,54630.0,173072104.0,5.9,32.36,30.58,30.65,30.17,1.59,45.78,4.08
23,24,301326,捷邦科技,70.45,6.58,4.35,15978.0,112156791.4,6.46,72.03,67.76,67.76,66.1,5.95,5042.5,3.91
24,25,301487,盟固利,25.51,6.51,1.56,80518.0,203265559.33,7.6,25.85,24.03,24.2,23.95,2.95,973.68,5.97
25,26,688005,容百科技,33.6,6.46,2.04,59928.0,197583975.0,6.15,33.6,31.66,31.99,31.56,1.9,104.58,1.92
26,27,300390,天华新能,26.0,6.43,1.57,149823.0,384317690.15,7.65,26.34,24.47,24.47,24.43,2.23,17.55,1.81
27,28,300457,赢合科技,26.81,5.97,1.51,131876.0,344046913.0,6.84,26.81,25.08,25.5,25.3,2.08,26.34,2.65
28,29,300769,德方纳米,44.13,5.68,2.37,75195.0,326716000.24,6.66,44.22,41.44,41.44,41.76,2.99,-11.29,2.03
29,30,688333,铂力特,52.79,5.64,2.82,27203.0,140523850.0,5.7,52.8,49.95,49.97,49.97,1.0,403.14,2.98
