,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688275,万润新能,51.56,19.88,8.55,62005,310888370.0,15.58,51.61,44.91,45.59,43.01,7.33,-8.16,1.1
1,2,873152,天宏锂电,15.76,19.85,2.61,54813,82655173.51,27.38,16.9,13.3,13.4,13.15,9.77,311.79,6.27
2,3,301121,紫建电子,62.13,16.33,8.72,43398,263238712.55,12.79,64.06,57.23,57.23,53.41,12.03,61.14,2.64
3,4,835185,贝特瑞,29.0,14.35,3.64,51102,139903615.97,13.13,29.0,25.67,25.8,25.36,0.46,36.18,2.73
4,5,831627,力王股份,21.5,12.68,2.42,40802,88459788.41,11.9,22.78,20.51,20.8,19.08,8.72,79.79,4.68
5,6,300919,中伟股份,46.52,12.45,5.15,110449,506510855.34,9.79,47.5,43.45,43.45,41.37,1.21,24.7,2.18
6,7,002805,丰元股份,14.71,10.02,1.34,190568,276142279.77,7.33,14.71,13.73,13.76,13.37,6.83,-23.88,2.14
7,8,835237,力佳科技,27.38,9.96,2.48,13179,35506337.41,14.06,28.8,25.3,25.3,24.9,2.03,27.47,3.81
8,9,300890,翔丰华,34.97,9.83,3.13,70576,241980427.0,8.64,34.98,32.23,32.23,31.84,7.24,50.9,2.16
9,10,300073,当升科技,48.77,9.64,4.29,215620,1030596447.62,8.14,49.32,45.7,45.7,44.48,4.27,39.9,1.88
10,11,830809,安达科技,7.39,9.16,0.62,135628,101740850.71,15.95,8.0,6.92,6.92,6.77,4.23,-6.41,2.28
11,12,833523,德瑞锂电,28.55,8.97,2.35,24385,67879971.17,10.95,28.9,26.03,26.26,26.2,4.02,20.43,5.25
12,13,301587,中瑞股份,27.75,8.36,2.14,28540,78642179.19,10.82,28.97,26.2,26.2,25.61,9.34,56.69,2.04
13,14,301511,德福科技,18.09,8.19,1.37,190468,334710221.66,10.05,18.36,16.68,16.68,16.72,5.1,-41.9,2.83
14,15,301238,瑞泰新材,18.9,8.0,1.4,82766,154897137.65,8.51,19.19,17.7,17.85,17.5,3.88,69.54,1.92
15,16,688388,嘉元科技,15.01,7.91,1.1,87815,130839776.0,6.69,15.2,14.27,14.27,13.91,2.06,-33.32,0.94
16,17,301325,曼恩斯特,45.57,7.81,3.3,31129,142684923.19,13.04,47.8,42.29,42.29,42.27,5.38,76.65,2.24
17,18,688005,容百科技,33.67,6.69,2.11,60915,200904422.0,6.4,33.68,31.66,31.99,31.56,1.93,104.8,1.92
18,19,301487,盟固利,25.53,6.6,1.58,81015,204534161.33,7.6,25.85,24.03,24.2,23.95,2.97,974.45,5.98
19,20,300953,震裕科技,75.38,6.02,4.28,11000,81394937.84,6.17,75.49,71.1,71.1,71.1,1.62,33.7,3.13
20,21,300769,德方纳米,44.19,5.82,2.43,76858,334063562.24,6.66,44.22,41.44,41.44,41.76,3.05,-11.3,2.04
21,22,300438,鹏辉能源,37.6,5.59,1.99,224442,844213403.82,3.71,38.22,36.9,37.02,35.61,5.55,234.61,3.5
22,23,300068,南都电源,23.07,5.58,1.22,459018,1048854234.95,5.45,23.39,22.2,22.2,21.85,5.53,61.16,3.7
23,24,688499,利元亨,24.04,5.44,1.24,19185,45853939.0,5.96,24.3,22.94,22.94,22.8,1.51,-4.39,1.63
