,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688660,电气风电,9.47,19.72,1.56,1030142,971519810.0,3.54,9.49,9.21,9.45,7.91,7.73,-19.87,2.34
1,2,601615,明阳智能,13.23,6.69,0.83,230196,298322020.0,7.1,13.26,12.38,12.4,12.4,1.01,27.88,1.11
2,3,300772,运达股份,15.2,6.07,0.87,112998,168583519.86,7.75,15.33,14.22,14.3,14.33,1.63,29.99,1.95
3,4,301040,中环海陆,17.68,4.99,0.84,22916,40625408.0,8.43,18.3,16.88,16.88,16.84,3.21,-19.72,2.0
4,5,603985,恒润股份,14.15,4.74,0.64,66505,92275740.0,4.74,14.15,13.51,13.51,13.51,1.51,-63.5,1.91
5,6,002202,金风科技,11.63,4.21,0.47,291667,334339729.84,4.3,11.65,11.17,11.17,11.16,0.86,20.56,1.34
6,7,301155,海力风电,73.5,3.98,2.81,12082,86670799.0,6.14,73.6,69.26,69.62,70.69,1.33,138.06,2.92
7,8,300690,双一科技,27.48,3.82,1.01,55307,152089963.5,4.46,27.98,26.8,27.1,26.47,5.02,53.11,3.13
8,9,300129,泰胜风能,8.48,2.91,0.24,88817,74258406.0,3.4,8.49,8.21,8.23,8.24,1.34,39.83,1.8
9,10,300850,新强联,23.69,2.42,0.56,28096,66064249.0,2.85,23.82,23.16,23.25,23.13,1.14,-176.62,1.76
10,11,600458,时代新材,13.39,1.98,0.26,31821,42067359.0,2.36,13.4,13.09,13.1,13.13,0.4,27.17,1.84
11,12,002487,大金重工,24.33,1.88,0.45,35447,85715553.0,2.72,24.47,23.82,23.82,23.88,0.56,41.27,2.19
12,13,603063,禾望电气,20.86,1.76,0.36,62089,128066716.0,5.61,21.17,20.02,20.02,20.5,1.4,27.37,2.25
13,14,002531,天顺风能,9.69,1.36,0.13,99514,95910772.0,3.03,9.77,9.48,9.55,9.56,0.56,44.78,1.93
14,15,300443,金雷股份,26.52,1.18,0.31,22561,59422340.85,2.67,26.73,26.03,26.23,26.21,0.93,42.7,1.4
15,16,603218,日月股份,13.34,1.06,0.14,27204,36063455.0,1.74,13.37,13.14,13.22,13.2,0.26,20.36,1.37
16,17,605305,中际联合,30.49,0.63,0.19,9967,30250523.0,2.41,30.76,30.03,30.3,30.3,0.47,20.39,2.59
17,18,301232,飞沃科技,29.81,0.61,0.18,4989,14957021.2,3.21,30.35,29.4,29.4,29.63,1.14,-23.11,1.54
18,19,300569,天能重工,5.45,0.55,0.03,45318,24629304.0,1.85,5.48,5.38,5.41,5.42,0.45,725.58,1.02
19,20,301456,盘古智能,25.13,0.4,0.1,4195,10567862.0,2.36,25.41,24.82,25.0,25.03,0.74,50.35,1.76
20,21,301163,宏德股份,23.67,0.38,0.09,5730,13602791.0,2.37,23.93,23.37,23.58,23.58,1.71,75.69,1.74
21,22,300904,威力传动,49.95,0.3,0.15,6900,34323144.0,2.77,50.53,49.15,49.3,49.8,3.14,169.37,4.53
22,23,601218,吉鑫科技,3.36,0.3,0.01,31866,10703402.0,1.19,3.38,3.34,3.35,3.35,0.33,67.78,1.16
23,24,688349,三一重能,30.43,0.26,0.08,9557,28976085.0,2.54,30.68,29.91,30.01,30.35,0.51,40.87,2.97
24,25,301063,海锅股份,17.11,-0.06,-0.01,4122,7078686.0,1.81,17.31,17.0,17.18,17.12,0.48,58.16,1.17
25,26,603507,振江股份,27.65,-0.47,-0.13,11691,32224139.0,2.2,27.92,27.31,27.69,27.78,0.63,23.18,2.04
26,27,600072,中船科技,14.38,-0.76,-0.11,120142,173307235.0,2.28,14.6,14.27,14.55,14.49,1.11,-230.18,2.02
27,28,300185,通裕重工,3.02,-0.98,-0.03,415889,125637156.0,2.95,3.06,2.97,3.04,3.05,1.13,161.41,1.76
