,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300618,寒锐钴业,46.68,14.69,5.98,175474,800742110.88,16.44,48.3,41.61,42.4,40.7,6.44,64.84,2.71
1,2,603799,华友钴业,37.36,10.01,3.4,364113,1330086439.0,8.27,37.36,34.55,34.7,33.96,2.16,15.75,1.85
2,3,301219,腾远钴业,57.2,9.47,4.95,74782,421404667.56,11.18,59.21,53.37,53.4,52.25,4.45,20.48,1.96
3,4,300390,天华新能,26.0,6.43,1.57,150916,387161317.58,7.65,26.34,24.47,24.47,24.43,2.24,17.55,1.81
4,5,002466,天齐锂业,39.18,5.46,2.03,254468,981674118.2,7.54,39.6,36.8,36.89,37.15,1.72,-8.46,1.48
5,6,600711,ST盛屯,5.43,4.62,0.24,312123,166031726.0,4.43,5.44,5.21,5.22,5.19,1.01,7.4,1.1
6,7,002192,融捷股份,38.32,4.36,1.6,68963,261902119.75,5.88,38.59,36.43,36.7,36.72,2.66,40.83,2.99
7,8,002738,中矿资源,37.27,4.34,1.55,110401,408189381.73,4.76,37.59,35.89,36.1,35.72,1.55,36.95,2.26
8,9,002460,赣锋锂业,37.58,4.19,1.51,193282,716174214.86,5.13,37.7,35.85,36.1,36.07,1.6,-88.78,1.72
9,10,002240,盛新锂能,15.98,4.17,0.64,118368,187762799.98,5.67,16.2,15.33,15.39,15.34,1.37,-23.92,1.21
10,11,000762,西藏矿业,25.56,3.31,0.82,143372,363825869.54,5.3,25.83,24.52,24.53,24.74,2.75,65.64,4.46
11,12,002667,威领股份,10.11,2.74,0.27,71452,71795705.0,5.59,10.28,9.73,9.76,9.84,3.03,-16.29,4.35
12,13,002340,格林美,7.54,2.72,0.2,722888,538302395.18,3.41,7.55,7.3,7.35,7.34,1.42,32.1,2.01
