,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,837006,晟楠科技,35.29,29.98,8.14,10956,38664923.86,0.0,35.29,35.29,35.29,27.15,3.41,189.32,9.27
1,2,300581,晨曦航空,15.12,20.0,2.52,111005,167840255.52,0.0,15.12,15.12,15.12,12.6,2.02,-251.09,8.31
2,3,301586,佳力奇,75.13,14.01,9.23,49895,368014627.97,8.35,77.5,72.0,72.01,65.9,25.36,59.48,4.98
3,4,000697,炼石航空,10.08,10.04,0.92,194869,195380356.51,3.71,10.08,9.74,10.07,9.16,3.46,-31.73,42.46
4,5,002389,航天彩虹,23.31,10.0,2.12,333397,777149192.85,0.05,23.31,23.3,23.31,21.19,3.36,2825.64,2.91
5,6,600760,中航沈飞,59.0,9.99,5.36,87775,517875273.0,0.0,59.0,59.0,59.0,53.64,0.32,67.08,10.19
6,7,688287,ST观典,5.71,8.76,0.46,70031,39267872.0,11.24,5.87,5.28,5.28,5.25,1.89,-26.1,2.31
7,8,688070,纵横股份,43.84,7.06,2.89,15405,67767865.0,6.11,45.5,43.0,43.0,40.95,1.76,-53.88,6.95
8,9,002625,光启技术,46.47,3.82,1.71,447901,2082108387.81,4.16,47.5,45.64,46.5,44.76,2.52,139.82,11.39
9,10,688066,航天宏图,24.02,3.76,0.87,74027,178624912.0,4.75,24.65,23.55,23.55,23.15,2.83,-21.22,3.18
10,11,300159,新研股份,4.38,3.55,0.15,869712,388189959.77,8.51,4.65,4.29,4.43,4.23,5.91,-27.66,-47.12
11,12,300424,航新科技,22.74,3.46,0.76,185903,429227594.32,7.78,23.97,22.26,22.74,21.98,7.77,215.2,6.77
12,13,300719,安达维尔,22.78,2.84,0.63,109611,252690779.0,5.28,23.58,22.41,23.3,22.15,6.1,822.75,5.56
13,14,300965,*ST恒宇,33.22,2.75,0.89,1751,5774147.0,2.17,33.25,32.55,32.55,32.33,1.07,77.68,1.63
14,15,002023,海特高新,12.16,2.7,0.32,177290,216967951.27,3.29,12.4,12.01,12.13,11.84,2.39,109.16,2.11
15,16,600862,中航高科,28.0,2.68,0.73,181490,514242213.0,4.66,28.88,27.61,28.3,27.27,1.3,32.08,5.7
16,17,002985,北摩高科,25.66,1.99,0.5,42286,109045549.7,3.58,26.25,25.35,25.74,25.16,2.04,76.71,3.35
17,18,603261,立航科技,36.91,1.82,0.66,25023,93932899.0,5.52,38.48,36.48,37.21,36.25,9.52,-63.51,3.67
18,19,600038,中直股份,44.35,1.72,0.75,72636,325756388.0,4.56,45.85,43.86,45.5,43.6,1.23,76.33,2.26
19,20,000768,中航西飞,31.55,1.48,0.46,315243,1009846153.82,4.31,32.64,31.3,32.09,31.09,1.14,69.75,4.33
20,21,600879,航天电子,10.29,1.38,0.14,812169,842452603.0,4.24,10.59,10.16,10.28,10.15,2.52,45.32,1.64
21,22,300900,广联航空,26.09,1.2,0.31,129557,342531971.72,4.5,26.96,25.8,26.61,25.78,5.95,113.14,5.29
22,23,600372,中航机载,13.74,1.03,0.14,333214,462081301.0,3.9,14.1,13.57,13.95,13.6,0.7,41.45,1.79
23,24,003009,中天火箭,43.38,0.77,0.33,9038,39399203.0,3.09,44.33,43.0,43.43,43.05,0.58,294.19,4.29
24,25,688586,江航装备,11.0,0.73,0.08,42335,46885621.0,3.66,11.28,10.88,11.11,10.92,0.53,47.79,3.46
25,26,688523,航天环宇,21.66,0.7,0.15,11999,26143586.0,3.81,22.2,21.38,21.71,21.51,1.41,129.11,5.57
26,27,600316,洪都航空,39.81,0.53,0.21,152026,622277910.0,8.76,42.57,39.1,40.58,39.6,2.12,1505.78,5.38
27,28,688563,航材股份,61.6,0.15,0.09,7230,44779676.0,2.52,62.55,61.0,61.95,61.51,0.63,47.69,2.71
28,29,688297,中无人机,54.3,0.06,0.03,85833,479041875.0,9.56,57.69,52.5,56.5,54.27,3.16,-332.2,6.48
29,30,600391,航发科技,21.33,0.05,0.01,68992,148974539.0,4.92,22.08,21.03,21.66,21.32,2.09,99.02,4.28
30,31,688510,航亚科技,18.03,0.0,0.0,24198,44117752.0,4.77,18.7,17.84,18.5,18.03,0.94,37.67,4.23
31,32,002297,博云新材,7.19,-0.42,-0.03,40398,29302403.0,3.6,7.38,7.12,7.28,7.22,0.7,-183.47,1.96
32,33,300775,三角防务,28.75,-0.45,-0.13,126603,365071820.0,4.47,29.49,28.2,28.96,28.88,2.38,53.23,2.86
33,34,600765,中航重机,23.86,-0.5,-0.12,109555,266230511.0,5.09,24.83,23.61,24.39,23.98,0.74,26.17,2.87
34,35,600893,航发动力,46.48,-0.58,-0.27,297630,1410046778.0,5.97,48.72,45.93,48.69,46.75,1.12,127.96,3.11
35,36,688543,国科军工,57.8,-0.74,-0.43,12636,73580148.0,4.07,59.45,57.08,59.0,58.23,1.55,51.04,4.55
36,37,600118,中国卫星,26.94,-0.81,-0.22,72591,196278655.0,3.13,27.48,26.63,27.34,27.16,0.61,-1620.84,5.07
37,38,688239,航宇科技,46.87,-1.01,-0.48,17683,84302473.0,7.22,49.8,46.38,46.49,47.35,1.23,35.26,3.77
38,39,300696,爱乐达,19.88,-1.58,-0.32,109909,221218653.47,6.49,20.87,19.56,20.19,20.2,5.9,-234.5,3.16
39,40,000738,航发控制,24.78,-1.63,-0.41,68488,171583913.48,3.45,25.48,24.61,25.29,25.19,0.52,38.87,2.66
40,41,002933,新兴装备,32.39,-1.76,-0.58,37096,121206489.0,4.97,33.63,31.99,33.13,32.97,3.25,168.24,2.54
41,42,300114,中航电测,91.4,-1.94,-1.81,194249,1801912158.07,8.0,96.9,89.44,95.27,93.21,3.29,392.31,21.67
