,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,837403,康农种业,24.76,29.97,5.71,75685,173187076.39,23.46,24.76,20.29,20.58,19.05,25.37,138.14,4.24
1,2,300189,神农种业,4.49,13.67,0.54,2063567,908616473.67,10.89,4.59,4.16,4.23,3.95,23.28,-158.49,6.13
2,3,600811,东方集团,3.4,10.03,0.31,2876306,961014236.0,7.12,3.4,3.18,3.3,3.09,7.86,71.09,0.74
3,4,000716,黑芝麻,7.15,10.0,0.65,48635,34774025.0,0.0,7.15,7.15,7.15,6.5,0.69,96.77,2.13
4,5,600313,农发种业,7.88,5.77,0.43,804167,628187418.0,7.11,8.0,7.47,7.65,7.45,7.43,115.51,4.44
5,6,600354,敦煌种业,6.65,5.56,0.35,426625,277916435.0,6.35,6.7,6.3,6.4,6.3,8.08,146.37,5.69
6,7,002041,登海种业,11.77,4.72,0.53,352407,409551706.16,5.16,11.88,11.3,11.5,11.24,4.0,132.6,2.88
7,8,600108,亚盛集团,3.05,2.69,0.08,304198,91336857.0,4.04,3.07,2.95,3.0,2.97,1.56,122.27,1.4
8,9,002758,浙农股份,9.28,2.65,0.24,30605,28118264.88,3.32,9.3,9.0,9.05,9.04,0.59,22.63,1.07
9,10,600300,维维股份,3.12,2.63,0.08,127351,39173179.0,3.62,3.12,3.01,3.02,3.04,0.79,15.38,1.53
10,11,002385,大北农,5.03,2.44,0.12,672266,332521587.62,3.67,5.03,4.85,4.96,4.91,2.03,122.21,2.55
11,12,002133,广宇集团,2.79,2.2,0.06,65851,18117506.02,5.49,2.8,2.65,2.72,2.73,0.86,-10.65,0.57
12,13,000019,深粮控股,7.12,2.15,0.15,60191,42430282.0,2.01,7.12,6.98,7.05,6.97,1.45,25.17,1.7
13,14,002999,天禾股份,6.38,2.08,0.13,98749,62749502.6,4.8,6.45,6.15,6.25,6.25,2.89,157.99,1.85
14,15,600191,华资实业,6.4,2.07,0.13,23314,14845721.0,3.67,6.45,6.22,6.22,6.27,0.48,53.63,1.89
15,16,600540,新赛股份,4.34,1.88,0.08,51658,22154638.0,4.23,4.35,4.17,4.24,4.26,0.89,-31.99,3.76
16,17,601952,苏垦农发,10.82,1.69,0.18,121775,130325626.0,2.91,10.83,10.52,10.71,10.64,0.88,24.51,2.26
17,18,603182,嘉华股份,12.19,1.58,0.19,6877,8352332.0,3.17,12.3,11.92,11.96,12.0,0.74,19.67,1.93
18,19,002419,天虹股份,5.32,1.53,0.08,58658,30963235.0,2.29,5.33,5.21,5.25,5.24,0.5,39.41,1.5
19,20,000998,隆平高科,12.01,0.92,0.11,443727,535002212.81,3.11,12.26,11.89,12.19,11.9,3.37,-24.95,3.48
20,21,430476,海能技术,12.18,0.66,0.08,8968,10868266.99,5.04,12.39,11.78,12.01,12.1,1.4,-165.17,2.17
21,22,600598,北大荒,16.21,-0.31,-0.05,144934,234318148.0,3.81,16.5,15.88,16.47,16.26,0.82,16.04,3.57
22,23,600359,新农开发,7.13,-0.7,-0.05,58397,41346731.0,2.09,7.14,6.99,7.12,7.18,1.53,48.97,3.97
23,24,300087,荃银高科,13.66,-1.01,-0.14,445950,592223346.55,6.88,13.8,12.85,13.0,13.8,4.98,-115.08,7.36
24,25,000638,万方发展,5.8,-1.19,-0.07,61005,34852294.0,3.41,5.82,5.62,5.73,5.87,1.97,101.88,10.25
25,26,000713,丰乐种业,8.23,-1.2,-0.1,227434,185765882.0,5.76,8.38,7.9,8.36,8.33,3.7,-53.34,2.7
26,27,600127,金健米业,7.4,-1.33,-0.1,152577,112181329.0,2.27,7.44,7.27,7.44,7.5,2.38,5486.69,6.84
